Timestamp,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Context_Switches,IO_Read_S,IO_Write_S
00:00:36,21,9,9,304,3836,19888,0.00,1508.00
00:00:43,11,6,3,316,3837,14439,0.00,736.00
00:00:50,19,12,1,349,3837,18275,0.00,312.00
00:00:57,27,16,2,398,3838,22321,0.00,32.00
00:01:04,35,22,2,382,3838,25873,0.00,932.00
00:01:11,36,24,0,376,3839,27152,0.00,176.00
00:01:18,46,29,0,349,3840,29925,0.00,352.00
00:01:25,51,45,2,321,3833,40277,95.05,3231.68
00:01:32,47,34,0,267,3837,31238,0.00,340.00
00:01:39,17,11,7,286,3839,25245,0.00,192.00
00:01:46,19,11,4,270,3840,24378,0.00,3188.00
00:01:54,59,40,0,254,3841,31493,0.00,324.75
00:02:01,47,30,0,175,3884,31244,0.00,360.00
00:02:08,61,36,0,188,3885,33839,0.00,736.00
00:02:15,47,34,0,198,3886,33102,0.00,692.00
00:02:22,59,39,0,177,3887,32452,0.00,380.00
00:02:29,38,14,2,133,3890,22188,0.00,3436.00
00:02:36,35,23,2,154,3891,29177,0.00,392.00
00:02:43,52,34,1,158,3835,31284,0.00,416.00
00:02:50,30,20,0,139,3836,22290,0.00,408.00
00:02:57,35,21,2,148,3837,23651,0.00,2480.00
00:03:04,34,22,0,166,3838,21097,0.00,412.00
00:03:11,59,38,0,171,3839,31602,0.00,0.00
00:03:19,61,38,0,165,3840,31802,0.00,488.00
00:03:26,57,34,0,156,3841,34237,0.00,352.00
00:03:33,55,44,0,195,3843,28140,0.00,3580.00
00:03:41,57,34,0,146,3845,33840,0.00,280.00
00:03:48,53,35,0,141,3846,33431,0.00,3232.00
00:03:55,57,34,0,173,3846,31544,0.00,7964.00
00:04:02,10,9,5,190,3849,22877,0.00,244.00
00:04:09,52,30,2,208,3850,29276,668.00,3224.00
00:04:16,63,37,0,165,3853,32534,0.00,344.00
00:04:23,32,21,0,154,3853,23022,0.00,376.00
00:04:30,41,25,2,175,3855,28499,0.00,296.00
00:04:37,36,24,1,205,3846,26306,0.00,316.00
00:04:44,52,31,1,148,3939,31016,0.00,3228.00
00:04:52,61,39,0,218,3836,33215,0.00,396.00
00:04:59,55,31,0,197,3837,29263,0.00,3072.00
00:05:06,62,39,0,174,3840,32154,0.00,1392.00
00:05:13,43,33,0,159,3841,29684,0.00,320.79
00:05:20,43,29,2,143,3843,31076,0.00,92.00
00:05:27,26,17,2,164,3844,22073,0.00,332.00
00:05:34,39,22,1,181,3845,25106,0.00,84.00
00:05:41,45,31,0,189,3847,29494,0.00,616.00
00:05:48,44,25,3,201,3848,29410,0.00,2824.00
00:05:56,21,15,1,218,3848,20486,0.00,3536.00
00:06:03,52,39,1,214,3849,33301,0.00,112.00
00:06:10,63,37,0,188,3851,31492,0.00,1116.00
00:06:17,61,33,1,178,3852,29433,0.00,132.00
00:06:24,47,31,0,163,3853,30437,0.00,1668.00
00:06:31,59,40,0,153,3854,37473,0.00,83.17
00:06:38,53,36,0,147,3855,26994,0.00,512.00
00:06:46,56,39,1,171,3857,34431,0.00,3408.00
00:06:53,51,39,0,164,3858,29853,0.00,152.00
00:07:00,42,20,1,167,3859,25701,0.00,2804.00
00:07:07,64,35,1,166,3860,34010,0.00,128.00
00:07:14,60,40,0,146,3873,32432,2207.84,2356.86
00:07:22,59,41,0,140,3871,30987,0.00,412.00
00:07:29,63,29,1,148,3845,24554,0.00,3768.00
00:07:36,40,18,2,158,3831,26199,8.00,324.00
00:07:43,46,30,2,151,3834,31760,0.00,2476.00
00:07:50,55,33,1,128,3835,32065,0.00,2796.00
00:07:57,35,21,2,167,3836,25375,0.00,2772.00
00:08:04,46,26,3,192,3838,31213,0.00,532.00
00:08:11,63,35,0,198,3839,29062,0.00,396.00
00:08:18,63,37,0,141,3840,29840,0.00,428.00
00:08:26,57,35,0,119,3842,33704,0.00,256.00
00:08:33,64,36,0,152,3813,29215,4.00,4076.00
00:08:40,69,30,0,115,3792,32906,36.00,1456.00
00:08:47,50,29,1,120,3761,30849,0.00,2136.00
00:08:54,63,37,1,155,3751,31276,0.00,1840.00
00:09:02,63,36,1,137,3754,29115,0.00,253.47
00:09:09,63,36,0,180,3756,30003,0.00,728.00
00:09:16,54,31,2,151,3759,34573,0.00,640.00
00:09:23,48,33,1,173,3760,30802,0.00,5352.00
00:09:30,31,20,1,145,3762,26732,0.00,172.00
00:09:37,44,28,1,187,3763,28853,0.00,2280.00
00:09:44,47,31,1,167,3764,31598,0.00,3324.00
00:09:52,55,34,1,197,3765,32838,0.00,3412.00
00:09:59,60,39,0,160,3767,32951,0.00,2372.00
00:10:06,34,18,3,183,3768,27543,0.00,456.00
00:10:13,57,33,1,198,3769,34166,0.00,2772.00
00:10:20,45,29,1,190,3771,31272,0.00,1796.00
00:10:27,30,19,2,172,3772,23550,0.00,3676.00
00:10:34,47,26,2,192,3773,28430,0.00,2652.00
00:10:41,35,22,0,179,3774,22785,0.00,924.00
00:10:49,19,9,8,188,3776,18467,0.00,692.00
00:10:56,14,6,12,268,3775,19194,0.00,840.00
00:11:03,12,12,5,295,3776,17168,0.00,2680.00
00:11:10,7,4,1,283,3776,13463,0.00,664.00
00:11:17,10,5,3,266,3777,14415,0.00,320.00
00:11:24,10,6,5,249,3777,15337,0.00,1148.00
00:11:31,9,5,4,232,3778,18114,0.00,264.00
00:11:38,8,6,3,205,3779,15945,0.00,3676.00
00:11:45,15,7,5,208,3780,16128,0.00,2576.00
00:11:52,6,4,2,196,3780,12743,0.00,992.00
00:11:59,18,8,9,167,3781,17570,0.00,684.00
00:12:06,7,7,6,121,3781,16241,0.00,424.00
00:12:13,23,12,4,139,3782,18931,0.00,2460.00
00:12:20,7,5,3,138,3782,13872,0.00,328.00
00:12:27,6,3,3,118,3783,13172,0.00,688.00
00:12:34,7,6,5,138,3771,14561,24.00,988.00
00:12:41,8,5,7,161,3760,16554,0.00,112.00
00:12:48,15,6,3,151,3762,16428,0.00,1956.00
00:12:55,17,8,8,141,3762,16965,0.00,1108.00
00:13:02,8,7,1,143,3763,13187,104.00,3472.00
00:13:09,13,7,6,138,3763,16356,0.00,1440.00
00:13:16,6,3,1,128,3764,14244,0.00,320.00
00:13:23,21,10,8,128,3765,18991,0.00,164.00
00:13:30,8,6,3,126,3765,18389,0.00,560.00
00:13:37,5,4,2,131,3755,13103,0.00,7920.00
00:13:44,11,7,2,132,3756,15236,0.00,3660.00
00:13:51,6,5,3,124,3757,13262,0.00,328.00
00:13:58,15,6,6,124,3758,15228,0.00,364.00
00:14:05,18,7,10,132,3747,16499,0.00,1412.00
00:14:12,8,10,3,123,3747,14981,0.00,3208.00
