Timestamp,Pod_Name,CPU_m,Memory_Mi
23:14:51,drupal-deployment-677cb58b94-2rhfm,15m,256Mi
23:14:51,drupal-mysql-d86854f86-dj5nv,11m,516Mi
23:14:56,drupal-deployment-677cb58b94-2rhfm,15m,256Mi
23:14:56,drupal-mysql-d86854f86-dj5nv,11m,516Mi
23:15:01,drupal-deployment-677cb58b94-2rhfm,23m,256Mi
23:15:01,drupal-mysql-d86854f86-dj5nv,9m,516Mi
23:15:06,drupal-deployment-677cb58b94-2rhfm,23m,256Mi
23:15:06,drupal-mysql-d86854f86-dj5nv,9m,516Mi
23:15:11,drupal-deployment-677cb58b94-2rhfm,23m,256Mi
23:15:11,drupal-mysql-d86854f86-dj5nv,9m,516Mi
23:15:16,drupal-deployment-677cb58b94-2rhfm,110m,172Mi
23:15:16,drupal-mysql-d86854f86-dj5nv,25m,516Mi
23:15:21,drupal-deployment-677cb58b94-2rhfm,110m,172Mi
23:15:21,drupal-mysql-d86854f86-dj5nv,25m,516Mi
23:15:26,drupal-deployment-677cb58b94-2rhfm,110m,172Mi
23:15:26,drupal-mysql-d86854f86-dj5nv,25m,516Mi
23:15:31,drupal-deployment-677cb58b94-2rhfm,266m,145Mi
23:15:31,drupal-mysql-d86854f86-dj5nv,98m,516Mi
23:15:36,drupal-deployment-677cb58b94-2rhfm,266m,145Mi
23:15:36,drupal-mysql-d86854f86-dj5nv,98m,516Mi
23:15:41,drupal-deployment-677cb58b94-2rhfm,266m,145Mi
23:15:41,drupal-mysql-d86854f86-dj5nv,98m,516Mi
23:15:47,drupal-deployment-677cb58b94-2rhfm,460m,161Mi
23:15:47,drupal-mysql-d86854f86-dj5nv,180m,516Mi
23:15:52,drupal-deployment-677cb58b94-2rhfm,460m,161Mi
23:15:52,drupal-mysql-d86854f86-dj5nv,180m,516Mi
23:15:57,drupal-deployment-677cb58b94-2rhfm,460m,161Mi
23:15:57,drupal-mysql-d86854f86-dj5nv,180m,516Mi
23:16:02,drupal-deployment-677cb58b94-2rhfm,567m,184Mi
23:16:02,drupal-mysql-d86854f86-dj5nv,238m,551Mi
23:16:07,drupal-deployment-677cb58b94-2rhfm,567m,184Mi
23:16:07,drupal-mysql-d86854f86-dj5nv,238m,551Mi
23:16:12,drupal-deployment-677cb58b94-2rhfm,567m,184Mi
23:16:12,drupal-mysql-d86854f86-dj5nv,238m,551Mi
23:16:17,drupal-deployment-677cb58b94-2rhfm,538m,178Mi
23:16:17,drupal-deployment-677cb58b94-5r2tx,6m,11Mi
23:16:17,drupal-mysql-d86854f86-dj5nv,256m,555Mi
23:16:22,drupal-deployment-677cb58b94-2rhfm,538m,178Mi
23:16:22,drupal-deployment-677cb58b94-5r2tx,6m,11Mi
23:16:22,drupal-mysql-d86854f86-dj5nv,256m,555Mi
23:16:27,drupal-deployment-677cb58b94-2rhfm,538m,178Mi
23:16:27,drupal-deployment-677cb58b94-5r2tx,6m,11Mi
23:16:27,drupal-mysql-d86854f86-dj5nv,256m,555Mi
23:16:32,drupal-deployment-677cb58b94-2rhfm,538m,178Mi
23:16:32,drupal-deployment-677cb58b94-5r2tx,35m,62Mi
23:16:32,drupal-mysql-d86854f86-dj5nv,256m,555Mi
23:16:37,drupal-deployment-677cb58b94-2rhfm,538m,178Mi
23:16:37,drupal-deployment-677cb58b94-5r2tx,35m,62Mi
23:16:37,drupal-mysql-d86854f86-dj5nv,256m,555Mi
23:16:42,drupal-deployment-677cb58b94-2rhfm,538m,178Mi
23:16:42,drupal-deployment-677cb58b94-5r2tx,35m,62Mi
23:16:42,drupal-mysql-d86854f86-dj5nv,256m,555Mi
23:16:47,drupal-deployment-677cb58b94-2rhfm,388m,166Mi
23:16:47,drupal-deployment-677cb58b94-5r2tx,173m,106Mi
23:16:47,drupal-mysql-d86854f86-dj5nv,202m,556Mi
23:16:52,drupal-deployment-677cb58b94-2rhfm,388m,166Mi
23:16:52,drupal-deployment-677cb58b94-5r2tx,173m,106Mi
23:16:52,drupal-mysql-d86854f86-dj5nv,202m,556Mi
23:16:57,drupal-deployment-677cb58b94-2rhfm,388m,166Mi
23:16:57,drupal-deployment-677cb58b94-5r2tx,173m,106Mi
23:16:57,drupal-mysql-d86854f86-dj5nv,202m,556Mi
23:17:02,drupal-deployment-677cb58b94-2rhfm,388m,166Mi
23:17:02,drupal-deployment-677cb58b94-5r2tx,173m,106Mi
23:17:02,drupal-mysql-d86854f86-dj5nv,256m,556Mi
23:17:08,drupal-deployment-677cb58b94-2rhfm,388m,166Mi
23:17:08,drupal-deployment-677cb58b94-5r2tx,173m,106Mi
23:17:08,drupal-mysql-d86854f86-dj5nv,256m,556Mi
23:17:13,drupal-deployment-677cb58b94-2rhfm,388m,166Mi
23:17:13,drupal-deployment-677cb58b94-5r2tx,173m,106Mi
23:17:13,drupal-mysql-d86854f86-dj5nv,256m,556Mi
23:17:18,drupal-deployment-677cb58b94-2rhfm,311m,159Mi
23:17:18,drupal-deployment-677cb58b94-5r2tx,360m,114Mi
23:17:18,drupal-mysql-d86854f86-dj5nv,256m,556Mi
23:17:23,drupal-deployment-677cb58b94-2rhfm,311m,159Mi
23:17:23,drupal-deployment-677cb58b94-5r2tx,360m,114Mi
23:17:23,drupal-mysql-d86854f86-dj5nv,256m,556Mi
23:17:28,drupal-deployment-677cb58b94-2rhfm,311m,159Mi
23:17:28,drupal-deployment-677cb58b94-5r2tx,360m,114Mi
23:17:28,drupal-mysql-d86854f86-dj5nv,256m,556Mi
23:17:33,drupal-deployment-677cb58b94-2rhfm,335m,169Mi
23:17:33,drupal-deployment-677cb58b94-5r2tx,367m,121Mi
23:17:33,drupal-mysql-d86854f86-dj5nv,292m,557Mi
23:17:38,drupal-deployment-677cb58b94-2rhfm,335m,169Mi
23:17:38,drupal-deployment-677cb58b94-5r2tx,367m,121Mi
23:17:38,drupal-mysql-d86854f86-dj5nv,292m,557Mi
23:17:43,drupal-deployment-677cb58b94-2rhfm,335m,169Mi
23:17:43,drupal-deployment-677cb58b94-5r2tx,367m,121Mi
23:17:43,drupal-mysql-d86854f86-dj5nv,292m,557Mi
23:17:48,drupal-deployment-677cb58b94-2rhfm,296m,163Mi
23:17:48,drupal-deployment-677cb58b94-5r2tx,352m,105Mi
23:17:48,drupal-mysql-d86854f86-dj5nv,268m,557Mi
23:17:53,drupal-deployment-677cb58b94-2rhfm,296m,163Mi
23:17:53,drupal-deployment-677cb58b94-5r2tx,352m,105Mi
23:17:53,drupal-mysql-d86854f86-dj5nv,268m,557Mi
23:17:58,drupal-deployment-677cb58b94-2rhfm,296m,163Mi
23:17:58,drupal-deployment-677cb58b94-5r2tx,352m,105Mi
23:17:58,drupal-mysql-d86854f86-dj5nv,268m,557Mi
23:18:03,drupal-deployment-677cb58b94-2rhfm,332m,166Mi
23:18:03,drupal-deployment-677cb58b94-5r2tx,358m,122Mi
23:18:03,drupal-mysql-d86854f86-dj5nv,278m,557Mi
23:18:08,drupal-deployment-677cb58b94-2rhfm,332m,166Mi
23:18:08,drupal-deployment-677cb58b94-5r2tx,358m,122Mi
23:18:08,drupal-mysql-d86854f86-dj5nv,278m,557Mi
23:18:13,drupal-deployment-677cb58b94-2rhfm,332m,166Mi
23:18:13,drupal-deployment-677cb58b94-5r2tx,358m,122Mi
23:18:13,drupal-mysql-d86854f86-dj5nv,278m,557Mi
23:18:18,drupal-deployment-677cb58b94-2rhfm,306m,164Mi
23:18:18,drupal-deployment-677cb58b94-5r2tx,324m,113Mi
23:18:18,drupal-mysql-d86854f86-dj5nv,266m,558Mi
23:18:24,drupal-deployment-677cb58b94-2rhfm,306m,164Mi
23:18:24,drupal-deployment-677cb58b94-5r2tx,324m,113Mi
23:18:24,drupal-mysql-d86854f86-dj5nv,266m,558Mi
23:18:29,drupal-deployment-677cb58b94-2rhfm,306m,164Mi
23:18:29,drupal-deployment-677cb58b94-5r2tx,324m,113Mi
23:18:29,drupal-mysql-d86854f86-dj5nv,266m,558Mi
23:18:34,drupal-deployment-677cb58b94-2rhfm,329m,166Mi
23:18:34,drupal-deployment-677cb58b94-5r2tx,365m,124Mi
23:18:34,drupal-mysql-d86854f86-dj5nv,274m,558Mi
23:18:39,drupal-deployment-677cb58b94-2rhfm,329m,166Mi
23:18:39,drupal-deployment-677cb58b94-5r2tx,365m,124Mi
23:18:39,drupal-mysql-d86854f86-dj5nv,274m,558Mi
23:18:44,drupal-deployment-677cb58b94-2rhfm,335m,162Mi
23:18:44,drupal-deployment-677cb58b94-5r2tx,378m,122Mi
23:18:44,drupal-mysql-d86854f86-dj5nv,295m,558Mi
23:18:49,drupal-deployment-677cb58b94-2rhfm,335m,162Mi
23:18:49,drupal-deployment-677cb58b94-5r2tx,378m,122Mi
23:18:49,drupal-mysql-d86854f86-dj5nv,295m,558Mi
23:18:54,drupal-deployment-677cb58b94-2rhfm,335m,162Mi
23:18:54,drupal-deployment-677cb58b94-5r2tx,378m,122Mi
23:18:54,drupal-mysql-d86854f86-dj5nv,295m,558Mi
23:18:59,drupal-deployment-677cb58b94-2rhfm,350m,168Mi
23:18:59,drupal-deployment-677cb58b94-5r2tx,376m,130Mi
23:18:59,drupal-mysql-d86854f86-dj5nv,283m,558Mi
23:19:04,drupal-deployment-677cb58b94-2rhfm,350m,168Mi
23:19:04,drupal-deployment-677cb58b94-5r2tx,376m,130Mi
23:19:04,drupal-mysql-d86854f86-dj5nv,283m,558Mi
