Users,Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Samples
10,47.36,81.0,4234.03,4349.0,1189.71,12640.0,22863.8,90.0
20,64.34,100.0,4115.43,4310.0,1208.13,16004.0,26854.56,91.0
30,64.64,99.0,4071.51,4237.0,1094.51,11208.0,26850.67,96.0
40,61.08,101.0,3999.92,4236.0,1492.84,7964.0,25650.28,116.0
50,69.21,101.0,3926.05,4218.0,1553.58,7648.0,27211.22,101.0
60,53.67,100.0,4035.48,4197.0,1158.21,6644.0,24016.81,102.0
70,49.13,101.0,3995.4,4202.0,1219.23,13748.0,23275.7,112.0
80,50.36,100.0,4022.88,4245.0,1319.51,8844.0,22950.39,111.0
90,51.95,101.0,3999.62,4225.0,1161.82,12416.0,23702.06,108.0
100,51.51,100.0,4008.38,4235.0,1096.1,8172.0,23464.3,119.0
Average,56.325,98.4,4040.87,4245.4,1249.364,10528.8,24683.979,104.6
