users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),apdex
10,61679.0,100.0,0.0,92.8,115.0,130.0,86.22,0.23,102.82,1.0
20,95471.0,100.0,0.0,119.66,160.0,193.0,113.97,0.37,159.12,0.998
30,102561.0,96.85,3.15,166.99,251.0,294.0,159.91,0.63,170.94,0.997
40,116189.0,88.47,11.53,196.58,303.0,368.0,186.39,1.46,193.65,0.993
50,117640.0,89.34,10.66,242.57,380.0,466.0,225.62,2.44,196.11,0.979
60,77318.0,99.99,0.01,442.8,732.0,994.15,376.13,6.86,128.86,0.891
70,87609.0,89.93,10.07,456.12,744.0,1023.6,388.15,7.86,146.02,0.87
80,100978.0,92.79,7.21,452.19,693.0,912.0,401.58,7.15,168.31,0.876
90,81422.0,96.51,3.49,630.57,968.0,1284.95,523.64,11.66,135.7,0.714
100,82783.0,99.99,0.01,694.8,1063.0,1389.0,562.48,11.51,137.97,0.682
Average,92365.0,95.387,4.613,349.508,540.9,705.47,302.409,5.017,153.95,0.9
