Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Samples
10,2.0,214.99,425.0,299.78,515.0,311.0
20,3.0,278.23,567.0,283.46,562.0,371.0
30,2.0,277.49,635.0,302.13,574.0,387.0
40,3.0,226.25,796.0,277.06,578.0,558.0
50,3.0,244.79,806.0,277.44,585.0,519.0
60,2.0,212.93,607.0,302.63,587.0,412.0
70,3.0,190.52,574.0,301.77,589.0,486.0
80,3.0,184.32,761.0,299.61,600.0,647.0
90,3.0,201.56,617.0,312.08,599.0,467.0
100,2.0,203.44,590.0,326.71,599.0,487.0
Average,2.6,223.452,637.8,298.267,578.8,464.5
