Timestamp,Pod_Name,CPU_m,Memory_Mi
23:57:02,drupal-deployment-677cb58b94-9t4vm,28m,276Mi
23:57:02,drupal-mysql-d86854f86-jkqb9,8m,436Mi
23:57:07,drupal-deployment-677cb58b94-9t4vm,28m,276Mi
23:57:07,drupal-mysql-d86854f86-jkqb9,8m,436Mi
23:57:12,drupal-deployment-677cb58b94-9t4vm,28m,276Mi
23:57:12,drupal-mysql-d86854f86-jkqb9,8m,436Mi
23:57:17,drupal-deployment-677cb58b94-9t4vm,30m,264Mi
23:57:17,drupal-mysql-d86854f86-jkqb9,7m,436Mi
23:57:22,drupal-deployment-677cb58b94-9t4vm,30m,264Mi
23:57:22,drupal-mysql-d86854f86-jkqb9,7m,436Mi
23:57:28,drupal-deployment-677cb58b94-9t4vm,30m,264Mi
23:57:28,drupal-mysql-d86854f86-jkqb9,7m,436Mi
23:57:33,drupal-deployment-677cb58b94-9t4vm,104m,204Mi
23:57:33,drupal-mysql-d86854f86-jkqb9,23m,436Mi
23:57:38,drupal-deployment-677cb58b94-9t4vm,104m,204Mi
23:57:38,drupal-mysql-d86854f86-jkqb9,23m,436Mi
23:57:43,drupal-deployment-677cb58b94-9t4vm,104m,204Mi
23:57:43,drupal-mysql-d86854f86-jkqb9,23m,436Mi
23:57:48,drupal-deployment-677cb58b94-9t4vm,158m,174Mi
23:57:48,drupal-mysql-d86854f86-jkqb9,58m,436Mi
23:57:53,drupal-deployment-677cb58b94-9t4vm,158m,174Mi
23:57:53,drupal-mysql-d86854f86-jkqb9,58m,436Mi
23:57:58,drupal-deployment-677cb58b94-9t4vm,158m,174Mi
23:57:58,drupal-mysql-d86854f86-jkqb9,58m,436Mi
23:58:03,drupal-deployment-677cb58b94-9t4vm,158m,168Mi
23:58:03,drupal-mysql-d86854f86-jkqb9,68m,437Mi
23:58:08,drupal-deployment-677cb58b94-9t4vm,158m,168Mi
23:58:08,drupal-mysql-d86854f86-jkqb9,68m,437Mi
23:58:13,drupal-deployment-677cb58b94-9t4vm,158m,168Mi
23:58:13,drupal-mysql-d86854f86-jkqb9,68m,437Mi
23:58:18,drupal-deployment-677cb58b94-9t4vm,158m,168Mi
23:58:18,drupal-mysql-d86854f86-jkqb9,70m,437Mi
23:58:23,drupal-deployment-677cb58b94-9t4vm,158m,168Mi
23:58:23,drupal-mysql-d86854f86-jkqb9,70m,437Mi
23:58:28,drupal-deployment-677cb58b94-9t4vm,158m,168Mi
23:58:28,drupal-mysql-d86854f86-jkqb9,70m,437Mi
23:58:33,drupal-deployment-677cb58b94-9t4vm,159m,164Mi
23:58:33,drupal-mysql-d86854f86-jkqb9,75m,437Mi
23:58:38,drupal-deployment-677cb58b94-9t4vm,159m,164Mi
23:58:38,drupal-mysql-d86854f86-jkqb9,75m,437Mi
23:58:43,drupal-deployment-677cb58b94-9t4vm,159m,164Mi
23:58:43,drupal-mysql-d86854f86-jkqb9,75m,437Mi
23:58:48,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:58:48,drupal-mysql-d86854f86-jkqb9,67m,437Mi
23:58:53,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:58:53,drupal-mysql-d86854f86-jkqb9,67m,437Mi
23:58:59,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:58:59,drupal-mysql-d86854f86-jkqb9,67m,437Mi
23:59:04,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:59:04,drupal-mysql-d86854f86-jkqb9,73m,437Mi
23:59:09,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:59:09,drupal-mysql-d86854f86-jkqb9,73m,437Mi
23:59:14,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:59:14,drupal-mysql-d86854f86-jkqb9,73m,437Mi
23:59:19,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:59:19,drupal-mysql-d86854f86-jkqb9,69m,437Mi
23:59:24,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:59:24,drupal-mysql-d86854f86-jkqb9,69m,437Mi
23:59:29,drupal-deployment-677cb58b94-9t4vm,154m,168Mi
23:59:29,drupal-mysql-d86854f86-jkqb9,69m,437Mi
23:59:34,drupal-deployment-677cb58b94-9t4vm,141m,163Mi
23:59:34,drupal-mysql-d86854f86-jkqb9,64m,437Mi
23:59:39,drupal-deployment-677cb58b94-9t4vm,141m,163Mi
23:59:39,drupal-mysql-d86854f86-jkqb9,64m,437Mi
23:59:44,drupal-deployment-677cb58b94-9t4vm,141m,163Mi
23:59:44,drupal-mysql-d86854f86-jkqb9,64m,437Mi
23:59:49,drupal-deployment-677cb58b94-9t4vm,155m,162Mi
23:59:49,drupal-mysql-d86854f86-jkqb9,70m,437Mi
23:59:54,drupal-deployment-677cb58b94-9t4vm,155m,162Mi
23:59:54,drupal-mysql-d86854f86-jkqb9,70m,437Mi
23:59:59,drupal-deployment-677cb58b94-9t4vm,155m,162Mi
23:59:59,drupal-mysql-d86854f86-jkqb9,70m,437Mi
00:00:04,drupal-deployment-677cb58b94-9t4vm,155m,162Mi
00:00:04,drupal-mysql-d86854f86-jkqb9,69m,437Mi
00:00:09,drupal-deployment-677cb58b94-9t4vm,155m,162Mi
00:00:09,drupal-mysql-d86854f86-jkqb9,69m,437Mi
00:00:14,drupal-deployment-677cb58b94-9t4vm,155m,162Mi
00:00:14,drupal-mysql-d86854f86-jkqb9,69m,437Mi
00:00:19,drupal-deployment-677cb58b94-9t4vm,154m,162Mi
00:00:19,drupal-mysql-d86854f86-jkqb9,68m,438Mi
00:00:25,drupal-deployment-677cb58b94-9t4vm,154m,162Mi
00:00:25,drupal-mysql-d86854f86-jkqb9,68m,438Mi
00:00:30,drupal-deployment-677cb58b94-9t4vm,154m,162Mi
00:00:30,drupal-mysql-d86854f86-jkqb9,68m,438Mi
00:00:35,drupal-deployment-677cb58b94-9t4vm,143m,168Mi
00:00:35,drupal-mysql-d86854f86-jkqb9,58m,438Mi
00:00:40,drupal-deployment-677cb58b94-9t4vm,143m,168Mi
00:00:40,drupal-mysql-d86854f86-jkqb9,58m,438Mi
00:00:45,drupal-deployment-677cb58b94-9t4vm,143m,168Mi
00:00:45,drupal-mysql-d86854f86-jkqb9,58m,438Mi
00:00:50,drupal-deployment-677cb58b94-9t4vm,118m,168Mi
00:00:50,drupal-mysql-d86854f86-jkqb9,64m,438Mi
00:00:55,drupal-deployment-677cb58b94-9t4vm,118m,168Mi
00:00:55,drupal-mysql-d86854f86-jkqb9,64m,438Mi
00:01:00,drupal-deployment-677cb58b94-9t4vm,118m,168Mi
00:01:00,drupal-mysql-d86854f86-jkqb9,64m,438Mi
00:01:05,drupal-deployment-677cb58b94-9t4vm,135m,168Mi
00:01:05,drupal-mysql-d86854f86-jkqb9,59m,438Mi
00:01:10,drupal-deployment-677cb58b94-9t4vm,135m,168Mi
00:01:10,drupal-mysql-d86854f86-jkqb9,59m,438Mi
00:01:15,drupal-deployment-677cb58b94-9t4vm,135m,168Mi
00:01:15,drupal-mysql-d86854f86-jkqb9,59m,438Mi
00:01:20,drupal-deployment-677cb58b94-9t4vm,129m,170Mi
00:01:20,drupal-mysql-d86854f86-jkqb9,59m,437Mi
00:01:25,drupal-deployment-677cb58b94-9t4vm,129m,170Mi
00:01:25,drupal-mysql-d86854f86-jkqb9,59m,437Mi
00:01:30,drupal-deployment-677cb58b94-9t4vm,129m,170Mi
00:01:30,drupal-mysql-d86854f86-jkqb9,59m,437Mi
00:01:35,drupal-deployment-677cb58b94-9t4vm,164m,170Mi
00:01:35,drupal-mysql-d86854f86-jkqb9,72m,438Mi
00:01:40,drupal-deployment-677cb58b94-9t4vm,164m,170Mi
00:01:40,drupal-mysql-d86854f86-jkqb9,72m,438Mi
00:01:45,drupal-deployment-677cb58b94-9t4vm,164m,170Mi
00:01:45,drupal-mysql-d86854f86-jkqb9,72m,438Mi
00:01:50,drupal-deployment-677cb58b94-9t4vm,157m,163Mi
00:01:50,drupal-mysql-d86854f86-jkqb9,77m,438Mi
00:01:56,drupal-deployment-677cb58b94-9t4vm,157m,163Mi
00:01:56,drupal-mysql-d86854f86-jkqb9,77m,438Mi
00:02:01,drupal-deployment-677cb58b94-9t4vm,157m,163Mi
00:02:01,drupal-mysql-d86854f86-jkqb9,77m,438Mi
00:02:06,drupal-deployment-677cb58b94-9t4vm,176m,162Mi
00:02:06,drupal-mysql-d86854f86-jkqb9,74m,438Mi
00:02:11,drupal-deployment-677cb58b94-9t4vm,176m,162Mi
00:02:11,drupal-mysql-d86854f86-jkqb9,74m,438Mi
00:02:16,drupal-deployment-677cb58b94-9t4vm,176m,162Mi
00:02:16,drupal-mysql-d86854f86-jkqb9,74m,438Mi
00:02:21,drupal-deployment-677cb58b94-9t4vm,163m,165Mi
00:02:21,drupal-mysql-d86854f86-jkqb9,76m,437Mi
00:02:26,drupal-deployment-677cb58b94-9t4vm,163m,165Mi
00:02:26,drupal-mysql-d86854f86-jkqb9,76m,437Mi
00:02:31,drupal-deployment-677cb58b94-9t4vm,163m,165Mi
00:02:31,drupal-mysql-d86854f86-jkqb9,76m,437Mi
00:02:36,drupal-deployment-677cb58b94-9t4vm,146m,162Mi
00:02:36,drupal-mysql-d86854f86-jkqb9,70m,438Mi
00:02:41,drupal-deployment-677cb58b94-9t4vm,146m,162Mi
00:02:41,drupal-mysql-d86854f86-jkqb9,70m,438Mi
00:02:46,drupal-deployment-677cb58b94-9t4vm,146m,162Mi
00:02:46,drupal-mysql-d86854f86-jkqb9,70m,438Mi
00:02:51,drupal-deployment-677cb58b94-9t4vm,146m,162Mi
00:02:51,drupal-mysql-d86854f86-jkqb9,58m,437Mi
00:02:56,drupal-deployment-677cb58b94-9t4vm,146m,162Mi
00:02:56,drupal-mysql-d86854f86-jkqb9,58m,437Mi
00:03:01,drupal-deployment-677cb58b94-9t4vm,146m,162Mi
00:03:01,drupal-mysql-d86854f86-jkqb9,58m,437Mi
00:03:06,drupal-deployment-677cb58b94-9t4vm,133m,162Mi
00:03:06,drupal-mysql-d86854f86-jkqb9,60m,438Mi
00:03:11,drupal-deployment-677cb58b94-9t4vm,133m,162Mi
00:03:11,drupal-mysql-d86854f86-jkqb9,60m,438Mi
00:03:16,drupal-deployment-677cb58b94-9t4vm,133m,162Mi
00:03:16,drupal-mysql-d86854f86-jkqb9,60m,438Mi
00:03:22,drupal-deployment-677cb58b94-9t4vm,138m,168Mi
00:03:22,drupal-mysql-d86854f86-jkqb9,58m,438Mi
00:03:27,drupal-deployment-677cb58b94-9t4vm,138m,168Mi
00:03:27,drupal-mysql-d86854f86-jkqb9,58m,438Mi
00:03:32,drupal-deployment-677cb58b94-9t4vm,138m,168Mi
00:03:32,drupal-mysql-d86854f86-jkqb9,58m,438Mi
00:03:37,drupal-deployment-677cb58b94-9t4vm,128m,162Mi
00:03:37,drupal-mysql-d86854f86-jkqb9,70m,437Mi
00:03:42,drupal-deployment-677cb58b94-9t4vm,128m,162Mi
00:03:42,drupal-mysql-d86854f86-jkqb9,70m,437Mi
00:03:47,drupal-deployment-677cb58b94-9t4vm,128m,162Mi
00:03:47,drupal-mysql-d86854f86-jkqb9,70m,437Mi
00:03:52,drupal-deployment-677cb58b94-9t4vm,165m,165Mi
00:03:52,drupal-mysql-d86854f86-jkqb9,75m,437Mi
00:03:57,drupal-deployment-677cb58b94-9t4vm,165m,165Mi
00:03:57,drupal-mysql-d86854f86-jkqb9,75m,437Mi
00:04:02,drupal-deployment-677cb58b94-9t4vm,173m,174Mi
00:04:02,drupal-mysql-d86854f86-jkqb9,75m,437Mi
00:04:07,drupal-deployment-677cb58b94-9t4vm,173m,174Mi
00:04:07,drupal-mysql-d86854f86-jkqb9,75m,437Mi
00:04:12,drupal-deployment-677cb58b94-9t4vm,173m,174Mi
00:04:12,drupal-mysql-d86854f86-jkqb9,75m,437Mi
00:04:17,drupal-deployment-677cb58b94-9t4vm,158m,173Mi
00:04:17,drupal-mysql-d86854f86-jkqb9,73m,438Mi
00:04:22,drupal-deployment-677cb58b94-9t4vm,158m,173Mi
00:04:22,drupal-mysql-d86854f86-jkqb9,73m,438Mi
00:04:27,drupal-deployment-677cb58b94-9t4vm,158m,173Mi
00:04:27,drupal-mysql-d86854f86-jkqb9,73m,438Mi
00:04:32,drupal-deployment-677cb58b94-9t4vm,152m,174Mi
00:04:32,drupal-mysql-d86854f86-jkqb9,71m,438Mi
00:04:37,drupal-deployment-677cb58b94-9t4vm,152m,174Mi
00:04:37,drupal-mysql-d86854f86-jkqb9,71m,438Mi
00:04:42,drupal-deployment-677cb58b94-9t4vm,152m,174Mi
00:04:42,drupal-mysql-d86854f86-jkqb9,71m,438Mi
00:04:47,drupal-deployment-677cb58b94-9t4vm,168m,168Mi
