Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
23:50:26,1778629825,5,2,1,153,4128,0.63,6602,13132,0.00,312.00
23:50:33,1778629832,9,6,1,166,4129,0.61,8121,16119,0.00,2196.00
23:50:41,1778629839,7,6,2,164,4119,0.56,9131,17991,0.00,272.00
23:50:48,1778629847,16,13,2,170,4120,0.52,10053,19781,0.00,68.00
23:50:55,1778629854,18,9,8,166,4120,0.44,9664,17857,0.00,348.00
23:51:02,1778629861,9,5,4,169,4120,0.40,9474,18520,0.00,172.00
23:51:09,1778629868,13,12,1,170,4122,0.34,9623,18707,0.00,1880.00
23:51:16,1778629875,8,7,1,170,4124,0.47,10387,19391,0.00,224.00
23:51:23,1778629882,8,9,3,162,4124,0.60,9962,19151,0.00,1032.00
23:51:30,1778629889,8,6,2,161,4125,0.50,9251,18093,0.00,400.00
23:51:37,1778629896,6,5,2,159,4125,0.87,7893,14991,0.00,572.00
23:51:44,1778629903,17,10,7,159,4127,0.89,11913,23635,0.00,6572.00
23:51:51,1778629910,9,7,4,161,4127,0.82,9614,20419,0.00,352.00
23:51:58,1778629917,10,12,2,168,4125,1.16,10056,19634,0.00,328.00
23:52:05,1778629924,14,8,7,171,4125,0.98,8555,16967,0.00,276.00
23:52:12,1778629931,7,4,1,160,4126,0.90,8757,16247,0.00,256.00
23:52:19,1778629938,9,9,0,168,4127,1.08,8953,16957,0.00,396.00
23:52:26,1778629945,7,6,1,163,4128,0.99,9416,17793,0.00,172.00
23:52:33,1778629952,6,6,1,155,4128,1.07,8840,16830,0.00,976.00
23:52:40,1778629959,11,9,3,152,4129,1.57,11039,20512,0.00,136.00
23:52:47,1778629966,10,12,0,150,4133,1.45,10193,18530,0.00,200.00
23:52:54,1778629973,20,11,5,142,4134,1.74,11743,22186,0.00,2856.00
23:53:01,1778629980,11,6,0,142,4134,1.60,8560,15814,0.00,456.00
23:53:08,1778629987,10,12,2,135,4134,1.83,9895,19024,0.00,188.00
23:53:15,1778629994,8,8,7,137,4136,1.68,11020,20892,0.00,320.00
23:53:22,1778630001,8,6,3,128,4136,1.55,10178,19387,0.00,248.00
23:53:29,1778630008,7,6,2,209,4098,1.70,8795,17041,0.00,396.00
23:53:36,1778630015,10,7,4,198,4101,1.57,9551,18739,0.00,380.00
23:53:43,1778630022,9,9,5,190,4102,1.57,10996,21687,0.00,980.00
23:53:50,1778630029,11,8,3,194,4103,1.44,11500,23246,0.00,212.00
23:53:57,1778630036,13,12,1,193,4104,1.32,9709,17589,0.00,348.00
23:54:04,1778630043,19,8,5,186,4104,1.12,9630,18682,0.00,2872.00
23:54:11,1778630050,5,5,1,175,4104,1.11,8484,15515,0.00,172.00
23:54:18,1778630057,9,11,2,182,4106,0.94,11131,20704,0.00,36.00
23:54:26,1778630065,8,7,8,174,4107,0.86,10863,21131,0.00,264.00
23:54:33,1778630072,7,4,2,173,4107,0.79,8397,16097,0.00,84.00
23:54:40,1778630079,8,8,1,171,4107,0.67,8791,17175,0.00,536.00
23:54:47,1778630086,8,9,2,172,4109,1.02,11370,20650,0.00,244.00
23:54:54,1778630093,13,10,2,182,4110,0.86,10457,19483,0.00,3320.00
23:55:01,1778630100,9,8,3,168,4110,0.79,10576,19482,0.00,308.00
23:55:08,1778630107,11,11,3,173,4111,0.73,10483,20236,0.00,672.00
23:55:15,1778630114,19,11,6,169,4111,0.62,12257,23761,0.00,1876.00
23:55:22,1778630121,9,9,2,166,4113,0.57,11062,20537,0.00,412.00
23:55:29,1778630128,9,11,4,160,4113,0.48,10997,21311,72.00,20.00
23:55:36,1778630135,9,8,4,166,4114,1.16,11275,22611,0.00,308.00
23:55:43,1778630142,7,6,2,169,4114,1.15,10153,19132,0.00,1048.00
23:55:50,1778630149,13,10,0,164,4116,0.97,10960,20150,0.00,1704.00
23:55:57,1778630156,7,10,3,174,4117,0.89,8939,16649,0.00,148.00
23:56:04,1778630163,20,11,4,169,4117,0.76,10635,20332,0.00,2764.00
23:56:11,1778630170,7,5,3,160,4108,0.69,9085,16818,0.00,112.00
23:56:18,1778630177,9,10,2,157,4108,0.64,11391,21710,0.00,188.00
23:56:25,1778630184,9,10,7,154,4110,0.54,12068,23347,0.00,244.00
23:56:32,1778630191,6,6,0,159,4110,0.50,9217,17268,0.00,272.00
23:56:39,1778630198,7,8,2,161,4111,0.50,10259,19525,0.00,344.00
23:56:46,1778630205,13,9,1,140,4112,0.46,11548,21378,0.00,572.00
23:56:53,1778630212,8,9,2,167,4112,0.39,11307,21115,0.00,820.00
23:57:00,1778630219,11,8,1,163,4113,0.36,10437,19793,0.00,260.00
23:57:07,1778630226,9,7,5,137,4114,0.33,10542,20631,0.00,284.00
23:57:14,1778630233,21,12,5,152,4114,0.28,12562,24443,0.00,2868.00
23:57:21,1778630240,8,9,2,154,4115,0.50,11328,20838,0.00,248.00
23:57:28,1778630247,11,8,2,150,4115,0.42,9925,18691,0.00,344.00
23:57:35,1778630254,8,11,6,149,4116,0.39,12149,25491,0.00,180.00
