timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect;"cacheStatus"
1778629827334;557;HTTP Request;200;OK;Thread Group 1-1;text;true;;17288;162;2;2;https://drupal.kiraryuuki.systems/;549;0;488;EXPIRED
1778629827640;258;HTTP Request;200;OK;Thread Group 1-2;text;true;;17284;162;2;2;https://drupal.kiraryuuki.systems/;251;0;184;HIT
1778629827892;69;HTTP Request;200;OK;Thread Group 1-1;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;60;0;0;HIT
1778629827898;69;HTTP Request;200;OK;Thread Group 1-2;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;67;0;0;HIT
1778629827962;75;HTTP Request;200;OK;Thread Group 1-1;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;69;0;0;HIT
1778629827967;74;HTTP Request;200;OK;Thread Group 1-2;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;69;0;0;HIT
1778629828037;70;HTTP Request;200;OK;Thread Group 1-1;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;69;0;0;HIT
1778629828041;68;HTTP Request;200;OK;Thread Group 1-2;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;62;0;0;HIT
1778629827937;224;HTTP Request;200;OK;Thread Group 1-3;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;211;0;159;HIT
1778629828107;117;HTTP Request;200;OK;Thread Group 1-1;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;116;0;0;HIT
1778629828109;116;HTTP Request;200;OK;Thread Group 1-2;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;115;0;0;HIT
1778629828161;68;HTTP Request;200;OK;Thread Group 1-3;text;true;;17284;162;3;3;https://drupal.kiraryuuki.systems/;66;0;0;HIT
1778629828229;62;HTTP Request;200;OK;Thread Group 1-3;text;true;;17284;162;4;4;https://drupal.kiraryuuki.systems/;50;0;0;HIT
