Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
23:03:44,drupal-deployment-677cb58b94-w8nvb,27m,210Mi,1m,78Mi
23:03:44,drupal-mysql-d86854f86-h9gp6,9m,463Mi,1m,78Mi
23:03:49,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,1m,78Mi
23:03:49,drupal-mysql-d86854f86-h9gp6,7m,463Mi,1m,78Mi
23:03:54,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,1m,78Mi
23:03:54,drupal-mysql-d86854f86-h9gp6,7m,463Mi,1m,78Mi
23:03:59,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,1m,78Mi
23:03:59,drupal-mysql-d86854f86-h9gp6,7m,463Mi,1m,78Mi
23:04:05,drupal-deployment-677cb58b94-w8nvb,34m,210Mi,22m,79Mi
23:04:05,drupal-mysql-d86854f86-h9gp6,7m,463Mi,22m,79Mi
23:04:10,drupal-deployment-677cb58b94-w8nvb,34m,210Mi,22m,79Mi
23:04:10,drupal-mysql-d86854f86-h9gp6,7m,463Mi,22m,79Mi
23:04:15,drupal-deployment-677cb58b94-w8nvb,34m,210Mi,22m,79Mi
23:04:15,drupal-mysql-d86854f86-h9gp6,7m,463Mi,22m,79Mi
23:04:20,drupal-deployment-677cb58b94-w8nvb,16m,210Mi,22m,79Mi
23:04:20,drupal-mysql-d86854f86-h9gp6,8m,463Mi,22m,79Mi
23:04:25,drupal-deployment-677cb58b94-w8nvb,16m,210Mi,22m,79Mi
23:04:25,drupal-mysql-d86854f86-h9gp6,8m,463Mi,22m,79Mi
23:04:30,drupal-deployment-677cb58b94-w8nvb,16m,210Mi,22m,79Mi
23:04:30,drupal-mysql-d86854f86-h9gp6,8m,463Mi,22m,79Mi
23:04:35,drupal-deployment-677cb58b94-w8nvb,37m,210Mi,63m,81Mi
23:04:35,drupal-mysql-d86854f86-h9gp6,9m,464Mi,63m,81Mi
23:04:40,drupal-deployment-677cb58b94-w8nvb,37m,210Mi,63m,81Mi
23:04:40,drupal-mysql-d86854f86-h9gp6,9m,464Mi,63m,81Mi
23:04:45,drupal-deployment-677cb58b94-w8nvb,37m,210Mi,63m,81Mi
23:04:45,drupal-mysql-d86854f86-h9gp6,9m,464Mi,63m,81Mi
23:04:51,drupal-deployment-677cb58b94-w8nvb,15m,210Mi,62m,82Mi
23:04:51,drupal-mysql-d86854f86-h9gp6,8m,464Mi,62m,82Mi
23:04:56,drupal-deployment-677cb58b94-w8nvb,15m,210Mi,62m,82Mi
23:04:56,drupal-mysql-d86854f86-h9gp6,8m,464Mi,62m,82Mi
23:05:01,drupal-deployment-677cb58b94-w8nvb,15m,210Mi,62m,82Mi
23:05:01,drupal-mysql-d86854f86-h9gp6,8m,464Mi,62m,82Mi
23:05:06,drupal-deployment-677cb58b94-w8nvb,36m,210Mi,67m,82Mi
23:05:06,drupal-mysql-d86854f86-h9gp6,8m,464Mi,67m,82Mi
23:05:11,drupal-deployment-677cb58b94-w8nvb,36m,210Mi,67m,82Mi
23:05:11,drupal-mysql-d86854f86-h9gp6,8m,464Mi,67m,82Mi
23:05:16,drupal-deployment-677cb58b94-w8nvb,36m,210Mi,67m,82Mi
23:05:16,drupal-mysql-d86854f86-h9gp6,8m,464Mi,67m,82Mi
23:05:21,drupal-deployment-677cb58b94-w8nvb,21m,210Mi,69m,84Mi
23:05:21,drupal-mysql-d86854f86-h9gp6,8m,464Mi,69m,84Mi
23:05:26,drupal-deployment-677cb58b94-w8nvb,21m,210Mi,69m,84Mi
23:05:26,drupal-mysql-d86854f86-h9gp6,8m,464Mi,69m,84Mi
23:05:31,drupal-deployment-677cb58b94-w8nvb,21m,210Mi,69m,84Mi
23:05:32,drupal-mysql-d86854f86-h9gp6,8m,464Mi,69m,84Mi
23:05:37,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,69m,84Mi
23:05:37,drupal-mysql-d86854f86-h9gp6,6m,464Mi,69m,84Mi
23:05:42,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,69m,84Mi
23:05:42,drupal-mysql-d86854f86-h9gp6,6m,464Mi,69m,84Mi
23:05:47,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,69m,84Mi
23:05:47,drupal-mysql-d86854f86-h9gp6,6m,464Mi,69m,84Mi
23:05:52,drupal-deployment-677cb58b94-w8nvb,27m,210Mi,68m,84Mi
23:05:52,drupal-mysql-d86854f86-h9gp6,9m,464Mi,68m,84Mi
23:05:57,drupal-deployment-677cb58b94-w8nvb,27m,210Mi,68m,84Mi
23:05:57,drupal-mysql-d86854f86-h9gp6,9m,464Mi,68m,84Mi
23:06:02,drupal-deployment-677cb58b94-w8nvb,27m,210Mi,68m,84Mi
23:06:02,drupal-mysql-d86854f86-h9gp6,9m,464Mi,68m,84Mi
23:06:07,drupal-deployment-677cb58b94-w8nvb,19m,210Mi,67m,84Mi
23:06:07,drupal-mysql-d86854f86-h9gp6,8m,464Mi,67m,84Mi
23:06:13,drupal-deployment-677cb58b94-w8nvb,19m,210Mi,67m,84Mi
23:06:13,drupal-mysql-d86854f86-h9gp6,8m,464Mi,67m,84Mi
23:06:18,drupal-deployment-677cb58b94-w8nvb,19m,210Mi,67m,84Mi
23:06:18,drupal-mysql-d86854f86-h9gp6,8m,464Mi,67m,84Mi
23:06:23,drupal-deployment-677cb58b94-w8nvb,31m,210Mi,64m,84Mi
23:06:23,drupal-mysql-d86854f86-h9gp6,7m,464Mi,64m,84Mi
23:06:28,drupal-deployment-677cb58b94-w8nvb,31m,210Mi,64m,84Mi
23:06:28,drupal-mysql-d86854f86-h9gp6,7m,464Mi,64m,84Mi
23:06:33,drupal-deployment-677cb58b94-w8nvb,31m,210Mi,64m,84Mi
23:06:33,drupal-mysql-d86854f86-h9gp6,7m,464Mi,64m,84Mi
23:06:38,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,60m,84Mi
23:06:38,drupal-mysql-d86854f86-h9gp6,9m,464Mi,60m,84Mi
23:06:43,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,60m,84Mi
23:06:43,drupal-mysql-d86854f86-h9gp6,9m,464Mi,60m,84Mi
23:06:48,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,60m,84Mi
23:06:48,drupal-mysql-d86854f86-h9gp6,9m,464Mi,60m,84Mi
23:06:54,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,62m,84Mi
23:06:54,drupal-mysql-d86854f86-h9gp6,8m,464Mi,62m,84Mi
23:06:59,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,62m,84Mi
23:06:59,drupal-mysql-d86854f86-h9gp6,8m,464Mi,62m,84Mi
23:07:04,drupal-deployment-677cb58b94-w8nvb,20m,210Mi,62m,84Mi
23:07:04,drupal-mysql-d86854f86-h9gp6,8m,464Mi,62m,84Mi
23:07:09,drupal-deployment-677cb58b94-w8nvb,26m,210Mi,66m,84Mi
23:07:09,drupal-mysql-d86854f86-h9gp6,9m,464Mi,66m,84Mi
23:07:14,drupal-deployment-677cb58b94-w8nvb,26m,210Mi,66m,84Mi
23:07:14,drupal-mysql-d86854f86-h9gp6,9m,464Mi,66m,84Mi
23:07:19,drupal-deployment-677cb58b94-w8nvb,38m,210Mi,63m,83Mi
23:07:19,drupal-mysql-d86854f86-h9gp6,8m,464Mi,63m,83Mi
23:07:24,drupal-deployment-677cb58b94-w8nvb,38m,210Mi,63m,83Mi
23:07:24,drupal-mysql-d86854f86-h9gp6,8m,464Mi,63m,83Mi
23:07:29,drupal-deployment-677cb58b94-w8nvb,38m,210Mi,63m,83Mi
23:07:29,drupal-mysql-d86854f86-h9gp6,8m,464Mi,63m,83Mi
23:07:35,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,60m,83Mi
23:07:35,drupal-mysql-d86854f86-h9gp6,7m,464Mi,60m,83Mi
23:07:40,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,60m,83Mi
23:07:40,drupal-mysql-d86854f86-h9gp6,7m,464Mi,60m,83Mi
23:07:45,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,60m,83Mi
23:07:45,drupal-mysql-d86854f86-h9gp6,7m,464Mi,60m,83Mi
23:07:50,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,61m,84Mi
23:07:50,drupal-mysql-d86854f86-h9gp6,8m,464Mi,61m,84Mi
23:07:55,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,61m,84Mi
23:07:55,drupal-mysql-d86854f86-h9gp6,8m,464Mi,61m,84Mi
23:08:00,drupal-deployment-677cb58b94-w8nvb,13m,210Mi,61m,84Mi
23:08:00,drupal-mysql-d86854f86-h9gp6,8m,464Mi,61m,84Mi
23:08:05,drupal-deployment-677cb58b94-w8nvb,24m,210Mi,60m,83Mi
23:08:05,drupal-mysql-d86854f86-h9gp6,7m,464Mi,60m,83Mi
23:08:10,drupal-deployment-677cb58b94-w8nvb,24m,210Mi,60m,83Mi
