Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
21:50:07,1779227406,7,5,1,135,4152,1.88,7158,14215,0.00,464.00
21:50:14,1779227413,16,9,4,136,4152,2.05,9559,20071,0.00,244.00
21:50:21,1779227420,6,2,2,128,4153,1.88,6358,12844,0.00,232.00
21:50:28,1779227427,8,8,2,132,4153,2.30,7156,14249,0.00,164.00
21:50:35,1779227434,34,10,2,157,4127,2.59,9846,20875,864.00,328.00
21:50:42,1779227441,52,14,0,155,4130,2.43,10511,22993,0.00,988.00
21:50:49,1779227448,64,21,0,150,4133,2.40,10704,25235,0.00,256.00
21:50:57,1779227455,67,19,1,153,4127,2.69,12333,27722,0.00,492.00
21:51:04,1779227463,78,22,0,147,4130,3.44,12088,31428,0.00,344.00
21:51:11,1779227470,68,20,0,157,4135,3.41,12366,28123,0.00,288.00
21:51:19,1779227477,71,22,1,135,4140,4.58,12292,30501,0.00,228.00
21:51:26,1779227485,78,22,0,148,4132,5.02,13763,30596,0.00,15220.00
21:51:34,1779227492,77,23,0,138,4136,5.54,12482,32105,0.00,2692.00
21:51:41,1779227500,75,22,0,139,4126,5.26,11512,27385,0.00,332.00
21:51:49,1779227507,78,22,0,150,4130,5.47,13105,32834,0.00,236.00
21:51:57,1779227515,75,20,0,128,4135,7.30,12644,29564,0.00,10860.00
21:52:04,1779227523,79,21,0,127,4129,7.03,11617,26340,0.00,888.00
21:52:11,1779227530,75,25,0,123,4133,6.79,11513,26791,0.00,388.00
21:52:20,1779227538,79,20,0,186,4115,7.12,15017,39233,0.00,320.75
21:52:27,1779227546,79,21,0,170,4109,8.25,13083,29276,0.00,328.00
21:52:35,1779227553,80,21,0,168,4114,8.47,12250,28548,0.00,528.00
21:52:44,1779227561,80,20,0,174,4109,9.81,11343,27507,0.00,4611.76
21:52:52,1779227570,70,29,0,158,4112,9.18,14822,29473,0.00,204.00
21:53:00,1779227578,80,20,0,155,4116,8.49,11564,26134,0.00,262.75
21:53:08,1779227586,82,18,0,142,4120,8.80,13031,29390,0.00,504.00
21:53:16,1779227595,78,19,0,143,4115,8.98,13887,31555,0.00,1770.30
21:53:24,1779227603,81,17,0,132,4120,10.09,12356,27824,0.00,1984.00
21:53:32,1779227611,80,19,0,142,4112,10.33,12131,27850,0.00,336.00
21:53:40,1779227619,76,24,0,144,4116,9.82,12162,28924,0.00,455.45
21:53:48,1779227626,80,20,0,124,4120,10.08,12805,30187,0.00,11921.57
21:53:55,1779227634,78,22,0,135,4114,10.24,13468,29144,0.00,1508.00
21:54:04,1779227641,78,22,0,133,4118,9.52,12566,29061,0.00,2134.16
21:54:12,1779227650,76,24,0,128,4113,10.58,13232,29325,0.00,636.89
21:54:20,1779227658,84,16,0,142,4117,9.89,11634,29216,0.00,823.76
21:54:27,1779227666,76,22,0,167,4098,10.49,13004,28420,0.00,228.57
21:54:35,1779227673,77,23,0,150,4092,11.09,13361,30211,25.81,1454.84
21:54:42,1779227681,20,7,0,158,4095,9.91,9252,17116,128.00,11772.00
21:54:50,1779227688,73,19,1,154,4097,9.27,12729,28703,0.00,221.21
21:54:58,1779227696,82,18,0,154,4102,9.81,12956,30156,0.00,244.00
21:55:05,1779227704,80,20,0,149,4095,9.90,12409,29809,0.00,2531.03
21:55:13,1779227712,78,22,0,146,4100,10.19,13173,29020,0.00,228.00
21:55:22,1779227720,77,23,0,148,4094,10.44,11781,27962,0.00,268.00
21:55:29,1779227728,79,21,0,147,4099,9.76,11808,29048,0.00,656.00
21:55:36,1779227735,78,23,0,140,4103,9.46,13325,31248,0.00,2249.50
21:55:44,1779227742,79,21,0,141,4097,10.19,12861,29341,0.00,998.06
21:55:53,1779227751,76,24,0,134,4102,10.36,13691,30405,0.00,5881.19
21:56:02,1779227759,80,19,0,141,4097,9.85,13518,28818,0.00,164.00
21:56:09,1779227768,82,18,0,128,4102,9.47,13121,30976,0.00,184.31
21:56:17,1779227775,78,20,1,132,4107,11.57,12062,28227,0.00,10070.80
21:56:25,1779227783,79,21,0,126,4101,11.44,12991,30106,0.00,1096.00
21:56:33,1779227791,76,24,0,134,4106,11.26,11662,28249,0.00,376.00
21:56:41,1779227799,78,22,0,129,4100,11.32,13991,31517,0.00,217.82
21:56:50,1779227808,79,20,0,125,4105,11.99,12970,28016,0.00,172.00
21:56:58,1779227816,81,18,0,124,4109,11.34,11000,27910,0.00,11888.00
21:57:06,1779227824,79,22,0,176,4081,11.15,12757,28861,1060.00,2164.00
21:57:14,1779227832,76,24,0,162,4087,11.22,13161,30583,0.00,342.31
21:57:22,1779227840,71,28,0,154,4091,10.74,15324,29034,0.00,176.00
21:57:31,1779227849,78,22,0,164,4084,10.68,11526,27789,0.00,252.00
21:57:40,1779227858,79,19,0,162,4090,11.50,17187,38568,0.00,176.00
21:57:48,1779227867,78,20,1,159,4095,11.19,11424,25862,0.00,281.90
21:57:55,1779227874,79,21,0,164,4086,11.09,13046,29502,0.00,530.77
21:58:03,1779227882,78,22,0,154,4091,10.41,11259,26575,0.00,11520.00
21:58:12,1779227890,79,21,0,148,4085,11.55,12436,28192,0.00,542.57
21:58:20,1779227898,79,20,0,161,4090,12.07,12696,29437,0.00,254.90
21:58:28,1779227906,81,19,0,154,4094,11.87,16186,40338,0.00,234.48
21:58:36,1779227914,80,20,0,150,4089,11.88,10781,26829,0.00,3216.00
21:58:44,1779227922,75,25,0,147,4093,12.05,12789,30190,0.00,212.00
21:58:53,1779227930,81,18,0,147,4087,13.12,12842,27602,0.00,418.02
21:59:01,1779227939,81,19,0,137,4092,12.55,13611,30658,0.00,168.00
21:59:09,1779227947,83,18,0,136,4097,12.41,10622,25890,0.00,11568.00
21:59:17,1779227955,79,20,0,137,4093,12.94,12786,28000,0.00,2082.35
21:59:24,1779227963,77,23,0,139,4099,12.73,11566,25460,0.00,416.00
