Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
21:50:13,drupal-deployment-677cb58b94-xn4rn,19m,192Mi,1m,73Mi,BLOCKED
21:50:13,drupal-mysql-d86854f86-5qcvf,8m,416Mi,1m,73Mi,BLOCKED
21:50:18,drupal-deployment-677cb58b94-xn4rn,23m,192Mi,1m,74Mi,BLOCKED
21:50:18,drupal-mysql-d86854f86-5qcvf,9m,416Mi,1m,74Mi,BLOCKED
21:50:23,drupal-deployment-677cb58b94-xn4rn,23m,192Mi,1m,74Mi,BLOCKED
21:50:23,drupal-mysql-d86854f86-5qcvf,9m,416Mi,1m,74Mi,BLOCKED
21:50:28,drupal-deployment-677cb58b94-xn4rn,23m,192Mi,1m,74Mi,BLOCKED
21:50:28,drupal-mysql-d86854f86-5qcvf,9m,416Mi,1m,74Mi,BLOCKED
21:50:33,drupal-deployment-677cb58b94-xn4rn,31m,192Mi,1m,74Mi,BLOCKED
21:50:33,drupal-mysql-d86854f86-5qcvf,9m,416Mi,1m,74Mi,BLOCKED
21:50:39,drupal-deployment-677cb58b94-xn4rn,31m,192Mi,1m,74Mi,BLOCKED
21:50:39,drupal-mysql-d86854f86-5qcvf,9m,416Mi,1m,74Mi,BLOCKED
21:50:44,drupal-deployment-677cb58b94-xn4rn,31m,192Mi,1m,74Mi,BLOCKED
21:50:44,drupal-mysql-d86854f86-5qcvf,9m,416Mi,1m,74Mi,BLOCKED
21:50:49,drupal-deployment-677cb58b94-xn4rn,18m,192Mi,285m,75Mi,BLOCKED
21:50:49,drupal-mysql-d86854f86-5qcvf,8m,416Mi,285m,75Mi,BLOCKED
21:50:54,drupal-deployment-677cb58b94-xn4rn,18m,192Mi,285m,75Mi,BLOCKED
21:50:54,drupal-mysql-d86854f86-5qcvf,8m,416Mi,285m,75Mi,BLOCKED
21:51:00,drupal-deployment-677cb58b94-xn4rn,18m,192Mi,285m,75Mi,BLOCKED
21:51:00,drupal-mysql-d86854f86-5qcvf,8m,416Mi,285m,75Mi,BLOCKED
21:51:05,drupal-deployment-677cb58b94-xn4rn,46m,192Mi,1257m,77Mi,BLOCKED
21:51:05,drupal-mysql-d86854f86-5qcvf,11m,416Mi,1257m,77Mi,BLOCKED
21:51:10,drupal-deployment-677cb58b94-xn4rn,46m,192Mi,1257m,77Mi,BLOCKED
21:51:10,drupal-mysql-d86854f86-5qcvf,11m,416Mi,1257m,77Mi,BLOCKED
21:51:15,drupal-deployment-677cb58b94-xn4rn,46m,192Mi,1257m,77Mi,BLOCKED
