Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
23:55:13,1779580511,83,17,0,160,4077,4.69,11857,25040,0.00,16.00
23:55:17,1779580516,84,16,0,165,4080,5.83,12035,27090,0.00,257.43
23:55:23,1779580521,72,28,0,162,4068,6.41,11259,28210,0.00,138.46
23:55:29,1779580527,83,16,1,158,4071,7.83,11247,24849,0.00,118.40
23:55:34,1779580532,82,18,0,159,4073,7.85,11225,25158,0.00,110.89
23:55:40,1779580537,82,18,0,145,4076,8.18,12297,29284,0.00,176.00
23:55:44,1779580543,81,19,0,145,4078,8.17,11804,25511,0.00,400.00
23:55:50,1779580548,81,19,0,266,3972,8.39,11506,24271,844.00,1764.00
23:55:56,1779580553,76,25,0,261,3967,8.60,11218,25750,3.23,11664.52
23:56:00,1779580558,73,27,0,253,3975,8.79,17482,34154,0.00,8647.06
23:56:05,1779580564,40,16,0,224,3977,8.25,12232,25845,0.00,184.00
23:56:11,1779580569,81,19,0,246,3979,9.43,10770,26320,0.00,184.31
23:56:16,1779580574,77,23,0,242,3981,10.36,12013,27797,0.00,246.15
23:56:21,1779580579,76,24,0,239,3983,10.09,12797,26097,0.00,1231.37
23:56:27,1779580584,84,16,0,228,3974,10.32,11071,25280,0.00,814.04
23:56:33,1779580590,85,16,0,233,3977,10.38,12899,27670,0.00,542.57
23:56:37,1779580595,85,15,0,218,3980,11.39,13241,28767,0.00,1223.76
23:56:43,1779580600,83,17,0,214,3982,11.52,12406,27953,0.00,478.43
23:56:48,1779580607,83,17,0,227,3985,11.80,16588,36625,0.00,629.70
23:56:55,1779580612,82,18,0,228,3978,12.43,13252,30855,0.00,170.87
23:56:59,1779580617,83,17,0,237,3981,12.40,11959,28143,0.00,296.00
23:57:03,1779580622,74,20,0,223,3983,12.40,15657,33609,0.00,204.00
23:57:09,1779580627,55,21,4,209,3984,11.56,14347,34431,0.00,247.06
23:57:15,1779580632,84,16,0,221,3986,11.63,11101,26330,0.00,372.28
23:57:20,1779580638,82,18,0,211,3989,11.34,11090,23396,0.00,225.74
23:57:25,1779580643,81,19,0,221,3978,11.07,11760,27533,0.00,269.77
23:57:32,1779580649,76,24,0,227,3981,10.83,12273,26160,0.00,2562.38
23:57:35,1779580654,81,19,0,221,3983,10.52,12029,25251,0.00,5707.83
23:57:41,1779580659,76,24,0,209,3986,10.32,12012,26728,256.00,504.00
23:57:47,1779580664,82,18,0,215,3988,10.37,10787,24489,0.00,190.29
23:57:51,1779580670,63,36,0,213,3991,11.30,16187,35249,0.00,744.00
23:57:58,1779580675,83,17,0,219,3983,11.20,10196,23331,0.00,111.54
23:58:03,1779580681,82,18,0,216,3986,11.02,12094,25148,0.00,332.00
23:58:08,1779580685,81,19,0,212,3988,10.62,10735,24384,0.00,6344.00
23:58:13,1779580691,80,20,0,197,3990,11.05,10641,24058,0.00,432.00
23:58:17,1779580696,82,18,0,210,3991,10.17,13312,29100,0.00,84.00
23:58:23,1779580701,80,20,0,225,3982,10.63,12721,31732,0.00,458.82
23:58:28,1779580706,81,19,0,218,3984,10.42,12213,27544,0.00,35.64
23:58:33,1779580712,59,33,0,201,3987,11.11,12641,25476,0.00,524.00
23:58:38,1779580717,50,26,2,211,3988,10.38,14435,33755,0.00,0.00
23:58:45,1779580722,82,18,0,204,3990,9.79,17812,41574,0.00,459.81
23:58:49,1779580727,81,19,0,209,3993,10.77,13476,32374,0.00,879.21
23:58:55,1779580732,81,19,0,216,3983,10.63,11242,26515,0.00,217.82
23:59:00,1779580738,82,18,0,191,3987,10.66,12470,25084,0.00,2629.70
23:59:05,1779580743,81,19,0,199,3989,10.45,10308,24984,0.00,332.00
23:59:11,1779580749,75,25,0,192,3995,10.65,16801,39093,0.00,1336.00
23:59:16,1779580754,83,17,0,200,3994,10.44,13150,30529,0.00,279.72
23:59:22,1779580759,80,21,0,174,3996,11.20,12000,26928,0.00,543.86
23:59:25,1779580764,67,33,0,208,3988,11.19,15717,32646,0.00,13096.15
23:59:30,1779580769,45,20,1,205,3989,10.45,12071,25551,0.00,1356.00
23:59:36,1779580774,79,21,0,200,3991,9.77,11632,27428,0.00,455.74
23:59:42,1779580780,82,18,0,197,3994,10.27,11342,25918,0.00,6850.91
23:59:48,1779580785,80,20,0,197,3997,10.25,12340,28186,0.00,192.00
23:59:53,1779580790,82,18,0,196,3999,9.83,11445,31377,0.00,1176.24
23:59:57,1779580796,83,17,0,200,3989,10.40,12724,26406,0.00,245.16
00:00:03,1779580801,74,26,0,207,3995,10.21,13018,34283,2068.00,184.00
00:00:09,1779580807,82,18,0,197,4005,9.50,14071,32866,0.00,106.67
00:00:13,1779580812,75,26,0,193,4011,9.50,16699,39884,0.00,5744.00
00:00:20,1779580817,81,19,0,186,4014,9.95,12128,26167,1254.55,7.27
00:00:25,1779580823,81,19,0,185,4008,10.67,10651,24389,0.00,2139.13
00:00:30,1779580828,80,19,0,187,4010,10.54,12138,25977,0.00,300.99
00:00:35,1779580834,75,26,0,185,4013,10.58,11174,26469,32.00,2064.00
00:00:40,1779580838,81,19,0,180,4016,10.05,11274,25198,0.00,404.00
00:00:47,1779580844,80,18,0,188,4026,9.56,12099,25732,0.00,6635.29
00:00:52,1779580850,81,18,0,184,4028,9.28,11421,26613,0.00,332.00
00:00:58,1779580855,80,20,0,185,4024,9.50,10903,24661,0.00,101.96
00:01:01,1779580860,82,18,0,197,4026,9.70,10760,24635,0.00,236.00
00:01:07,1779580865,81,19,0,192,4028,9.64,11751,27240,0.00,316.00
00:01:12,1779580870,81,19,0,182,4034,9.59,10525,25483,0.00,506.47
00:01:17,1779580875,83,17,0,191,4033,9.46,9757,24204,0.00,249.50
00:01:22,1779580880,80,20,0,183,4035,10.39,11417,25497,0.00,820.00
00:01:28,1779580886,83,17,0,203,4026,10.36,13807,33429,0.00,194.17
00:01:33,1779580891,81,19,0,188,4028,10.17,11665,27272,0.00,2376.00
