Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
23:55:50,drupal-deployment-677cb58b94-npgbj,35m,263Mi,1551m,85Mi,BLOCKED
23:55:50,drupal-mysql-d86854f86-229bw,11m,473Mi,1551m,85Mi,BLOCKED
23:55:55,drupal-deployment-677cb58b94-npgbj,30m,263Mi,1532m,88Mi,BLOCKED
23:55:55,drupal-mysql-d86854f86-229bw,22m,473Mi,1532m,88Mi,BLOCKED
23:56:00,drupal-deployment-677cb58b94-npgbj,30m,263Mi,1532m,88Mi,NONE
23:56:00,drupal-mysql-d86854f86-229bw,22m,473Mi,1532m,88Mi,NONE
23:56:05,drupal-deployment-677cb58b94-npgbj,30m,263Mi,1532m,88Mi,NONE
23:56:05,drupal-mysql-d86854f86-229bw,22m,473Mi,1532m,88Mi,NONE
23:56:11,drupal-deployment-677cb58b94-npgbj,53m,265Mi,1532m,88Mi,BLOCKED
23:56:11,drupal-mysql-d86854f86-229bw,22m,473Mi,1532m,88Mi,BLOCKED
23:56:16,drupal-deployment-677cb58b94-npgbj,53m,265Mi,1532m,88Mi,BLOCKED
23:56:16,drupal-mysql-d86854f86-229bw,22m,473Mi,1532m,88Mi,BLOCKED
23:56:21,drupal-deployment-677cb58b94-npgbj,53m,265Mi,1532m,88Mi,BLOCKED
23:56:21,drupal-mysql-d86854f86-229bw,22m,473Mi,1532m,88Mi,BLOCKED
23:56:28,drupal-deployment-677cb58b94-npgbj,28m,263Mi,1229m,89Mi,BLOCKED
23:56:28,drupal-mysql-d86854f86-229bw,17m,474Mi,1229m,89Mi,BLOCKED
23:56:33,drupal-deployment-677cb58b94-npgbj,28m,263Mi,1229m,89Mi,BLOCKED
23:56:33,drupal-mysql-d86854f86-229bw,17m,474Mi,1229m,89Mi,BLOCKED
23:56:38,drupal-deployment-677cb58b94-npgbj,37m,263Mi,1526m,90Mi,BLOCKED
23:56:38,drupal-mysql-d86854f86-229bw,9m,474Mi,1526m,90Mi,BLOCKED
23:56:43,drupal-deployment-677cb58b94-npgbj,37m,263Mi,1526m,90Mi,BLOCKED
23:56:43,drupal-mysql-d86854f86-229bw,9m,474Mi,1526m,90Mi,BLOCKED
23:56:49,drupal-deployment-677cb58b94-npgbj,37m,263Mi,1526m,90Mi,BLOCKED
23:56:49,drupal-mysql-d86854f86-229bw,9m,474Mi,1526m,90Mi,BLOCKED
23:56:55,drupal-deployment-677cb58b94-npgbj,21m,263Mi,1500m,90Mi,BLOCKED
23:56:55,drupal-mysql-d86854f86-229bw,17m,474Mi,1500m,90Mi,BLOCKED
23:57:00,drupal-deployment-677cb58b94-npgbj,21m,263Mi,1500m,90Mi,NONE
23:57:00,drupal-mysql-d86854f86-229bw,17m,474Mi,1500m,90Mi,NONE
23:57:05,drupal-deployment-677cb58b94-npgbj,21m,263Mi,1500m,90Mi,NONE
23:57:05,drupal-mysql-d86854f86-229bw,17m,474Mi,1500m,90Mi,NONE
23:57:10,drupal-deployment-677cb58b94-npgbj,26m,263Mi,1503m,89Mi,BLOCKED
23:57:10,drupal-mysql-d86854f86-229bw,14m,474Mi,1503m,89Mi,BLOCKED
23:57:16,drupal-deployment-677cb58b94-npgbj,26m,263Mi,1503m,89Mi,BLOCKED
23:57:16,drupal-mysql-d86854f86-229bw,14m,474Mi,1503m,89Mi,BLOCKED
23:57:21,drupal-deployment-677cb58b94-npgbj,26m,263Mi,1503m,89Mi,BLOCKED
23:57:21,drupal-mysql-d86854f86-229bw,14m,474Mi,1503m,89Mi,BLOCKED
23:57:26,drupal-deployment-677cb58b94-npgbj,47m,264Mi,1067m,88Mi,BLOCKED
23:57:26,drupal-mysql-d86854f86-229bw,11m,474Mi,1067m,88Mi,BLOCKED
23:57:31,drupal-deployment-677cb58b94-npgbj,47m,264Mi,1067m,88Mi,BLOCKED
23:57:31,drupal-mysql-d86854f86-229bw,11m,474Mi,1067m,88Mi,BLOCKED
23:57:37,drupal-deployment-677cb58b94-npgbj,29m,264Mi,1509m,89Mi,BLOCKED
23:57:37,drupal-mysql-d86854f86-229bw,10m,474Mi,1509m,89Mi,BLOCKED
23:57:42,drupal-deployment-677cb58b94-npgbj,29m,264Mi,1509m,89Mi,BLOCKED
23:57:42,drupal-mysql-d86854f86-229bw,10m,474Mi,1509m,89Mi,BLOCKED
23:57:47,drupal-deployment-677cb58b94-npgbj,29m,264Mi,1509m,89Mi,BLOCKED
23:57:47,drupal-mysql-d86854f86-229bw,10m,474Mi,1509m,89Mi,BLOCKED
23:57:52,drupal-deployment-677cb58b94-npgbj,22m,264Mi,1485m,88Mi,BLOCKED
23:57:52,drupal-mysql-d86854f86-229bw,11m,474Mi,1485m,88Mi,BLOCKED
23:57:58,drupal-deployment-677cb58b94-npgbj,22m,264Mi,1485m,88Mi,BLOCKED
23:57:58,drupal-mysql-d86854f86-229bw,11m,474Mi,1485m,88Mi,BLOCKED
23:58:03,drupal-deployment-677cb58b94-npgbj,22m,264Mi,1485m,88Mi,BLOCKED
23:58:03,drupal-mysql-d86854f86-229bw,11m,474Mi,1485m,88Mi,BLOCKED
23:58:08,drupal-deployment-677cb58b94-npgbj,47m,262Mi,1450m,88Mi,BLOCKED
23:58:08,drupal-mysql-d86854f86-229bw,11m,474Mi,1450m,88Mi,BLOCKED
23:58:13,drupal-deployment-677cb58b94-npgbj,47m,262Mi,1450m,88Mi,BLOCKED
23:58:13,drupal-mysql-d86854f86-229bw,11m,474Mi,1450m,88Mi,BLOCKED
23:58:19,drupal-deployment-677cb58b94-npgbj,47m,262Mi,1450m,88Mi,BLOCKED
23:58:19,drupal-mysql-d86854f86-229bw,11m,474Mi,1450m,88Mi,BLOCKED
23:58:24,drupal-deployment-677cb58b94-npgbj,28m,262Mi,1280m,89Mi,BLOCKED
23:58:24,drupal-mysql-d86854f86-229bw,12m,475Mi,1280m,89Mi,BLOCKED
23:58:30,drupal-deployment-677cb58b94-npgbj,28m,262Mi,1280m,89Mi,NONE
23:58:30,drupal-mysql-d86854f86-229bw,12m,475Mi,1280m,89Mi,NONE
23:58:35,drupal-deployment-677cb58b94-npgbj,28m,262Mi,1280m,89Mi,NONE
23:58:35,drupal-mysql-d86854f86-229bw,12m,475Mi,1280m,89Mi,NONE
23:58:41,drupal-deployment-677cb58b94-npgbj,64m,262Mi,1525m,88Mi,BLOCKED
23:58:41,drupal-mysql-d86854f86-229bw,12m,475Mi,1525m,88Mi,BLOCKED
23:58:46,drupal-deployment-677cb58b94-npgbj,64m,262Mi,1525m,88Mi,BLOCKED
