Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
20:54:59,1778792098,8,3,6,255,4103,0.22,7709,15754,0.00,380.00
20:55:06,1778792105,17,10,10,248,4103,0.20,9597,19042,0.00,500.00
20:55:13,1778792112,5,4,2,251,4103,0.18,6539,12988,0.00,212.00
20:55:20,1778792119,6,3,3,251,4104,0.15,6963,14467,0.00,632.00
20:55:27,1778792126,6,4,5,243,4104,0.14,7176,14827,0.00,36.00
20:55:34,1778792133,9,5,1,242,4104,0.12,6715,13085,0.00,5096.00
20:55:41,1778792140,14,9,3,214,4145,0.11,9562,19416,0.00,132.00
20:55:48,1778792147,21,14,1,240,4145,0.69,8918,18176,0.00,700.00
20:55:55,1778792154,31,17,5,183,4146,1.19,11230,24111,0.00,2772.00
20:56:02,1778792161,23,15,0,146,4146,1.66,10168,22064,0.00,248.00
20:56:09,1778792168,39,25,1,253,4048,1.63,12109,27400,12.00,184.00
20:56:16,1778792175,45,33,0,210,4052,1.50,11139,25949,0.00,544.00
20:56:23,1778792182,30,19,1,192,4053,3.05,10230,22414,0.00,84.00
20:56:31,1778792189,41,24,0,154,4054,3.69,11760,26514,0.00,416.00
20:56:38,1778792197,47,35,1,209,3988,3.71,12046,29607,2684.00,7184.00
20:56:45,1778792204,18,12,7,135,4028,4.91,8855,18905,368.00,2700.00
20:56:52,1778792211,24,16,3,155,3978,4.52,10303,22231,24.00,96.00
20:56:59,1778792218,57,35,1,121,3981,4.70,13445,33069,0.00,260.00
20:57:06,1778792225,60,34,2,143,3948,6.41,12595,29664,16.00,664.00
20:57:13,1778792232,52,32,12,134,3957,11.94,13300,31703,7824.00,460.00
20:57:21,1778792240,46,29,7,127,3916,12.10,13150,30157,0.00,3572.00
20:57:28,1778792247,36,28,2,129,3814,12.69,11749,25994,1268.00,480.00
20:57:36,1778792254,49,35,4,124,3722,16.40,13322,29842,0.00,2373.58
20:57:43,1778792262,48,34,1,121,3694,16.77,13101,29504,0.00,388.00
20:57:50,1778792269,47,29,1,152,3699,21.51,11901,27993,0.00,820.00
20:57:57,1778792276,49,34,1,161,3702,19.78,11983,28917,8.00,240.00
20:58:05,1778792283,50,34,1,121,3650,17.85,13351,31401,32.00,2496.00
20:58:12,1778792291,62,35,1,131,3646,16.42,13414,32278,128.00,3536.00
20:58:19,1778792298,10,12,4,133,3651,13.97,12459,24289,0.00,704.00
20:58:26,1778792305,48,37,1,167,3654,13.73,13033,31103,0.00,2772.00
20:58:34,1778792313,49,32,0,126,3657,16.33,11499,27237,0.00,268.00
20:58:41,1778792320,42,28,1,142,3658,17.35,12319,28813,0.00,3512.00
20:58:48,1778792327,59,41,1,134,3661,16.12,13922,34952,23.76,554.46
20:58:55,1778792334,60,37,1,116,3647,23.91,12400,29914,4.00,268.00
20:59:03,1778792341,57,35,2,137,3623,23.20,13293,32992,19.80,1560.40
20:59:10,1778792349,54,39,0,114,3585,26.69,13363,31582,0.00,2640.00
20:59:17,1778792356,54,36,1,117,3531,24.55,13787,34129,28.00,4792.00
20:59:24,1778792363,54,38,1,117,3514,21.95,14116,33276,0.00,216.00
20:59:32,1778792371,56,38,0,130,3513,23.88,13727,34064,0.00,692.00
20:59:39,1778792378,56,38,1,152,3517,25.66,13789,34367,0.00,180.00
20:59:46,1778792385,46,27,1,163,3518,30.33,11888,27417,0.00,912.00
20:59:54,1778792392,54,45,0,215,3522,32.15,12302,31618,728.00,3884.00
21:00:01,1778792400,46,28,1,153,3607,35.67,12912,29172,0.00,428.00
21:00:09,1778792407,41,28,1,154,3609,41.55,11955,27480,0.00,1320.00
21:00:16,1778792415,50,35,0,143,3607,38.46,12675,30640,0.00,172.00
21:00:23,1778792422,27,20,2,134,3607,37.93,10735,23623,24.00,672.00
21:00:31,1778792429,63,36,0,147,3522,43.38,12077,31786,4284.00,2180.00
21:00:38,1778792437,60,34,4,195,3445,39.99,12867,32195,96.00,1116.00
21:00:45,1778792444,54,35,1,214,3452,40.12,12810,30694,272.00,388.00
21:00:53,1778792451,54,32,0,228,3457,37.47,13760,32671,32.00,1236.00
21:01:00,1778792459,14,8,4,256,3460,33.55,7937,17094,16.00,2236.00
21:01:07,1778792466,51,32,2,213,3463,31.02,12046,28948,201.98,2522.77
21:01:15,1778792474,55,31,3,230,3466,28.52,12608,32078,0.00,572.00
21:01:22,1778792481,58,34,1,242,3469,28.16,12916,32156,0.00,428.00
21:01:30,1778792488,63,37,0,312,3471,33.18,12799,31390,3820.00,1556.00
21:01:37,1778792496,52,37,1,245,3486,32.36,12762,31668,84.00,936.00
21:01:44,1778792503,62,37,0,133,3492,35.87,13221,31737,0.00,3940.00
21:01:51,1778792510,63,36,1,134,3496,40.04,13112,31694,44.00,1276.00
21:01:59,1778792517,58,33,3,171,3499,35.24,13252,33026,0.00,2892.00
21:02:06,1778792525,59,39,0,167,3405,37.55,12558,31956,4.00,504.00
21:02:13,1778792532,11,10,2,161,3409,40.47,13529,26233,132.00,3392.00
21:02:20,1778792539,49,37,1,172,3414,38.41,12378,28623,28.00,3592.00
21:02:28,1778792546,54,34,0,183,3415,37.33,11347,26927,0.00,1400.00
21:02:35,1778792554,51,29,2,155,3429,35.05,12810,31228,0.00,2015.84
21:02:42,1778792561,63,37,0,172,3431,39.21,14244,34362,140.00,252.00
21:02:49,1778792568,6,3,5,176,3433,34.36,8272,16423,56.00,884.00
21:02:57,1778792575,62,36,1,150,3435,32.57,12911,32982,0.00,476.00
21:03:04,1778792583,59,35,0,171,3339,36.33,13366,32411,0.00,392.00
21:03:11,1778792590,56,34,2,237,3255,36.63,14496,33935,100.00,164.00
21:03:18,1778792597,60,38,0,190,3258,31.95,13705,32203,260.19,438.83
21:03:25,1778792604,50,29,3,240,3262,29.87,12908,31432,124.00,5404.00
21:03:33,1778792612,58,39,0,287,3264,27.56,14272,36191,52.00,316.00
21:03:40,1778792619,53,34,2,328,3265,24.36,13100,32480,0.00,804.00
21:03:47,1778792626,62,37,1,371,3267,23.05,14215,36064,0.00,480.00
21:03:54,1778792633,51,32,0,361,3269,20.58,12214,29809,0.00,1112.00
21:04:02,1778792640,49,34,3,381,3281,26.46,14025,33956,0.00,864.00
21:04:09,1778792648,64,35,0,419,3283,22.39,12811,31331,44.00,952.00
21:04:16,1778792655,40,27,1,361,3284,20.60,12102,29074,0.00,3620.00
21:04:23,1778792662,45,32,1,385,3286,19.11,12226,29766,128.00,444.00
21:04:30,1778792669,46,29,3,402,3288,20.63,12978,31062,0.00,604.00
21:04:37,1778792676,58,30,5,417,3290,20.98,12818,31547,0.00,724.00
21:04:44,1778792683,54,36,0,474,3291,17.90,13312,32010,0.00,540.00
21:04:52,1778792690,64,34,0,432,3284,20.71,13041,33231,0.00,7608.00
21:04:59,1778792698,64,34,1,376,3286,25.09,14132,36291,8.00,980.00
21:05:06,1778792705,59,31,0,265,3287,28.60,14190,34976,0.00,1736.00
