Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
16:49:50,drupal-deployment-677cb58b94-lqq6k,15m,245Mi,1m,63Mi
16:49:50,drupal-mysql-d86854f86-nhsgt,8m,586Mi,1m,63Mi
16:49:55,drupal-deployment-677cb58b94-lqq6k,15m,245Mi,1m,63Mi
16:49:55,drupal-mysql-d86854f86-nhsgt,8m,586Mi,1m,63Mi
16:50:00,drupal-deployment-677cb58b94-lqq6k,15m,245Mi,1m,63Mi
16:50:00,drupal-mysql-d86854f86-nhsgt,8m,586Mi,1m,63Mi
16:50:05,drupal-deployment-677cb58b94-lqq6k,62m,149Mi,4m,64Mi
16:50:05,drupal-mysql-d86854f86-nhsgt,25m,586Mi,4m,64Mi
16:50:10,drupal-deployment-677cb58b94-lqq6k,62m,149Mi,4m,64Mi
16:50:10,drupal-mysql-d86854f86-nhsgt,25m,586Mi,4m,64Mi
16:50:15,drupal-deployment-677cb58b94-lqq6k,62m,149Mi,4m,64Mi
16:50:15,drupal-mysql-d86854f86-nhsgt,25m,586Mi,4m,64Mi
16:50:21,drupal-deployment-677cb58b94-lqq6k,342m,177Mi,58m,66Mi
16:50:21,drupal-mysql-d86854f86-nhsgt,25m,586Mi,58m,66Mi
16:50:26,drupal-deployment-677cb58b94-lqq6k,342m,177Mi,58m,66Mi
16:50:26,drupal-mysql-d86854f86-nhsgt,25m,586Mi,58m,66Mi
16:50:31,drupal-deployment-677cb58b94-lqq6k,363m,172Mi,59m,67Mi
16:50:31,drupal-mysql-d86854f86-nhsgt,152m,586Mi,59m,67Mi
16:50:36,drupal-deployment-677cb58b94-lqq6k,363m,172Mi,59m,67Mi
16:50:36,drupal-mysql-d86854f86-nhsgt,152m,586Mi,59m,67Mi
16:50:41,drupal-deployment-677cb58b94-lqq6k,363m,172Mi,59m,67Mi
16:50:41,drupal-mysql-d86854f86-nhsgt,152m,586Mi,59m,67Mi
16:50:46,drupal-deployment-677cb58b94-lqq6k,380m,195Mi,64m,71Mi
16:50:46,drupal-mysql-d86854f86-nhsgt,148m,586Mi,64m,71Mi
16:50:51,drupal-deployment-677cb58b94-lqq6k,380m,195Mi,64m,71Mi
16:50:51,drupal-mysql-d86854f86-nhsgt,148m,586Mi,64m,71Mi
16:50:57,drupal-deployment-677cb58b94-lqq6k,380m,195Mi,64m,71Mi
16:50:57,drupal-mysql-d86854f86-nhsgt,148m,586Mi,64m,71Mi
16:51:02,drupal-deployment-677cb58b94-lqq6k,379m,210Mi,64m,71Mi
16:51:02,drupal-mysql-d86854f86-nhsgt,160m,586Mi,64m,71Mi
16:51:07,drupal-deployment-677cb58b94-lqq6k,379m,210Mi,64m,71Mi
16:51:07,drupal-mysql-d86854f86-nhsgt,160m,586Mi,64m,71Mi
16:51:12,drupal-deployment-677cb58b94-lqq6k,379m,210Mi,64m,71Mi
16:51:12,drupal-mysql-d86854f86-nhsgt,160m,586Mi,64m,71Mi
16:51:17,drupal-deployment-677cb58b94-lqq6k,372m,194Mi,64m,74Mi
16:51:17,drupal-mysql-d86854f86-nhsgt,157m,586Mi,64m,74Mi
16:51:22,drupal-deployment-677cb58b94-lqq6k,372m,194Mi,64m,74Mi
16:51:22,drupal-mysql-d86854f86-nhsgt,157m,586Mi,64m,74Mi
16:51:27,drupal-deployment-677cb58b94-lqq6k,372m,194Mi,64m,74Mi
16:51:27,drupal-mysql-d86854f86-nhsgt,157m,586Mi,64m,74Mi
16:51:32,drupal-deployment-677cb58b94-lqq6k,397m,200Mi,69m,75Mi
16:51:32,drupal-mysql-d86854f86-nhsgt,163m,586Mi,69m,75Mi
