Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
21:51:10,1779400269,5,4,3,494,3825,0.67,7326,14726,0.00,432.00
21:51:17,1779400276,5,4,6,497,3826,0.62,7769,15622,0.00,0.00
21:51:24,1779400283,7,7,2,494,3826,0.59,7405,14822,0.00,328.00
21:51:31,1779400290,6,4,4,493,3826,0.55,7561,15673,0.00,144.00
21:51:38,1779400297,5,3,0,490,3827,0.90,5997,11870,0.00,268.00
21:51:45,1779400304,6,3,2,493,3827,0.83,6843,13586,0.00,668.00
21:51:53,1779400311,8,5,2,481,3827,0.70,7887,17323,0.00,316.00
21:52:00,1779400319,15,9,2,483,3828,0.65,8212,15946,0.00,228.00
21:52:07,1779400326,41,10,2,483,3829,0.59,8465,17719,0.00,2644.00
21:52:14,1779400333,53,16,0,477,3831,1.11,10161,22411,0.00,484.00
21:52:21,1779400340,57,10,1,474,3833,1.34,9010,20123,0.00,4132.00
21:52:28,1779400347,60,12,1,481,3835,1.29,9725,23470,0.00,31.68
21:52:35,1779400354,72,21,1,471,3838,2.15,11531,27245,0.00,620.00
21:52:42,1779400361,77,19,0,452,3841,2.14,11997,28968,0.00,152.00
21:52:49,1779400368,62,22,0,461,3844,2.26,9998,22672,0.00,641.58
21:52:57,1779400375,81,19,0,461,3848,2.40,11268,27183,0.00,2944.00
21:53:04,1779400383,75,23,0,452,3851,3.28,10537,24527,0.00,212.00
21:53:11,1779400390,83,17,0,444,3844,3.42,11880,26901,0.00,12807.92
21:53:18,1779400397,86,14,0,453,3848,4.12,12155,27383,0.00,3932.00
21:53:25,1779400404,80,20,0,457,3851,4.03,11171,26943,0.00,1500.00
21:53:33,1779400411,79,21,0,443,3855,4.34,12069,28445,0.00,115.89
21:53:40,1779400419,82,17,0,440,3847,5.35,11358,26680,0.00,13284.00
21:53:48,1779400426,82,18,0,447,3851,5.35,12032,29596,0.00,248.00
21:53:55,1779400434,82,17,1,447,3855,5.49,10312,25063,0.00,356.00
21:54:02,1779400441,81,18,0,441,3858,5.21,10098,24798,0.00,376.00
21:54:09,1779400448,81,19,0,429,3849,5.08,10580,25426,0.00,376.00
21:54:16,1779400455,81,19,0,443,3853,5.72,11989,27265,0.00,2904.00
21:54:24,1779400462,82,16,0,444,3856,5.85,10653,24459,0.00,3184.00
21:54:31,1779400470,83,16,0,428,3860,5.78,11664,26190,0.00,128.00
21:54:39,1779400477,83,16,0,442,3851,5.99,11777,26289,0.00,272.00
21:54:47,1779400485,85,16,0,439,3855,6.23,10840,26897,0.00,2880.00
21:54:54,1779400493,78,21,0,455,3859,6.22,9896,23654,0.00,192.00
21:55:01,1779400500,79,21,0,444,3862,6.28,11717,26128,0.00,372.00
21:55:08,1779400507,79,21,0,429,3866,6.36,12322,30226,0.00,265.45
21:55:16,1779400514,76,18,0,462,3857,6.33,11024,26527,0.00,14008.00
21:55:23,1779400522,77,20,0,446,3860,6.29,11850,28985,0.00,332.00
21:55:31,1779400529,77,20,0,435,3864,5.94,11855,28245,0.00,219.23
21:55:38,1779400537,79,21,0,429,3867,5.41,11201,29463,0.00,301.96
21:55:45,1779400544,78,19,0,454,3858,5.70,11175,25421,0.00,917.65
21:55:53,1779400551,79,20,1,462,3862,5.85,11866,28869,0.00,0.00
21:56:00,1779400559,79,20,0,449,3865,5.54,10656,24765,0.00,176.00
21:56:07,1779400566,80,20,0,458,3868,6.14,11398,29281,0.00,250.98
21:56:15,1779400573,76,23,0,447,3859,6.14,10502,24108,0.00,160.00
21:56:22,1779400581,83,18,0,453,3863,5.97,10940,26662,0.00,155.34
21:56:30,1779400588,80,21,0,444,3866,5.72,11217,25376,0.00,556.00
21:56:37,1779400596,80,20,0,446,3870,5.75,11051,28213,0.00,3712.00
21:56:45,1779400603,78,21,0,451,3861,5.80,10160,22805,0.00,176.00
21:56:52,1779400611,80,19,0,457,3864,5.73,12427,27909,0.00,96.00
21:56:59,1779400618,78,20,1,452,3867,5.76,10531,25178,0.00,336.00
21:57:07,1779400625,79,22,0,461,3871,6.10,11291,27587,0.00,2676.00
21:57:15,1779400633,78,22,0,457,3862,6.97,9875,23779,0.00,200.00
21:57:22,1779400641,80,21,0,462,3866,6.57,12053,29654,0.00,232.00
21:57:30,1779400648,78,22,0,445,3869,6.24,10589,26261,0.00,308.00
21:57:37,1779400656,79,21,0,453,3872,6.30,12070,29205,0.00,364.00
21:57:44,1779400663,74,24,0,448,3864,6.88,10863,24998,0.00,128.00
21:57:51,1779400670,81,18,1,449,3867,6.49,11116,25684,0.00,436.00
21:57:59,1779400677,80,20,0,441,3870,6.58,12767,28610,0.00,1904.00
21:58:06,1779400685,79,18,0,443,3874,6.61,11659,25938,0.00,1408.00
21:58:14,1779400692,81,18,0,451,3865,6.39,12335,27280,0.00,186.14
21:58:22,1779400700,78,20,0,448,3869,6.27,14390,34774,0.00,380.00
21:58:29,1779400708,81,18,0,440,3873,6.15,12712,29258,0.00,1314.81
21:58:36,1779400715,79,20,0,457,3877,6.46,11570,29807,0.00,420.00
21:58:44,1779400722,75,23,0,447,3871,6.25,10478,26420,0.00,244.00
21:58:51,1779400730,77,23,0,443,3875,6.39,12294,27720,0.00,796.00
21:58:58,1779400737,78,21,0,436,3879,6.68,13441,32548,0.00,340.19
21:59:06,1779400744,76,19,0,433,3882,6.78,12063,27077,0.00,3540.00
21:59:13,1779400752,75,19,0,432,3884,6.85,11547,25810,0.00,376.00
21:59:20,1779400759,80,19,0,434,3887,6.46,11947,27276,0.00,240.00
21:59:28,1779400767,78,20,0,436,3890,6.23,12230,28049,0.00,250.47
21:59:35,1779400774,75,23,0,415,3894,6.37,10696,24279,0.00,816.00
21:59:42,1779400781,82,18,0,428,3884,6.18,10931,26458,0.00,136.00
21:59:50,1779400789,78,20,0,426,3887,6.54,12122,27938,0.00,320.00
21:59:57,1779400796,78,22,0,429,3891,6.42,11509,27820,0.00,81.55
22:00:05,1779400803,78,22,0,400,3894,6.49,10292,24635,0.00,184.62
22:00:12,1779400811,80,19,0,431,3885,6.29,12592,29256,0.00,108.00
22:00:19,1779400818,81,19,0,432,3889,6.30,10100,24434,0.00,282.35
22:00:27,1779400825,77,21,1,427,3892,6.27,11775,28512,0.00,368.00
22:00:35,1779400833,80,19,0,409,3896,6.22,11311,24241,0.00,460.00
22:00:42,1779400841,79,19,1,431,3887,6.04,10729,25810,0.00,476.00
22:00:49,1779400848,80,20,0,429,3891,6.58,10148,23791,0.00,200.00
22:00:57,1779400856,76,22,0,425,3894,6.86,10871,26135,0.00,590.10
22:01:04,1779400863,77,23,0,409,3897,6.91,9979,24247,0.00,164.00
22:01:12,1779400870,80,20,1,421,3888,6.68,11420,26647,0.00,13556.00
22:01:19,1779400878,81,18,0,429,3892,6.57,10637,25128,0.00,0.00
22:01:26,1779400885,81,19,0,423,3895,6.60,10685,25495,0.00,2932.00
22:01:33,1779400892,79,21,0,419,3898,6.34,11044,26949,0.00,160.00
22:01:40,1779400899,80,19,0,416,3890,6.55,10062,24242,0.00,236.00
22:01:48,1779400906,81,20,0,430,3893,6.38,12353,29217,0.00,188.00
22:01:55,1779400914,80,19,1,419,3897,6.59,10216,24886,0.00,1044.00
22:02:02,1779400921,7,4,3,431,3897,6.06,7918,16260,0.00,64.00
22:02:09,1779400928,6,5,1,438,3898,5.13,6651,13282,0.00,300.00
22:02:16,1779400935,16,6,6,442,3898,4.72,7977,16143,0.00,3080.00
22:02:23,1779400942,7,8,1,439,3899,3.99,6646,13189,0.00,292.00
22:02:30,1779400949,12,5,2,446,3899,3.67,7687,14982,0.00,116.00
22:02:37,1779400956,9,6,7,442,3899,3.62,9271,20705,0.00,396.00
22:02:44,1779400963,6,3,2,437,3899,3.44,6346,12859,0.00,272.00
22:02:52,1779400970,12,6,1,425,3900,3.17,7490,14289,0.00,372.00
22:02:59,1779400978,7,5,2,427,3900,3.05,8001,16230,0.00,280.00
