Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
22:09:54,drupal-deployment-677cb58b94-zbqjj,20m,191Mi,1m,65Mi,BLOCKED
22:09:54,drupal-mysql-d86854f86-czcr7,8m,412Mi,1m,65Mi,BLOCKED
22:09:59,drupal-deployment-677cb58b94-zbqjj,20m,191Mi,1m,65Mi,BLOCKED
22:09:59,drupal-mysql-d86854f86-czcr7,8m,412Mi,1m,65Mi,BLOCKED
22:10:05,drupal-deployment-677cb58b94-zbqjj,20m,191Mi,1m,65Mi,BLOCKED
22:10:05,drupal-mysql-d86854f86-czcr7,8m,412Mi,1m,65Mi,BLOCKED
22:10:10,drupal-deployment-677cb58b94-zbqjj,20m,191Mi,1m,65Mi,BLOCKED
22:10:10,drupal-mysql-d86854f86-czcr7,6m,412Mi,1m,65Mi,BLOCKED
22:10:15,drupal-deployment-677cb58b94-zbqjj,20m,191Mi,1m,65Mi,BLOCKED
22:10:15,drupal-mysql-d86854f86-czcr7,6m,412Mi,1m,65Mi,BLOCKED
22:10:20,drupal-deployment-677cb58b94-zbqjj,20m,191Mi,1m,65Mi,BLOCKED
22:10:20,drupal-mysql-d86854f86-czcr7,6m,412Mi,1m,65Mi,BLOCKED
22:10:25,drupal-deployment-677cb58b94-zbqjj,22m,191Mi,1m,65Mi,BLOCKED
22:10:25,drupal-mysql-d86854f86-czcr7,10m,412Mi,1m,65Mi,BLOCKED
22:10:31,drupal-deployment-677cb58b94-zbqjj,22m,191Mi,1m,65Mi,BLOCKED
22:10:31,drupal-mysql-d86854f86-czcr7,10m,412Mi,1m,65Mi,BLOCKED
22:10:36,drupal-deployment-677cb58b94-zbqjj,22m,191Mi,1m,65Mi,BLOCKED
22:10:36,drupal-mysql-d86854f86-czcr7,10m,412Mi,1m,65Mi,BLOCKED
22:10:41,drupal-deployment-677cb58b94-zbqjj,29m,191Mi,559m,66Mi,BLOCKED
22:10:41,drupal-mysql-d86854f86-czcr7,7m,412Mi,559m,66Mi,BLOCKED
22:10:46,drupal-deployment-677cb58b94-zbqjj,29m,191Mi,559m,66Mi,BLOCKED
22:10:46,drupal-mysql-d86854f86-czcr7,7m,412Mi,559m,66Mi,BLOCKED
22:10:51,drupal-deployment-677cb58b94-zbqjj,29m,191Mi,1384m,67Mi,BLOCKED
22:10:51,drupal-mysql-d86854f86-czcr7,7m,412Mi,1384m,67Mi,BLOCKED
22:10:57,drupal-deployment-677cb58b94-zbqjj,20m,191Mi,1384m,67Mi,BLOCKED
22:10:57,drupal-mysql-d86854f86-czcr7,12m,412Mi,1384m,67Mi,BLOCKED
22:11:02,drupal-deployment-677cb58b94-zbqjj,20m,191Mi,1384m,67Mi,BLOCKED
22:11:02,drupal-mysql-d86854f86-czcr7,12m,412Mi,1384m,67Mi,BLOCKED
22:11:07,drupal-deployment-677cb58b94-zbqjj,34m,191Mi,1384m,67Mi,BLOCKED
22:11:07,drupal-mysql-d86854f86-czcr7,9m,412Mi,1384m,67Mi,BLOCKED
22:11:12,drupal-deployment-677cb58b94-zbqjj,34m,191Mi,1384m,67Mi,BLOCKED
22:11:12,drupal-mysql-d86854f86-czcr7,9m,412Mi,1384m,67Mi,BLOCKED
22:11:17,drupal-deployment-677cb58b94-zbqjj,34m,191Mi,1384m,67Mi,BLOCKED
22:11:17,drupal-mysql-d86854f86-czcr7,9m,412Mi,1384m,67Mi,BLOCKED
