Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
00:27:06,1779582423,44,19,2,205,3968,7.30,13575,28179,0.00,717.65
00:27:11,1779582429,81,20,0,217,3971,7.59,11122,24140,0.00,303.12
00:27:17,1779582435,84,16,0,228,3961,8.27,12156,26893,0.00,314.56
00:27:23,1779582440,84,17,0,190,3964,8.73,11844,24905,0.00,161.47
00:27:29,1779582445,74,27,0,210,3966,9.63,19412,44283,0.00,924.50
00:27:34,1779582451,84,16,0,208,3969,10.38,12206,27499,0.00,656.00
00:27:38,1779582457,52,23,1,199,3971,11.71,14564,29570,0.00,396.00
00:27:43,1779582462,38,13,2,192,3972,11.73,14955,28083,0.00,6668.00
00:27:49,1779582467,85,15,0,205,3964,10.95,12305,28100,0.00,150.94
00:27:54,1779582473,83,17,0,198,3967,12.25,10835,24648,0.00,521.57
00:28:00,1779582478,84,16,0,187,3970,12.07,11186,26288,3.67,392.66
00:28:06,1779582483,87,13,0,189,3972,12.79,10520,25331,0.00,3167.27
00:28:11,1779582489,83,17,0,168,3975,12.89,11904,28918,0.00,278.90
00:28:17,1779582494,80,17,0,199,3974,13.37,12307,30253,0.00,13417.48
00:28:20,1779582499,67,29,0,193,3969,13.51,16001,33491,0.00,308.00
00:28:25,1779582504,40,16,1,199,3970,12.50,13312,24257,0.00,249.50
00:28:30,1779582509,74,17,0,186,3972,12.46,11962,26368,0.00,412.00
00:28:37,1779582515,80,19,0,187,3975,12.99,11608,25683,0.00,571.43
00:28:44,1779582521,83,17,0,196,3978,13.47,12014,27736,0.00,200.00
00:28:49,1779582526,80,20,0,200,3968,13.83,15797,35687,0.00,1381.13
00:28:54,1779582531,81,19,0,185,3970,14.98,15352,41346,0.00,337.25
00:28:58,1779582537,80,17,0,191,3974,14.98,11592,30318,0.00,924.00
00:29:03,1779582541,59,28,0,198,3975,14.18,17300,34211,0.00,152.00
00:29:09,1779582546,63,33,0,177,3977,13.76,17216,34955,0.00,2326.96
00:29:14,1779582552,81,19,0,196,3968,13.46,10810,24772,0.00,415.84
00:29:19,1779582557,82,18,0,201,3971,12.71,12314,29384,0.00,356.00
