Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
00:43:44,drupal-deployment-677cb58b94-npgbj,61m,266Mi,1442m,97Mi,BLOCKED
00:43:44,drupal-mysql-d86854f86-229bw,19m,478Mi,1442m,97Mi,BLOCKED
00:43:49,drupal-deployment-677cb58b94-npgbj,61m,266Mi,1442m,97Mi,BLOCKED
00:43:49,drupal-mysql-d86854f86-229bw,19m,478Mi,1442m,97Mi,BLOCKED
00:43:54,drupal-deployment-677cb58b94-npgbj,33m,266Mi,1079m,97Mi,BLOCKED
00:43:54,drupal-mysql-d86854f86-229bw,14m,478Mi,1079m,97Mi,BLOCKED
00:43:59,drupal-deployment-677cb58b94-npgbj,33m,266Mi,1079m,97Mi,NONE
00:43:59,drupal-mysql-d86854f86-229bw,14m,478Mi,1079m,97Mi,NONE
00:44:04,drupal-deployment-677cb58b94-npgbj,33m,266Mi,1079m,97Mi,NONE
00:44:04,drupal-mysql-d86854f86-229bw,14m,478Mi,1079m,97Mi,NONE
00:44:10,drupal-deployment-677cb58b94-npgbj,26m,266Mi,1525m,95Mi,BLOCKED
00:44:10,drupal-mysql-d86854f86-229bw,21m,478Mi,1525m,95Mi,BLOCKED
00:44:15,drupal-deployment-677cb58b94-npgbj,26m,266Mi,1525m,95Mi,BLOCKED
00:44:15,drupal-mysql-d86854f86-229bw,21m,478Mi,1525m,95Mi,BLOCKED
00:44:21,drupal-deployment-677cb58b94-npgbj,26m,266Mi,1525m,95Mi,BLOCKED
00:44:21,drupal-mysql-d86854f86-229bw,21m,478Mi,1525m,95Mi,BLOCKED
00:44:26,drupal-deployment-677cb58b94-npgbj,51m,266Mi,1200m,96Mi,BLOCKED
00:44:26,drupal-mysql-d86854f86-229bw,11m,478Mi,1200m,96Mi,BLOCKED
00:44:31,drupal-deployment-677cb58b94-npgbj,51m,266Mi,1200m,96Mi,BLOCKED
00:44:31,drupal-mysql-d86854f86-229bw,11m,478Mi,1200m,96Mi,BLOCKED
00:44:37,drupal-deployment-677cb58b94-npgbj,22m,266Mi,1200m,96Mi,BLOCKED
00:44:37,drupal-mysql-d86854f86-229bw,11m,478Mi,1200m,96Mi,BLOCKED
00:44:42,drupal-deployment-677cb58b94-npgbj,22m,266Mi,1200m,96Mi,NONE
00:44:42,drupal-mysql-d86854f86-229bw,11m,478Mi,1200m,96Mi,NONE
00:44:47,drupal-deployment-677cb58b94-npgbj,22m,266Mi,1200m,96Mi,BLOCKED
00:44:47,drupal-mysql-d86854f86-229bw,11m,478Mi,1200m,96Mi,BLOCKED
00:44:52,drupal-deployment-677cb58b94-npgbj,39m,264Mi,1517m,95Mi,BLOCKED
00:44:52,drupal-mysql-d86854f86-229bw,20m,478Mi,1517m,95Mi,BLOCKED
00:44:58,drupal-deployment-677cb58b94-npgbj,39m,264Mi,1517m,95Mi,BLOCKED
00:44:58,drupal-mysql-d86854f86-229bw,20m,478Mi,1517m,95Mi,BLOCKED
00:45:03,drupal-deployment-677cb58b94-npgbj,39m,264Mi,1517m,95Mi,BLOCKED
00:45:03,drupal-mysql-d86854f86-229bw,20m,478Mi,1517m,95Mi,BLOCKED
00:45:08,drupal-deployment-677cb58b94-npgbj,34m,264Mi,1455m,96Mi,BLOCKED
00:45:08,drupal-mysql-d86854f86-229bw,14m,479Mi,1455m,96Mi,BLOCKED
00:45:13,drupal-deployment-677cb58b94-npgbj,34m,264Mi,1455m,96Mi,BLOCKED
00:45:13,drupal-mysql-d86854f86-229bw,14m,479Mi,1455m,96Mi,BLOCKED
00:45:18,drupal-deployment-677cb58b94-npgbj,34m,264Mi,1455m,96Mi,BLOCKED
00:45:18,drupal-mysql-d86854f86-229bw,14m,479Mi,1455m,96Mi,BLOCKED
00:45:24,drupal-deployment-677cb58b94-npgbj,34m,264Mi,1490m,95Mi,BLOCKED
00:45:24,drupal-mysql-d86854f86-229bw,21m,479Mi,1490m,95Mi,BLOCKED
00:45:29,drupal-deployment-677cb58b94-npgbj,34m,264Mi,1490m,95Mi,BLOCKED
