Timestamp,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Context_Switches,IO_Read_S,IO_Write_S
07:43:37,6,4,2,247,4061,13209,0.00,72.00
07:43:44,7,4,1,233,4061,12888,0.00,340.00
07:43:51,18,8,4,222,4061,17655,0.00,480.00
07:43:58,24,7,2,230,4061,14634,0.00,288.00
07:44:05,38,13,1,200,4062,17987,0.00,544.00
07:44:12,30,7,1,212,4062,15790,0.00,448.00
07:44:19,38,9,1,208,4063,18178,0.00,216.00
07:44:26,49,17,0,199,4064,18899,0.00,281.19
07:44:34,68,19,9,172,4084,23649,3004.00,196.00
07:44:41,53,13,1,176,4021,18605,0.00,192.00
07:44:48,50,13,1,172,4022,19406,0.00,424.00
07:44:55,53,14,0,161,4024,18314,0.00,572.00
07:45:02,60,15,4,147,4030,18762,1976.00,708.00
07:45:09,59,13,1,120,4035,17117,0.00,200.00
07:45:16,66,20,0,207,3937,22568,0.00,204.00
07:45:23,68,16,0,186,3939,18291,0.00,320.00
07:45:30,61,13,1,177,3940,19193,0.00,1960.00
07:45:37,59,18,1,181,3942,19913,0.00,292.00
07:45:44,51,14,2,183,3943,19194,0.00,188.00
07:45:51,72,16,1,158,3944,19231,0.00,256.00
07:45:58,73,15,1,169,3946,24872,1004.00,3096.00
07:46:05,73,24,3,192,3903,25937,5028.00,524.00
07:46:12,63,12,0,186,3859,18396,0.00,600.00
07:46:19,68,17,0,164,3860,21565,0.00,308.00
07:46:26,70,18,1,142,3861,22579,0.00,428.00
07:46:34,81,16,1,130,3871,21251,228.00,1428.00
07:46:41,62,15,1,254,3778,19657,0.00,272.00
07:46:48,68,14,1,219,3782,18511,0.00,120.00
07:46:55,65,14,1,201,3782,19212,0.00,1124.00
07:47:02,74,18,0,161,3784,20948,0.00,1096.00
07:47:09,66,15,0,178,3785,19164,12.00,296.00
07:47:16,65,15,0,189,3786,20709,0.00,264.00
07:47:23,62,14,1,186,3787,19044,0.00,232.00
07:47:30,64,13,2,178,3788,19619,0.00,104.00
07:47:37,66,17,0,189,3780,21899,0.00,648.00
07:47:44,72,15,1,204,3781,19905,0.00,124.00
07:47:51,73,16,0,203,3782,20461,0.00,224.00
07:47:58,64,16,2,191,3783,21801,0.00,148.00
07:48:05,67,14,1,176,3787,18581,0.00,2004.00
07:48:13,60,14,1,161,3787,18609,0.00,280.00
07:48:20,68,16,1,159,3789,21783,0.00,336.00
07:48:27,62,21,1,150,3790,22713,0.00,392.00
07:48:34,68,15,1,159,3791,18152,0.00,1144.00
07:48:41,57,15,2,195,3794,19971,0.00,116.00
07:48:48,70,15,1,194,3795,18631,0.00,592.00
07:48:55,64,16,1,190,3796,20009,0.00,257.43
07:49:02,64,17,1,180,3797,19483,0.00,508.00
07:49:09,74,16,0,178,3799,20514,0.00,416.00
07:49:16,69,15,0,185,3800,19621,0.00,292.00
07:49:23,65,15,1,176,3801,21030,0.00,260.19
07:49:30,61,13,2,170,3803,21015,0.00,100.00
07:49:38,56,15,0,162,3804,18821,0.00,2128.00
07:49:45,74,18,0,154,3806,18605,0.00,80.00
07:49:52,58,12,1,160,3807,18909,0.00,304.00
07:49:59,65,15,2,153,3808,23578,0.00,352.00
07:50:06,65,15,1,149,3809,19631,0.00,1268.00
07:50:13,54,13,1,143,3811,19378,0.00,368.00
07:50:20,66,15,1,125,3812,24067,0.00,484.00
07:50:27,65,16,1,229,3751,22488,0.00,79.21
07:50:34,78,15,1,218,3752,18288,0.00,404.00
07:50:41,60,15,2,216,3754,21641,0.00,152.00
07:50:48,64,15,1,214,3755,18040,0.00,600.00
07:50:55,65,14,1,209,3757,21272,0.00,288.00
07:51:02,67,16,1,216,3758,19100,0.00,400.00
07:51:09,68,13,1,214,3759,21614,0.00,1064.00
07:51:16,65,16,0,204,3761,19417,0.00,364.00
07:51:23,68,16,0,201,3762,21615,0.00,160.00
07:51:31,76,14,1,196,3763,19351,0.00,428.00
07:51:38,59,12,1,189,3764,21391,0.00,128.00
07:51:45,68,14,0,194,3767,17095,0.00,520.00
07:51:52,73,16,1,192,3768,20629,0.00,1052.00
07:51:59,66,14,1,194,3769,19415,0.00,188.00
07:52:06,83,14,0,176,3770,19928,0.00,312.00
07:52:13,64,14,1,190,3772,19840,0.00,432.00
07:52:20,71,15,0,198,3773,22081,0.00,140.00
07:52:27,60,20,2,185,3774,22412,0.00,296.00
07:52:34,69,18,1,188,3775,21563,0.00,288.00
07:52:41,72,15,0,179,3777,18594,178.22,800.00
07:52:48,27,7,1,198,3779,15888,0.00,148.00
07:52:55,23,8,1,198,3780,14064,0.00,444.00
07:53:02,72,20,0,198,3781,22625,0.00,332.00
07:53:09,69,16,0,187,3782,19768,0.00,440.00
07:53:16,60,17,1,177,3784,20689,4.00,108.00
07:53:23,70,15,1,163,3785,21459,0.00,1396.00
07:53:31,63,11,1,191,3786,21228,0.00,64.00
07:53:38,67,16,1,185,3787,21879,0.00,516.00
07:53:45,62,16,1,180,3789,19537,0.00,224.00
07:53:52,6,4,1,175,3790,12415,0.00,540.00
07:53:59,6,3,5,163,3790,14413,0.00,128.00
