Timestamp,Pod_Name,CPU_m,Memory_Mi
21:13:34,ghost-deployment-74496d68fd-lzmbb,2m,111Mi
21:13:34,ghost-mysql-c75f59f48-tddmk,3m,506Mi
21:13:40,ghost-deployment-74496d68fd-lzmbb,2m,111Mi
21:13:40,ghost-mysql-c75f59f48-tddmk,3m,506Mi
21:13:45,ghost-deployment-74496d68fd-lzmbb,3m,110Mi
21:13:45,ghost-mysql-c75f59f48-tddmk,4m,506Mi
21:13:50,ghost-deployment-74496d68fd-lzmbb,3m,110Mi
21:13:50,ghost-mysql-c75f59f48-tddmk,4m,506Mi
21:13:55,ghost-deployment-74496d68fd-lzmbb,3m,110Mi
21:13:55,ghost-mysql-c75f59f48-tddmk,4m,506Mi
21:14:00,ghost-deployment-74496d68fd-lzmbb,557m,150Mi
21:14:00,ghost-mysql-c75f59f48-tddmk,95m,507Mi
21:14:05,ghost-deployment-74496d68fd-lzmbb,557m,150Mi
21:14:05,ghost-mysql-c75f59f48-tddmk,95m,507Mi
21:14:10,ghost-deployment-74496d68fd-lzmbb,557m,150Mi
21:14:10,ghost-mysql-c75f59f48-tddmk,95m,507Mi
21:14:15,ghost-deployment-74496d68fd-lzmbb,557m,150Mi
21:14:15,ghost-mysql-c75f59f48-tddmk,95m,507Mi
21:14:20,ghost-deployment-74496d68fd-lzmbb,557m,150Mi
21:14:20,ghost-mysql-c75f59f48-tddmk,95m,507Mi
21:14:25,ghost-deployment-74496d68fd-lzmbb,557m,150Mi
21:14:25,ghost-mysql-c75f59f48-tddmk,95m,507Mi
21:14:30,ghost-deployment-74496d68fd-lzmbb,846m,155Mi
21:14:30,ghost-deployment-74496d68fd-mv7fn,1m,93Mi
21:14:30,ghost-mysql-c75f59f48-tddmk,190m,508Mi
21:14:35,ghost-deployment-74496d68fd-lzmbb,846m,155Mi
21:14:35,ghost-deployment-74496d68fd-mv7fn,1m,93Mi
21:14:35,ghost-mysql-c75f59f48-tddmk,190m,508Mi
21:14:40,ghost-deployment-74496d68fd-lzmbb,846m,155Mi
21:14:40,ghost-deployment-74496d68fd-mv7fn,1m,93Mi
21:14:40,ghost-mysql-c75f59f48-tddmk,190m,508Mi
21:14:45,ghost-deployment-74496d68fd-lzmbb,964m,160Mi
21:14:45,ghost-deployment-74496d68fd-mv7fn,17m,81Mi
21:14:45,ghost-mysql-c75f59f48-tddmk,208m,508Mi
21:14:51,ghost-deployment-74496d68fd-lzmbb,964m,160Mi
21:14:51,ghost-deployment-74496d68fd-mv7fn,17m,81Mi
21:14:51,ghost-mysql-c75f59f48-tddmk,208m,508Mi
21:14:56,ghost-deployment-74496d68fd-lzmbb,964m,160Mi
21:14:56,ghost-deployment-74496d68fd-mv7fn,17m,81Mi
21:14:56,ghost-mysql-c75f59f48-tddmk,208m,508Mi
21:15:01,ghost-deployment-74496d68fd-lzmbb,734m,161Mi
21:15:01,ghost-deployment-74496d68fd-mv7fn,140m,105Mi
21:15:01,ghost-deployment-74496d68fd-tvwfr,1m,95Mi
21:15:01,ghost-mysql-c75f59f48-tddmk,184m,510Mi
21:15:06,ghost-deployment-74496d68fd-lzmbb,734m,161Mi
21:15:06,ghost-deployment-74496d68fd-mv7fn,140m,105Mi
21:15:06,ghost-deployment-74496d68fd-tvwfr,1m,95Mi
21:15:06,ghost-mysql-c75f59f48-tddmk,184m,510Mi
21:15:11,ghost-deployment-74496d68fd-lzmbb,734m,161Mi
21:15:11,ghost-deployment-74496d68fd-mv7fn,140m,105Mi
21:15:11,ghost-deployment-74496d68fd-tvwfr,1m,95Mi
21:15:11,ghost-mysql-c75f59f48-tddmk,184m,510Mi
21:15:16,ghost-deployment-74496d68fd-lzmbb,495m,154Mi
21:15:16,ghost-deployment-74496d68fd-mv7fn,667m,155Mi
21:15:16,ghost-deployment-74496d68fd-tvwfr,20m,81Mi
21:15:16,ghost-mysql-c75f59f48-tddmk,200m,510Mi
21:15:21,ghost-deployment-74496d68fd-lzmbb,495m,154Mi
21:15:21,ghost-deployment-74496d68fd-mv7fn,667m,155Mi
21:15:21,ghost-deployment-74496d68fd-tvwfr,20m,81Mi
21:15:21,ghost-mysql-c75f59f48-tddmk,200m,510Mi
21:15:26,ghost-deployment-74496d68fd-lzmbb,495m,154Mi
21:15:26,ghost-deployment-74496d68fd-mv7fn,667m,155Mi
21:15:26,ghost-deployment-74496d68fd-tvwfr,20m,81Mi
21:15:26,ghost-mysql-c75f59f48-tddmk,200m,510Mi
21:15:31,ghost-deployment-74496d68fd-lzmbb,427m,154Mi
21:15:31,ghost-deployment-74496d68fd-mv7fn,548m,158Mi
21:15:31,ghost-deployment-74496d68fd-tvwfr,320m,135Mi
21:15:31,ghost-mysql-c75f59f48-tddmk,209m,512Mi
21:15:36,ghost-deployment-74496d68fd-lzmbb,427m,154Mi
21:15:36,ghost-deployment-74496d68fd-mv7fn,548m,158Mi
21:15:36,ghost-deployment-74496d68fd-tvwfr,320m,135Mi
21:15:36,ghost-mysql-c75f59f48-tddmk,209m,512Mi
21:15:41,ghost-deployment-74496d68fd-lzmbb,427m,154Mi
21:15:41,ghost-deployment-74496d68fd-mv7fn,548m,158Mi
21:15:41,ghost-deployment-74496d68fd-tvwfr,320m,135Mi
21:15:41,ghost-mysql-c75f59f48-tddmk,209m,512Mi
21:15:46,ghost-deployment-74496d68fd-lzmbb,308m,154Mi
21:15:46,ghost-deployment-74496d68fd-mv7fn,319m,155Mi
21:15:46,ghost-deployment-74496d68fd-tvwfr,621m,152Mi
21:15:46,ghost-mysql-c75f59f48-tddmk,211m,514Mi
21:15:51,ghost-deployment-74496d68fd-lzmbb,308m,154Mi
21:15:51,ghost-deployment-74496d68fd-mv7fn,319m,155Mi
21:15:51,ghost-deployment-74496d68fd-tvwfr,621m,152Mi
21:15:51,ghost-mysql-c75f59f48-tddmk,211m,514Mi
21:15:57,ghost-deployment-74496d68fd-lzmbb,308m,154Mi
21:15:57,ghost-deployment-74496d68fd-mv7fn,319m,155Mi
21:15:57,ghost-deployment-74496d68fd-tvwfr,621m,152Mi
21:15:57,ghost-mysql-c75f59f48-tddmk,211m,514Mi
21:16:02,ghost-deployment-74496d68fd-lzmbb,361m,155Mi
21:16:02,ghost-deployment-74496d68fd-mv7fn,521m,150Mi
21:16:02,ghost-deployment-74496d68fd-tvwfr,271m,153Mi
21:16:02,ghost-mysql-c75f59f48-tddmk,228m,514Mi
21:16:07,ghost-deployment-74496d68fd-lzmbb,361m,155Mi
21:16:07,ghost-deployment-74496d68fd-mv7fn,521m,150Mi
21:16:07,ghost-deployment-74496d68fd-tvwfr,271m,153Mi
21:16:07,ghost-mysql-c75f59f48-tddmk,228m,514Mi
21:16:12,ghost-deployment-74496d68fd-lzmbb,361m,155Mi
21:16:12,ghost-deployment-74496d68fd-mv7fn,521m,150Mi
21:16:12,ghost-deployment-74496d68fd-tvwfr,271m,153Mi
21:16:12,ghost-mysql-c75f59f48-tddmk,228m,514Mi
21:16:17,ghost-deployment-74496d68fd-lzmbb,459m,156Mi
21:16:17,ghost-deployment-74496d68fd-mv7fn,604m,162Mi
21:16:17,ghost-deployment-74496d68fd-tvwfr,397m,150Mi
21:16:17,ghost-mysql-c75f59f48-tddmk,250m,514Mi
21:16:22,ghost-deployment-74496d68fd-lzmbb,459m,156Mi
21:16:22,ghost-deployment-74496d68fd-mv7fn,604m,162Mi
21:16:22,ghost-deployment-74496d68fd-tvwfr,397m,150Mi
21:16:22,ghost-mysql-c75f59f48-tddmk,250m,514Mi
21:16:27,ghost-deployment-74496d68fd-lzmbb,459m,156Mi
21:16:27,ghost-deployment-74496d68fd-mv7fn,604m,162Mi
21:16:27,ghost-deployment-74496d68fd-tvwfr,397m,150Mi
21:16:27,ghost-mysql-c75f59f48-tddmk,250m,514Mi
21:16:32,ghost-deployment-74496d68fd-lzmbb,345m,155Mi
21:16:32,ghost-deployment-74496d68fd-mv7fn,455m,155Mi
21:16:32,ghost-deployment-74496d68fd-tvwfr,519m,154Mi
21:16:32,ghost-mysql-c75f59f48-tddmk,236m,515Mi
21:16:37,ghost-deployment-74496d68fd-lzmbb,345m,155Mi
21:16:37,ghost-deployment-74496d68fd-mv7fn,455m,155Mi
21:16:37,ghost-deployment-74496d68fd-tvwfr,519m,154Mi
21:16:37,ghost-mysql-c75f59f48-tddmk,236m,515Mi
21:16:42,ghost-deployment-74496d68fd-lzmbb,345m,155Mi
21:16:42,ghost-deployment-74496d68fd-mv7fn,455m,155Mi
21:16:42,ghost-deployment-74496d68fd-tvwfr,519m,154Mi
21:16:42,ghost-mysql-c75f59f48-tddmk,236m,515Mi
21:16:47,ghost-deployment-74496d68fd-lzmbb,385m,155Mi
21:16:47,ghost-deployment-74496d68fd-mv7fn,482m,155Mi
21:16:47,ghost-deployment-74496d68fd-tvwfr,341m,154Mi
21:16:47,ghost-mysql-c75f59f48-tddmk,249m,515Mi
21:16:52,ghost-deployment-74496d68fd-lzmbb,385m,155Mi
21:16:52,ghost-deployment-74496d68fd-mv7fn,482m,155Mi
21:16:52,ghost-deployment-74496d68fd-tvwfr,341m,154Mi
21:16:52,ghost-mysql-c75f59f48-tddmk,249m,515Mi
21:16:57,ghost-deployment-74496d68fd-lzmbb,385m,155Mi
21:16:57,ghost-deployment-74496d68fd-mv7fn,482m,155Mi
21:16:57,ghost-deployment-74496d68fd-tvwfr,341m,154Mi
21:16:57,ghost-mysql-c75f59f48-tddmk,249m,515Mi
21:17:03,ghost-deployment-74496d68fd-lzmbb,489m,155Mi
21:17:03,ghost-deployment-74496d68fd-mv7fn,597m,163Mi
21:17:03,ghost-deployment-74496d68fd-tvwfr,374m,153Mi
21:17:03,ghost-mysql-c75f59f48-tddmk,248m,515Mi
21:17:08,ghost-deployment-74496d68fd-lzmbb,489m,155Mi
21:17:08,ghost-deployment-74496d68fd-mv7fn,597m,163Mi
21:17:08,ghost-deployment-74496d68fd-tvwfr,374m,153Mi
21:17:08,ghost-mysql-c75f59f48-tddmk,248m,515Mi
21:17:13,ghost-deployment-74496d68fd-lzmbb,489m,155Mi
21:17:13,ghost-deployment-74496d68fd-mv7fn,597m,163Mi
21:17:13,ghost-deployment-74496d68fd-tvwfr,374m,153Mi
21:17:13,ghost-mysql-c75f59f48-tddmk,248m,515Mi
21:17:18,ghost-deployment-74496d68fd-lzmbb,366m,155Mi
21:17:18,ghost-deployment-74496d68fd-mv7fn,433m,154Mi
21:17:18,ghost-deployment-74496d68fd-tvwfr,519m,164Mi
21:17:18,ghost-mysql-c75f59f48-tddmk,251m,515Mi
21:17:23,ghost-deployment-74496d68fd-lzmbb,366m,155Mi
21:17:23,ghost-deployment-74496d68fd-mv7fn,433m,154Mi
21:17:23,ghost-deployment-74496d68fd-tvwfr,519m,164Mi
21:17:23,ghost-mysql-c75f59f48-tddmk,251m,515Mi
21:17:28,ghost-deployment-74496d68fd-lzmbb,366m,155Mi
21:17:28,ghost-deployment-74496d68fd-mv7fn,433m,154Mi
21:17:28,ghost-deployment-74496d68fd-tvwfr,519m,164Mi
21:17:28,ghost-mysql-c75f59f48-tddmk,251m,515Mi
21:17:33,ghost-deployment-74496d68fd-lzmbb,473m,155Mi
21:17:33,ghost-deployment-74496d68fd-mv7fn,586m,162Mi
21:17:33,ghost-deployment-74496d68fd-tvwfr,209m,163Mi
21:17:33,ghost-mysql-c75f59f48-tddmk,256m,515Mi
21:17:38,ghost-deployment-74496d68fd-lzmbb,473m,155Mi
21:17:38,ghost-deployment-74496d68fd-mv7fn,586m,162Mi
21:17:38,ghost-deployment-74496d68fd-tvwfr,209m,163Mi
21:17:38,ghost-mysql-c75f59f48-tddmk,256m,515Mi
21:17:43,ghost-deployment-74496d68fd-lzmbb,473m,155Mi
21:17:43,ghost-deployment-74496d68fd-mv7fn,586m,162Mi
21:17:43,ghost-deployment-74496d68fd-tvwfr,209m,163Mi
21:17:43,ghost-mysql-c75f59f48-tddmk,256m,515Mi
21:17:48,ghost-deployment-74496d68fd-lzmbb,422m,156Mi
21:17:48,ghost-deployment-74496d68fd-mv7fn,502m,156Mi
21:17:48,ghost-deployment-74496d68fd-tvwfr,452m,157Mi
21:17:48,ghost-mysql-c75f59f48-tddmk,256m,515Mi
21:17:53,ghost-deployment-74496d68fd-lzmbb,422m,156Mi
21:17:53,ghost-deployment-74496d68fd-mv7fn,502m,156Mi
21:17:53,ghost-deployment-74496d68fd-tvwfr,452m,157Mi
21:17:53,ghost-mysql-c75f59f48-tddmk,256m,515Mi
21:17:58,ghost-deployment-74496d68fd-lzmbb,422m,156Mi
21:17:58,ghost-deployment-74496d68fd-mv7fn,502m,156Mi
21:17:58,ghost-deployment-74496d68fd-tvwfr,452m,157Mi
21:17:58,ghost-mysql-c75f59f48-tddmk,256m,515Mi
21:18:04,ghost-deployment-74496d68fd-lzmbb,372m,155Mi
21:18:04,ghost-deployment-74496d68fd-mv7fn,394m,156Mi
21:18:04,ghost-deployment-74496d68fd-tvwfr,452m,165Mi
21:18:04,ghost-mysql-c75f59f48-tddmk,255m,515Mi
21:18:09,ghost-deployment-74496d68fd-lzmbb,372m,155Mi
21:18:09,ghost-deployment-74496d68fd-mv7fn,394m,156Mi
