Users,Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Samples
10,74.26,97.0,4027.16,4308.0,615.37,5552.0,19683.74,89.0
20,76.89,100.0,3903.61,4318.0,466.74,3288.0,19775.94,104.0
30,88.42,100.0,3868.11,4286.0,566.08,7296.0,20670.1,89.0
40,83.87,101.0,3857.71,4280.0,619.82,7776.0,20465.57,91.0
50,90.62,100.0,3814.4,4278.0,634.03,6516.0,20812.69,89.0
60,65.88,101.0,3862.24,4275.0,568.75,9896.0,18873.46,132.0
70,85.32,101.0,3867.49,4259.0,742.84,10228.0,20518.45,95.0
80,55.99,101.0,4071.88,4517.0,760.6,14320.0,18002.23,158.0
90,62.0,101.0,3994.74,4379.0,786.25,11988.0,18694.33,142.0
100,88.33,100.0,3958.92,4345.0,876.78,9612.0,20722.11,91.0
Average,77.158,100.2,3922.6259999999993,4324.5,663.726,8647.2,19821.862,108.0
