users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),apdex
10,44933.0,100.0,0.0,127.48,176.0,207.0,120.29,0.33,74.89,1.0
20,49742.0,100.0,0.0,229.8,374.0,449.0,217.24,2.95,82.9,0.984
30,47605.0,99.99,0.01,359.9,646.0,785.0,340.8,2.28,79.34,0.904
40,46181.0,99.99,0.01,494.55,845.0,1026.0,465.44,2.01,76.97,0.812
50,48124.0,99.99,0.01,593.13,1227.0,1500.85,566.6,1.79,80.21,0.779
60,48587.0,99.98,0.02,717.21,1499.0,1858.0,670.63,8.04,80.98,0.737
70,47471.0,99.98,0.02,843.21,1924.0,2314.0,811.1,2.35,79.13,0.689
80,43703.0,99.94,0.06,1205.1,2032.0,2375.9,876.15,4.61,72.85,0.667
90,44475.0,99.99,0.01,1156.43,2920.0,3359.0,1134.58,3.16,74.13,0.601
100,44396.0,99.96,0.04,1286.51,2923.0,3556.0,1243.84,6.61,73.99,0.554
Average,46521.7,99.982,0.018000000000000002,701.3320000000001,1456.6,1743.075,644.667,3.4130000000000003,77.539,0.7727
