Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Samples
10,3.0,305.8,724.0,271.77,460.0,450.0
20,4.0,264.79,843.0,234.75,474.0,644.0
30,4.0,315.46,874.0,223.01,479.0,551.0
40,4.0,302.04,862.0,223.33,485.0,569.0
50,4.0,312.96,945.0,224.15,488.0,569.0
60,4.0,212.62,915.0,212.72,494.0,857.0
70,4.0,278.61,932.0,225.35,504.0,640.0
80,4.0,295.68,898.0,230.12,508.0,600.0
90,4.0,206.62,964.0,219.73,516.0,861.0
100,4.0,331.04,888.0,235.49,500.0,531.0
Average,3.9,282.562,884.5,230.042,490.8,627.2
