Timestamp,Pod_Name,CPU_m,Memory_Mi
20:56:11,ghost-deployment-74496d68fd-cmnrm,3m,190Mi
20:56:11,ghost-mysql-c75f59f48-hwrzv,4m,398Mi
20:56:16,ghost-deployment-74496d68fd-cmnrm,3m,190Mi
20:56:16,ghost-mysql-c75f59f48-hwrzv,4m,398Mi
20:56:21,ghost-deployment-74496d68fd-cmnrm,2m,191Mi
20:56:21,ghost-mysql-c75f59f48-hwrzv,4m,398Mi
20:56:26,ghost-deployment-74496d68fd-cmnrm,2m,191Mi
20:56:26,ghost-mysql-c75f59f48-hwrzv,4m,398Mi
20:56:32,ghost-deployment-74496d68fd-cmnrm,2m,191Mi
20:56:32,ghost-mysql-c75f59f48-hwrzv,4m,398Mi
20:56:37,ghost-deployment-74496d68fd-cmnrm,189m,201Mi
20:56:37,ghost-mysql-c75f59f48-hwrzv,42m,399Mi
20:56:42,ghost-deployment-74496d68fd-cmnrm,189m,201Mi
20:56:42,ghost-mysql-c75f59f48-hwrzv,42m,399Mi
20:56:47,ghost-deployment-74496d68fd-cmnrm,189m,201Mi
20:56:47,ghost-mysql-c75f59f48-hwrzv,42m,399Mi
20:56:52,ghost-deployment-74496d68fd-cmnrm,398m,206Mi
20:56:52,ghost-mysql-c75f59f48-hwrzv,80m,399Mi
20:56:57,ghost-deployment-74496d68fd-cmnrm,398m,206Mi
20:56:57,ghost-mysql-c75f59f48-hwrzv,80m,399Mi
20:57:02,ghost-deployment-74496d68fd-cmnrm,476m,211Mi
20:57:02,ghost-mysql-c75f59f48-hwrzv,91m,399Mi
20:57:07,ghost-deployment-74496d68fd-cmnrm,476m,211Mi
20:57:07,ghost-mysql-c75f59f48-hwrzv,91m,399Mi
20:57:12,ghost-deployment-74496d68fd-cmnrm,476m,211Mi
20:57:12,ghost-mysql-c75f59f48-hwrzv,91m,399Mi
20:57:17,ghost-deployment-74496d68fd-cmnrm,403m,221Mi
20:57:17,ghost-deployment-74496d68fd-q6mpj,285m,167Mi
20:57:17,ghost-mysql-c75f59f48-hwrzv,91m,435Mi
20:57:22,ghost-deployment-74496d68fd-cmnrm,403m,221Mi
20:57:22,ghost-deployment-74496d68fd-q6mpj,285m,167Mi
20:57:22,ghost-mysql-c75f59f48-hwrzv,91m,435Mi
20:57:27,ghost-deployment-74496d68fd-cmnrm,403m,221Mi
20:57:27,ghost-deployment-74496d68fd-q6mpj,285m,167Mi
20:57:27,ghost-mysql-c75f59f48-hwrzv,91m,435Mi
20:57:32,ghost-deployment-74496d68fd-cmnrm,387m,228Mi
20:57:32,ghost-deployment-74496d68fd-q6mpj,1m,167Mi
20:57:32,ghost-mysql-c75f59f48-hwrzv,86m,436Mi
