Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
20:38:37,1778618316,7,9,1,167,4176,0.51,6945,13582,0.00,108.00
20:38:45,1778618324,5,2,3,175,4176,0.47,6568,13253,0.00,468.00
20:38:52,1778618331,6,5,1,172,4176,0.40,7580,14794,0.00,184.00
20:38:59,1778618338,12,11,1,170,4176,0.53,9605,18834,0.00,396.00
20:39:06,1778618345,9,8,2,170,4176,0.48,10064,20752,0.00,332.00
20:39:13,1778618352,12,5,3,158,4177,1.04,7509,14674,0.00,316.00
20:39:20,1778618359,10,6,4,160,4177,0.96,9464,18413,0.00,252.00
20:39:27,1778618366,9,6,3,162,4177,0.81,10461,19880,0.00,432.00
20:39:34,1778618373,11,8,3,162,4178,0.75,10134,19315,0.00,428.00
20:39:41,1778618380,7,6,3,157,4178,0.63,9128,17516,0.00,104.00
20:39:48,1778618387,10,12,2,155,4178,0.58,9529,18227,0.00,156.00
20:39:55,1778618394,13,11,2,150,4179,0.53,12103,23108,0.00,324.00
20:40:02,1778618401,8,5,2,155,4179,0.45,9663,18087,0.00,188.00
20:40:09,1778618408,9,9,2,161,4179,0.41,9133,17771,0.00,268.00
20:40:16,1778618415,12,7,1,152,4180,0.67,8243,15454,0.00,300.00
20:40:23,1778618422,7,7,1,153,4180,0.62,9833,18385,0.00,336.00
20:40:30,1778618429,9,7,2,145,4180,0.57,9749,18112,0.00,132.00
20:40:37,1778618436,9,10,3,139,4181,0.48,9769,18833,0.00,152.00
20:40:44,1778618443,12,7,2,145,4181,0.44,10297,19986,0.00,416.00
20:40:51,1778618450,12,8,1,160,4182,0.37,10344,20083,0.00,264.00
20:40:58,1778618457,12,13,3,156,4182,0.34,11126,21250,0.00,452.00
20:41:05,1778618464,11,6,2,157,4182,0.31,9955,20162,0.00,264.00
