Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
21:17:38,ghost-deployment-74496d68fd-m24pb,3m,114Mi,1m,46Mi
21:17:38,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,46Mi
21:17:43,ghost-deployment-74496d68fd-m24pb,3m,114Mi,1m,46Mi
21:17:43,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,46Mi
21:17:48,ghost-deployment-74496d68fd-m24pb,3m,114Mi,1m,46Mi
21:17:48,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,46Mi
21:17:53,ghost-deployment-74496d68fd-m24pb,3m,113Mi,1m,46Mi
21:17:53,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,46Mi
21:17:58,ghost-deployment-74496d68fd-m24pb,3m,113Mi,1m,46Mi
21:17:58,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,46Mi
21:18:03,ghost-deployment-74496d68fd-m24pb,3m,113Mi,1m,46Mi
21:18:03,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,46Mi
21:18:08,ghost-deployment-74496d68fd-m24pb,3m,113Mi,18m,47Mi
21:18:08,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,18m,47Mi
21:18:13,ghost-deployment-74496d68fd-m24pb,3m,113Mi,18m,47Mi
21:18:13,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,18m,47Mi
21:18:19,ghost-deployment-74496d68fd-m24pb,3m,113Mi,18m,47Mi
21:18:19,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,18m,47Mi
21:18:24,ghost-deployment-74496d68fd-m24pb,5m,113Mi,69m,50Mi
21:18:24,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,69m,50Mi
21:18:29,ghost-deployment-74496d68fd-m24pb,5m,113Mi,69m,50Mi
21:18:29,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,69m,50Mi
21:18:34,ghost-deployment-74496d68fd-m24pb,5m,113Mi,69m,50Mi
21:18:34,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,69m,50Mi
21:18:39,ghost-deployment-74496d68fd-m24pb,5m,113Mi,69m,52Mi
21:18:39,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,69m,52Mi
21:18:44,ghost-deployment-74496d68fd-m24pb,5m,113Mi,69m,52Mi
21:18:44,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,69m,52Mi
