Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
18:52:40,1779216759,6,3,3,182,4183,0.21,6887,13585,0.00,112.00
18:52:47,1779216766,7,4,5,179,4184,0.19,7720,15609,0.00,284.00
18:52:54,1779216773,12,9,4,179,4184,0.17,8328,17155,0.00,276.00
18:53:01,1779216780,5,4,2,176,4184,0.15,6170,12111,0.00,652.00
18:53:08,1779216787,14,10,3,178,4184,0.13,8236,16197,0.00,228.00
18:53:15,1779216794,28,9,2,184,4185,0.33,9880,20589,0.00,152.00
18:53:22,1779216801,67,16,1,165,4187,0.31,11163,26737,0.00,136.00
18:53:29,1779216808,80,19,0,169,4191,1.24,12570,28865,0.00,580.00
18:53:36,1779216815,75,18,0,154,4195,1.98,11860,28474,0.00,256.00
18:53:44,1779216822,75,25,0,172,4189,2.62,12487,28374,0.00,320.79
18:53:52,1779216830,77,23,0,156,4196,2.92,13111,30247,0.00,205.94
18:54:00,1779216838,78,22,0,163,4186,3.22,11634,27982,0.00,444.00
18:54:07,1779216846,75,25,0,150,4190,3.13,13214,29476,0.00,190.29
18:54:15,1779216853,79,22,0,147,4195,3.72,12442,29982,0.00,284.75
18:54:22,1779216861,78,22,0,151,4188,3.75,12435,29028,0.00,312.00
18:54:31,1779216869,79,20,0,153,4193,4.16,12817,29492,0.00,376.00
18:54:40,1779216878,80,20,0,143,4187,5.70,15415,37029,0.00,314.02
18:54:48,1779216886,76,24,0,145,4192,6.61,15111,34314,0.00,293.07
18:54:56,1779216895,72,25,0,148,4197,7.36,11470,27594,0.00,220.00
18:55:03,1779216902,74,23,0,135,4191,7.17,13629,34650,0.00,166.04
18:55:10,1779216909,76,22,0,141,4196,6.91,12015,29457,0.00,464.00
18:55:20,1779216917,74,24,0,151,4197,7.16,15498,38920,0.00,215.65
18:55:27,1779216926,81,17,0,148,4197,8.08,12287,31128,0.00,343.86
18:55:36,1779216934,82,16,0,134,4203,9.30,12934,29934,0.00,4.00
18:55:43,1779216942,80,17,0,145,4197,9.19,14632,34488,0.00,277.23
18:55:51,1779216949,82,16,0,135,4203,9.54,13193,29829,0.00,232.00
18:55:59,1779216957,76,24,0,172,4168,9.90,12292,27957,0.00,91.09
18:56:08,1779216966,79,21,0,160,4173,9.89,12730,29045,0.00,263.33
18:56:16,1779216974,79,22,0,168,4177,10.93,11393,27272,0.00,332.67
18:56:24,1779216982,78,20,0,164,4169,11.74,13140,28988,0.00,248.00
18:56:32,1779216990,79,21,0,168,4173,11.30,12186,26961,0.00,11667.29
18:56:40,1779216999,77,23,0,161,4167,10.40,14777,34588,0.00,412.00
18:56:49,1779217007,76,24,0,163,4171,10.85,14532,33333,0.00,213.86
18:56:58,1779217016,78,22,0,158,4176,10.97,12433,27739,0.00,1077.78
18:57:06,1779217024,78,22,0,164,4170,10.12,13408,33535,0.00,284.00
18:57:15,1779217032,77,23,0,151,4175,9.95,12772,28698,0.00,309.80
18:57:23,1779217041,79,21,0,158,4169,9.71,12119,27653,0.00,100.00
18:57:31,1779217049,78,22,0,153,4173,9.28,12784,27886,0.00,696.00
18:57:39,1779217057,75,25,0,145,4178,9.18,13837,31241,0.00,124.00
18:57:48,1779217066,75,25,0,160,4172,9.15,10525,24503,0.00,225.74
18:57:56,1779217074,79,21,0,161,4177,9.39,10996,26584,0.00,126.73
18:58:03,1779217082,77,23,0,171,4171,10.16,11387,29483,0.00,133.33
18:58:13,1779217090,78,22,0,150,4176,9.81,11785,27777,11.88,11081.19
18:58:21,1779217100,75,25,0,156,4170,10.38,12268,27116,0.00,256.14
18:58:29,1779217107,79,21,0,153,4175,10.43,16410,37069,0.00,148.57
18:58:39,1779217116,77,23,0,156,4179,10.75,11233,25739,0.00,0.00
18:58:48,1779217126,74,27,0,144,4175,10.65,12328,25537,0.00,519.23
18:58:57,1779217134,78,21,0,136,4179,10.39,12522,28964,0.00,184.87
