Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
17:40:56,ghost-deployment-74496d68fd-l4xx8,4m,180Mi,1m,73Mi,BLOCKED
17:40:56,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1m,73Mi,BLOCKED
17:41:01,ghost-deployment-74496d68fd-l4xx8,4m,180Mi,1m,73Mi,BLOCKED
17:41:01,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1m,73Mi,BLOCKED
17:41:06,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1m,73Mi,BLOCKED
17:41:06,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1m,73Mi,BLOCKED
17:41:11,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1m,73Mi,BLOCKED
17:41:11,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1m,73Mi,BLOCKED
17:41:17,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1m,73Mi,BLOCKED
17:41:17,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1m,73Mi,BLOCKED
17:41:22,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,308m,74Mi,BLOCKED
17:41:22,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,308m,74Mi,BLOCKED
17:41:27,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,308m,74Mi,BLOCKED
17:41:27,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,308m,74Mi,BLOCKED
17:41:32,ghost-deployment-74496d68fd-l4xx8,3m,180Mi,1061m,75Mi,BLOCKED
17:41:32,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1061m,75Mi,BLOCKED
17:41:38,ghost-deployment-74496d68fd-l4xx8,3m,180Mi,1061m,75Mi,BLOCKED
17:41:38,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1061m,75Mi,BLOCKED
17:41:43,ghost-deployment-74496d68fd-l4xx8,3m,180Mi,1061m,75Mi,BLOCKED
17:41:43,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1061m,75Mi,BLOCKED
17:41:48,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1354m,75Mi,BLOCKED
17:41:48,ghost-mysql-c75f59f48-wdmzt,5m,427Mi,1354m,75Mi,BLOCKED
17:41:53,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1354m,75Mi,BLOCKED
17:41:53,ghost-mysql-c75f59f48-wdmzt,5m,427Mi,1354m,75Mi,BLOCKED
17:41:59,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1354m,75Mi,BLOCKED
17:41:59,ghost-mysql-c75f59f48-wdmzt,5m,427Mi,1354m,75Mi,BLOCKED
17:42:04,ghost-deployment-74496d68fd-l4xx8,5m,179Mi,1431m,76Mi,BLOCKED
17:42:04,ghost-mysql-c75f59f48-wdmzt,5m,427Mi,1431m,76Mi,BLOCKED
17:42:09,ghost-deployment-74496d68fd-l4xx8,5m,179Mi,1431m,76Mi,BLOCKED
17:42:09,ghost-mysql-c75f59f48-wdmzt,5m,427Mi,1431m,76Mi,BLOCKED
17:42:14,ghost-deployment-74496d68fd-l4xx8,5m,179Mi,1431m,76Mi,BLOCKED
17:42:14,ghost-mysql-c75f59f48-wdmzt,5m,427Mi,1431m,76Mi,BLOCKED
17:42:20,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1449m,77Mi,BLOCKED
17:42:20,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1449m,77Mi,BLOCKED
17:42:25,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1449m,77Mi,BLOCKED
17:42:25,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1449m,77Mi,BLOCKED
17:42:30,ghost-deployment-74496d68fd-l4xx8,2m,179Mi,1449m,77Mi,BLOCKED
17:42:30,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1449m,77Mi,BLOCKED
17:42:36,ghost-deployment-74496d68fd-l4xx8,5m,180Mi,1471m,78Mi,BLOCKED
17:42:36,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1471m,78Mi,BLOCKED
17:42:41,ghost-deployment-74496d68fd-l4xx8,5m,180Mi,1471m,78Mi,BLOCKED
17:42:41,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1471m,78Mi,BLOCKED
17:42:46,ghost-deployment-74496d68fd-l4xx8,5m,180Mi,1471m,78Mi,BLOCKED
17:42:46,ghost-mysql-c75f59f48-wdmzt,4m,427Mi,1471m,78Mi,BLOCKED
17:42:51,ghost-deployment-74496d68fd-l4xx8,4m,180Mi,1449m,78Mi,BLOCKED
