Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
15:57:29,1779638248,8,4,1,541,3772,0.39,7184,14363,0.00,188.00
15:57:34,1779638253,7,4,3,539,3772,0.44,6946,14376,0.00,332.00
15:57:39,1779638258,8,5,3,536,3772,0.40,6649,13080,0.00,312.00
15:57:44,1779638263,8,4,2,536,3772,0.37,7007,14492,0.00,332.00
15:57:49,1779638268,33,10,2,535,3773,0.34,9991,20883,0.00,136.00
15:57:54,1779638273,56,15,1,529,3774,0.31,10285,24332,0.00,488.00
15:57:59,1779638278,75,14,1,527,3777,0.45,10632,25974,0.00,188.00
15:58:04,1779638283,78,18,0,523,3779,0.57,12688,29211,0.00,152.00
15:58:09,1779638288,80,21,0,512,3782,0.69,12904,30929,0.00,144.00
15:58:14,1779638293,79,21,0,522,3775,0.79,12188,29280,0.00,108.00
15:58:20,1779638298,80,20,0,535,3778,0.89,12446,29906,0.00,10358.10
15:58:24,1779638303,81,19,0,506,3780,0.98,13483,30149,0.00,392.00
15:58:30,1779638308,79,20,0,514,3783,1.06,12092,27912,0.00,212.00
15:58:35,1779638314,78,19,0,521,3775,1.38,13467,31756,0.00,282.35
15:58:40,1779638319,81,19,1,509,3778,2.39,13102,31155,0.00,166.34
15:58:45,1779638324,81,18,0,513,3781,3.48,13090,29041,0.00,10413.91
15:58:50,1779638329,82,18,0,525,3784,3.99,12409,29277,0.00,384.00
15:58:55,1779638334,82,18,0,509,3776,4.31,12740,29820,0.00,144.00
15:59:01,1779638339,81,19,0,505,3779,4.77,13917,31904,0.00,308.00
15:59:06,1779638344,83,17,0,501,3782,5.18,11207,27411,0.00,280.00
15:59:10,1779638349,77,21,1,486,3784,5.49,12734,30083,0.00,492.00
15:59:17,1779638355,79,20,0,515,3777,5.85,15835,35228,0.00,223.08
15:59:21,1779638360,82,19,0,520,3779,6.75,10882,27752,0.00,292.00
15:59:27,1779638365,84,17,0,508,3782,7.73,10963,25741,0.00,200.00
15:59:33,1779638371,81,18,0,517,3774,7.43,14667,33967,0.00,296.00
15:59:37,1779638376,79,21,0,498,3778,8.27,11529,26638,0.00,192.00
15:59:43,1779638381,82,18,0,491,3780,8.57,12156,27576,0.00,193.65
15:59:48,1779638386,74,26,0,486,3784,9.17,12398,26374,0.00,200.00
15:59:53,1779638392,82,18,0,516,3776,8.83,14265,34531,0.00,316.00
15:59:59,1779638397,77,23,0,524,3779,9.41,12761,28963,0.00,51.49
16:00:03,1779638402,81,18,0,505,3782,8.81,13942,34111,0.00,348.00
16:00:08,1779638407,80,20,0,494,3786,8.99,13406,33641,0.00,221.78
16:00:13,1779638412,82,17,0,498,3778,8.91,15277,36024,0.00,208.00
16:00:18,1779638417,83,16,0,501,3782,9.16,12410,27637,0.00,424.00
16:00:24,1779638422,84,16,0,501,3785,8.75,11897,27498,0.00,212.00
16:00:29,1779638427,81,19,0,484,3788,9.01,12160,27371,0.00,320.75
16:00:34,1779638433,83,17,0,509,3779,8.85,13502,29947,0.00,0.00
16:00:39,1779638438,82,17,0,512,3782,8.30,13624,30262,0.00,236.19
16:00:45,1779638443,82,18,0,501,3785,7.95,12929,29742,0.00,136.00
16:00:50,1779638448,78,22,0,502,3788,9.00,12043,28821,0.00,304.00
16:00:54,1779638453,80,20,0,508,3778,8.52,12601,29323,0.00,44.00
16:00:59,1779638458,80,20,0,499,3781,9.52,12014,28248,0.00,156.00
16:01:05,1779638463,83,16,0,494,3784,9.24,11941,27964,0.00,12500.00
16:01:11,1779638468,79,21,0,499,3787,8.58,12821,28044,0.00,253.47
16:01:15,1779638473,81,19,0,504,3778,8.58,11668,27799,0.00,128.00
16:01:20,1779638478,80,20,0,511,3781,8.80,11263,26439,0.00,400.00
16:01:25,1779638483,82,19,0,506,3783,8.80,12126,27626,0.00,148.00
16:01:30,1779638488,80,20,0,498,3786,8.74,11510,27117,0.00,339.13
16:01:36,1779638494,80,20,0,498,3779,8.50,17041,39923,0.00,368.00
16:01:41,1779638499,80,20,0,505,3782,8.70,12927,28274,0.00,232.14
16:01:46,1779638504,83,17,0,491,3784,9.13,14003,32285,0.00,20.00
16:01:51,1779638509,81,19,0,508,3776,8.72,12239,29504,0.00,690.20
16:01:55,1779638514,83,17,0,500,3779,8.72,11030,25267,0.00,408.00
16:02:00,1779638519,80,20,0,491,3781,9.38,13454,32731,0.00,392.00
16:02:06,1779638524,82,18,0,492,3784,11.27,11658,25366,0.00,10250.91
16:02:10,1779638529,81,19,0,486,3787,11.65,12107,28479,0.00,270.59
16:02:15,1779638534,82,18,0,504,3779,11.65,10299,24846,0.00,496.00
16:02:21,1779638539,80,20,0,518,3782,11.42,11689,28303,0.00,326.21
16:02:27,1779638544,82,18,0,510,3785,11.47,12074,27429,0.00,10212.39
16:02:31,1779638550,80,20,0,510,3777,10.71,12353,27339,0.00,192.00
16:02:37,1779638555,82,18,0,495,3780,11.61,16862,38576,0.00,427.18
16:02:42,1779638560,80,20,0,492,3783,11.80,12420,27544,0.00,216.00
16:02:47,1779638565,81,18,0,486,3785,11.42,11130,25988,0.00,0.00
