Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
15:26:32,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1m,79Mi,BLOCKED
15:26:32,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1m,79Mi,BLOCKED
15:26:37,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1m,79Mi,BLOCKED
15:26:37,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1m,79Mi,BLOCKED
15:26:42,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1m,79Mi,BLOCKED
15:26:42,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1m,79Mi,BLOCKED
15:26:47,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1m,79Mi,BLOCKED
15:26:47,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1m,79Mi,BLOCKED
15:26:52,ghost-deployment-74496d68fd-hvb94,3m,172Mi,551m,80Mi,BLOCKED
15:26:52,ghost-mysql-c75f59f48-bf92t,4m,380Mi,551m,80Mi,BLOCKED
15:26:58,ghost-deployment-74496d68fd-hvb94,3m,172Mi,551m,80Mi,BLOCKED
15:26:58,ghost-mysql-c75f59f48-bf92t,4m,380Mi,551m,80Mi,BLOCKED
15:27:03,ghost-deployment-74496d68fd-hvb94,3m,172Mi,551m,80Mi,BLOCKED
15:27:03,ghost-mysql-c75f59f48-bf92t,4m,380Mi,551m,80Mi,BLOCKED
15:27:08,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1250m,81Mi,BLOCKED
15:27:08,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1250m,81Mi,BLOCKED
15:27:13,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1250m,81Mi,BLOCKED
15:27:13,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1250m,81Mi,BLOCKED
15:27:19,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1250m,81Mi,BLOCKED
15:27:19,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1250m,81Mi,BLOCKED
15:27:24,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1250m,81Mi,BLOCKED
15:27:24,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1250m,81Mi,BLOCKED
15:27:29,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1250m,81Mi,BLOCKED
15:27:29,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1250m,81Mi,BLOCKED
15:27:34,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1250m,81Mi,BLOCKED
15:27:34,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1250m,81Mi,BLOCKED
15:27:40,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1472m,82Mi,BLOCKED
15:27:40,ghost-mysql-c75f59f48-bf92t,5m,380Mi,1472m,82Mi,BLOCKED
15:27:45,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1472m,82Mi,BLOCKED
15:27:45,ghost-mysql-c75f59f48-bf92t,5m,380Mi,1472m,82Mi,BLOCKED
15:27:50,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1472m,82Mi,BLOCKED
15:27:50,ghost-mysql-c75f59f48-bf92t,5m,380Mi,1472m,82Mi,BLOCKED
15:27:55,ghost-deployment-74496d68fd-hvb94,2m,173Mi,1495m,83Mi,BLOCKED
15:27:55,ghost-mysql-c75f59f48-bf92t,5m,380Mi,1495m,83Mi,BLOCKED
15:28:00,ghost-deployment-74496d68fd-hvb94,2m,173Mi,1495m,83Mi,BLOCKED
15:28:00,ghost-mysql-c75f59f48-bf92t,5m,380Mi,1495m,83Mi,BLOCKED
15:28:06,ghost-deployment-74496d68fd-hvb94,2m,173Mi,1495m,83Mi,BLOCKED
15:28:06,ghost-mysql-c75f59f48-bf92t,5m,380Mi,1495m,83Mi,BLOCKED
15:28:11,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1497m,84Mi,BLOCKED
15:28:11,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1497m,84Mi,BLOCKED
15:28:16,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1497m,84Mi,BLOCKED
15:28:16,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1497m,84Mi,BLOCKED
15:28:21,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1523m,84Mi,BLOCKED
15:28:21,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1523m,84Mi,BLOCKED
15:28:27,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1523m,84Mi,BLOCKED
15:28:27,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1523m,84Mi,BLOCKED
15:28:32,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1523m,84Mi,BLOCKED
15:28:32,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1523m,84Mi,BLOCKED
15:28:37,ghost-deployment-74496d68fd-hvb94,3m,172Mi,1518m,84Mi,BLOCKED
15:28:37,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1518m,84Mi,BLOCKED
15:28:42,ghost-deployment-74496d68fd-hvb94,3m,172Mi,1518m,84Mi,BLOCKED
15:28:42,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1518m,84Mi,BLOCKED
15:28:48,ghost-deployment-74496d68fd-hvb94,3m,172Mi,1518m,84Mi,BLOCKED
15:28:48,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1518m,84Mi,BLOCKED
15:28:53,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1511m,85Mi,BLOCKED
15:28:53,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1511m,85Mi,BLOCKED
15:28:58,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1511m,85Mi,BLOCKED
15:28:58,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1511m,85Mi,BLOCKED
15:29:03,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1511m,85Mi,BLOCKED
15:29:03,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1511m,85Mi,BLOCKED
15:29:09,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1518m,85Mi,BLOCKED
15:29:09,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1518m,85Mi,BLOCKED
15:29:14,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1518m,85Mi,BLOCKED
15:29:14,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1518m,85Mi,BLOCKED
15:29:19,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1518m,85Mi,BLOCKED
15:29:19,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1518m,85Mi,BLOCKED
15:29:24,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1529m,84Mi,BLOCKED
15:29:24,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1529m,84Mi,BLOCKED
15:29:30,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1529m,84Mi,BLOCKED
15:29:30,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1529m,84Mi,BLOCKED
15:29:35,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1529m,84Mi,BLOCKED
15:29:35,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1529m,84Mi,BLOCKED
15:29:40,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1529m,84Mi,BLOCKED
15:29:40,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1529m,84Mi,BLOCKED
15:29:45,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1529m,84Mi,BLOCKED
15:29:45,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1529m,84Mi,BLOCKED
15:29:50,ghost-deployment-74496d68fd-hvb94,5m,172Mi,1529m,84Mi,BLOCKED
15:29:50,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1529m,84Mi,BLOCKED
15:29:56,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1512m,84Mi,BLOCKED
15:29:56,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1512m,84Mi,BLOCKED
15:30:01,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1512m,84Mi,BLOCKED
15:30:01,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1512m,84Mi,BLOCKED
15:30:06,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1512m,84Mi,BLOCKED
15:30:06,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1512m,84Mi,BLOCKED
15:30:11,ghost-deployment-74496d68fd-hvb94,3m,172Mi,1510m,84Mi,BLOCKED
15:30:11,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1510m,84Mi,BLOCKED
15:30:17,ghost-deployment-74496d68fd-hvb94,3m,172Mi,1510m,84Mi,BLOCKED
15:30:17,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1510m,84Mi,BLOCKED
15:30:22,ghost-deployment-74496d68fd-hvb94,4m,173Mi,1537m,84Mi,BLOCKED
15:30:22,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1537m,84Mi,BLOCKED
15:30:27,ghost-deployment-74496d68fd-hvb94,4m,173Mi,1537m,84Mi,BLOCKED
15:30:27,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1537m,84Mi,BLOCKED
15:30:32,ghost-deployment-74496d68fd-hvb94,4m,173Mi,1537m,84Mi,BLOCKED
15:30:32,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1537m,84Mi,BLOCKED
15:30:37,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1517m,84Mi,BLOCKED
15:30:37,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1517m,84Mi,BLOCKED
15:30:43,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1517m,84Mi,BLOCKED
15:30:43,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1517m,84Mi,BLOCKED
15:30:48,ghost-deployment-74496d68fd-hvb94,4m,172Mi,1517m,84Mi,BLOCKED
