Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
18:42:08,1778784127,5,3,1,693,3608,0.48,5930,11683,12.00,440.00
18:42:15,1778784134,7,6,3,686,3608,0.60,8092,17404,0.00,260.00
18:42:22,1778784141,4,3,1,689,3608,0.51,5850,11720,0.00,500.00
18:42:29,1778784148,62,16,1,663,3609,0.55,11563,22325,0.00,652.00
18:42:36,1778784155,62,16,1,656,3610,1.06,9571,19497,4.00,128.00
18:42:43,1778784162,60,15,1,633,3612,1.29,10477,20833,0.00,336.00
18:42:50,1778784169,63,14,0,618,3615,1.66,10227,19131,128.00,300.00
18:42:57,1778784176,61,16,0,628,3618,1.88,9588,18670,0.00,404.00
18:43:04,1778784183,77,19,4,541,3654,2.21,10448,23131,6444.00,2012.00
18:43:11,1778784190,64,14,0,450,3688,2.35,10038,19541,0.00,0.00
18:43:18,1778784197,40,20,23,405,3698,2.36,16541,31991,4600.00,2296.00
18:43:25,1778784204,63,21,0,353,3730,2.25,9061,18996,0.00,288.00
18:43:32,1778784211,62,14,0,318,3744,2.06,10318,22310,1600.00,212.00
18:43:40,1778784219,65,14,1,284,3752,2.06,10695,21158,0.00,1780.00
18:43:47,1778784226,79,20,0,261,3754,2.76,10544,21871,0.00,376.00
18:43:54,1778784233,81,19,0,202,3767,4.06,9846,19610,0.00,872.00
18:44:01,1778784240,83,16,0,154,3770,3.98,9215,19154,0.00,200.00
18:44:08,1778784247,82,17,0,189,3775,6.93,9401,20003,0.00,388.00
18:44:15,1778784254,79,20,0,144,3776,8.78,10210,23263,0.00,496.00
18:44:23,1778784262,80,19,0,243,3682,10.02,9813,21855,0.00,180.00
18:44:30,1778784269,80,18,0,206,3690,10.18,9757,20606,0.00,2080.00
18:44:37,1778784276,79,19,0,196,3694,12.93,8803,19257,0.00,288.00
18:44:44,1778784283,83,17,0,189,3697,13.01,9899,19923,0.00,324.75
18:44:51,1778784290,83,17,0,157,3700,13.95,9147,19139,0.00,312.00
18:44:59,1778784298,79,19,0,166,3705,15.95,10573,24397,0.00,152.00
