Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
18:42:07,ghost-deployment-74496d68fd-s6xpz,4m,116Mi,1m,52Mi
18:42:07,ghost-mysql-c75f59f48-n4rmd,4m,496Mi,1m,52Mi
18:42:12,ghost-deployment-74496d68fd-s6xpz,4m,116Mi,1m,52Mi
18:42:12,ghost-mysql-c75f59f48-n4rmd,4m,496Mi,1m,52Mi
18:42:17,ghost-deployment-74496d68fd-s6xpz,2m,116Mi,1m,52Mi
18:42:17,ghost-mysql-c75f59f48-n4rmd,4m,496Mi,1m,52Mi
18:42:22,ghost-deployment-74496d68fd-s6xpz,2m,116Mi,1m,52Mi
18:42:22,ghost-mysql-c75f59f48-n4rmd,4m,496Mi,1m,52Mi
18:42:27,ghost-deployment-74496d68fd-s6xpz,2m,116Mi,1m,52Mi
18:42:27,ghost-mysql-c75f59f48-n4rmd,4m,496Mi,1m,52Mi
18:42:32,ghost-deployment-74496d68fd-s6xpz,4m,116Mi,1m,52Mi
18:42:32,ghost-mysql-c75f59f48-n4rmd,4m,496Mi,1m,52Mi
18:42:38,ghost-deployment-74496d68fd-s6xpz,4m,116Mi,1m,52Mi
18:42:38,ghost-mysql-c75f59f48-n4rmd,4m,496Mi,1m,52Mi
18:42:43,ghost-deployment-74496d68fd-s6xpz,4m,116Mi,1m,52Mi
18:42:43,ghost-mysql-c75f59f48-n4rmd,4m,496Mi,1m,52Mi
18:42:48,ghost-deployment-74496d68fd-s6xpz,915m,155Mi,23m,54Mi
18:42:48,ghost-mysql-c75f59f48-n4rmd,161m,496Mi,23m,54Mi
18:42:53,ghost-deployment-74496d68fd-s6xpz,915m,155Mi,23m,54Mi
18:42:53,ghost-mysql-c75f59f48-n4rmd,161m,496Mi,23m,54Mi
18:42:58,ghost-deployment-74496d68fd-s6xpz,915m,155Mi,23m,54Mi
18:42:58,ghost-mysql-c75f59f48-n4rmd,161m,496Mi,23m,54Mi
18:43:03,ghost-deployment-74496d68fd-s6xpz,967m,167Mi,47m,56Mi
