Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
21:38:38,1779658717,8,3,2,179,4124,0.37,7413,15976,0.00,88.00
21:38:43,1779658722,5,2,1,177,4124,0.34,5447,10996,0.00,572.00
21:38:48,1779658727,7,3,2,177,4124,0.32,6475,12722,0.00,52.00
21:38:53,1779658732,7,4,3,180,4124,0.29,8162,17303,0.00,272.00
21:38:58,1779658737,6,3,2,181,4124,0.27,7027,13466,0.00,320.00
21:39:03,1779658742,5,3,2,180,4124,0.25,6952,13684,0.00,240.00
21:39:08,1779658747,9,5,3,184,4124,0.23,8319,17689,0.00,704.00
21:39:13,1779658752,5,3,2,184,4124,0.21,6083,12158,0.00,608.00
21:39:18,1779658757,8,3,4,188,4124,0.19,6978,13740,0.00,0.00
21:39:23,1779658762,7,4,2,186,4124,0.17,7607,16370,0.00,276.00
21:39:28,1779658767,36,9,2,182,4125,0.16,10099,20689,0.00,388.00
21:39:33,1779658772,59,17,1,179,4126,0.31,10840,26250,0.00,296.00
21:39:38,1779658777,77,22,0,171,4118,0.52,11964,31197,0.00,76.00
21:39:43,1779658782,77,15,1,175,4121,1.04,10751,26073,0.00,496.00
21:39:48,1779658787,77,18,0,189,4124,1.20,12113,27820,0.00,52.00
21:39:53,1779658792,82,18,0,181,4126,1.26,13039,31098,0.00,236.00
21:39:58,1779658797,82,19,0,185,4118,1.48,12477,29108,0.00,436.00
21:40:03,1779658802,81,20,0,179,4121,1.68,11284,27114,0.00,308.00
21:40:09,1779658807,82,17,0,178,4124,2.03,13108,28041,0.00,180.00
21:40:14,1779658812,79,21,0,159,4116,2.19,12783,29049,0.00,168.00
21:40:19,1779658817,82,16,0,173,4119,2.81,10503,24447,0.00,284.00
21:40:24,1779658823,77,22,0,166,4122,3.23,12975,30096,0.00,353.40
21:40:29,1779658828,80,20,0,161,4125,3.93,11312,28602,0.00,2260.00
21:40:34,1779658833,82,18,0,172,4117,3.94,13084,30747,0.00,186.67
21:40:39,1779658838,82,18,0,173,4120,4.34,12098,28412,0.00,572.00
21:40:44,1779658843,80,20,0,172,4122,4.34,13272,31951,0.00,304.00
21:40:49,1779658848,78,21,0,161,4126,5.94,13473,29555,0.00,372.88
