Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
21:07:41,ghost-deployment-74496d68fd-vtgx4,3m,107Mi,1m,79Mi,BLOCKED
21:07:41,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1m,79Mi,BLOCKED
21:07:46,ghost-deployment-74496d68fd-vtgx4,3m,107Mi,1m,79Mi,BLOCKED
21:07:46,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1m,79Mi,BLOCKED
21:07:51,ghost-deployment-74496d68fd-vtgx4,3m,107Mi,1m,79Mi,BLOCKED
21:07:51,ghost-mysql-c75f59f48-kp8g5,5m,380Mi,1m,79Mi,BLOCKED
21:07:56,ghost-deployment-74496d68fd-vtgx4,3m,107Mi,1m,79Mi,BLOCKED
21:07:56,ghost-mysql-c75f59f48-kp8g5,5m,380Mi,1m,79Mi,BLOCKED
21:08:02,ghost-deployment-74496d68fd-vtgx4,3m,107Mi,1m,79Mi,BLOCKED
21:08:02,ghost-mysql-c75f59f48-kp8g5,5m,380Mi,1m,79Mi,BLOCKED
21:08:07,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,1m,79Mi,BLOCKED
21:08:07,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1m,79Mi,BLOCKED
21:08:12,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,1m,79Mi,BLOCKED
21:08:12,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1m,79Mi,BLOCKED
21:08:17,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,1m,79Mi,BLOCKED
21:08:17,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1m,79Mi,BLOCKED
21:08:23,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,414m,80Mi,BLOCKED
21:08:23,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,414m,80Mi,BLOCKED
21:08:28,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,414m,80Mi,BLOCKED
21:08:28,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,414m,80Mi,BLOCKED
21:08:33,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,414m,80Mi,BLOCKED
21:08:33,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,414m,80Mi,BLOCKED
21:08:38,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1205m,81Mi,BLOCKED
21:08:38,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1205m,81Mi,BLOCKED
21:08:43,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1205m,81Mi,BLOCKED
21:08:43,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1205m,81Mi,BLOCKED
21:08:49,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1205m,81Mi,BLOCKED
21:08:49,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1205m,81Mi,BLOCKED
21:08:54,ghost-deployment-74496d68fd-vtgx4,4m,106Mi,1505m,82Mi,BLOCKED
21:08:54,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1505m,82Mi,BLOCKED
21:08:59,ghost-deployment-74496d68fd-vtgx4,4m,106Mi,1505m,82Mi,BLOCKED
21:08:59,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1505m,82Mi,BLOCKED
21:09:04,ghost-deployment-74496d68fd-vtgx4,4m,106Mi,1505m,82Mi,BLOCKED
21:09:04,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1505m,82Mi,BLOCKED
21:09:10,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,1494m,83Mi,BLOCKED
21:09:10,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1494m,83Mi,BLOCKED
21:09:15,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,1494m,83Mi,BLOCKED
21:09:15,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1494m,83Mi,BLOCKED
21:09:20,ghost-deployment-74496d68fd-vtgx4,2m,106Mi,1494m,83Mi,BLOCKED
21:09:20,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1494m,83Mi,BLOCKED
21:09:26,ghost-deployment-74496d68fd-vtgx4,5m,106Mi,1525m,83Mi,BLOCKED
21:09:26,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1525m,83Mi,BLOCKED
21:09:31,ghost-deployment-74496d68fd-vtgx4,5m,106Mi,1525m,83Mi,BLOCKED
21:09:31,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1525m,83Mi,BLOCKED
21:09:36,ghost-deployment-74496d68fd-vtgx4,5m,106Mi,1525m,83Mi,BLOCKED
21:09:36,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1525m,83Mi,BLOCKED
21:09:41,ghost-deployment-74496d68fd-vtgx4,3m,105Mi,1521m,84Mi,BLOCKED
21:09:41,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1521m,84Mi,BLOCKED
21:09:46,ghost-deployment-74496d68fd-vtgx4,3m,105Mi,1521m,84Mi,BLOCKED
21:09:46,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1521m,84Mi,BLOCKED
21:09:52,ghost-deployment-74496d68fd-vtgx4,5m,107Mi,1516m,85Mi,BLOCKED
21:09:52,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1516m,85Mi,BLOCKED
21:09:57,ghost-deployment-74496d68fd-vtgx4,5m,107Mi,1516m,85Mi,BLOCKED
21:09:57,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1516m,85Mi,BLOCKED
21:10:02,ghost-deployment-74496d68fd-vtgx4,5m,107Mi,1516m,85Mi,BLOCKED
21:10:02,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1516m,85Mi,BLOCKED
21:10:07,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1519m,85Mi,BLOCKED
21:10:07,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1519m,85Mi,BLOCKED
21:10:13,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1519m,85Mi,BLOCKED
21:10:13,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1519m,85Mi,BLOCKED
21:10:18,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1519m,85Mi,BLOCKED
21:10:18,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1519m,85Mi,BLOCKED
21:10:23,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1538m,85Mi,BLOCKED
21:10:23,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1538m,85Mi,BLOCKED
21:10:28,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1538m,85Mi,BLOCKED
21:10:28,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1538m,85Mi,BLOCKED
21:10:33,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1538m,85Mi,BLOCKED
21:10:33,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1538m,85Mi,BLOCKED
21:10:39,ghost-deployment-74496d68fd-vtgx4,4m,106Mi,1532m,85Mi,BLOCKED
21:10:39,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1532m,85Mi,BLOCKED
21:10:44,ghost-deployment-74496d68fd-vtgx4,4m,106Mi,1532m,85Mi,BLOCKED
21:10:44,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1532m,85Mi,BLOCKED
21:10:49,ghost-deployment-74496d68fd-vtgx4,4m,106Mi,1532m,85Mi,BLOCKED
21:10:49,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1532m,85Mi,BLOCKED
21:10:54,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1527m,85Mi,BLOCKED
21:10:54,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1527m,85Mi,BLOCKED
21:11:00,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1527m,85Mi,BLOCKED
21:11:00,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1527m,85Mi,BLOCKED
21:11:05,ghost-deployment-74496d68fd-vtgx4,3m,106Mi,1527m,85Mi,BLOCKED
21:11:05,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1527m,85Mi,BLOCKED
21:11:10,ghost-deployment-74496d68fd-vtgx4,2m,107Mi,1525m,84Mi,BLOCKED
21:11:10,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1525m,84Mi,BLOCKED
21:11:15,ghost-deployment-74496d68fd-vtgx4,2m,107Mi,1525m,84Mi,BLOCKED
21:11:15,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1525m,84Mi,BLOCKED
21:11:21,ghost-deployment-74496d68fd-vtgx4,2m,107Mi,1525m,84Mi,BLOCKED
21:11:21,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1525m,84Mi,BLOCKED
21:11:26,ghost-deployment-74496d68fd-vtgx4,4m,107Mi,1532m,84Mi,BLOCKED
21:11:26,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1532m,84Mi,BLOCKED
21:11:31,ghost-deployment-74496d68fd-vtgx4,4m,107Mi,1532m,84Mi,BLOCKED
21:11:31,ghost-mysql-c75f59f48-kp8g5,4m,380Mi,1532m,84Mi,BLOCKED
