Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
16:29:11,1779640150,5,3,1,455,3900,0.13,5703,11299,0.00,180.00
16:29:16,1779640155,7,3,4,455,3901,0.12,7289,15197,0.00,0.00
16:29:21,1779640160,7,4,2,455,3901,0.11,6768,13825,0.00,152.00
16:29:26,1779640165,7,4,4,455,3901,0.58,7828,16142,0.00,140.00
16:29:31,1779640170,45,11,1,453,3902,0.54,10522,23372,0.00,220.00
16:29:36,1779640175,72,20,0,450,3904,0.65,12032,29250,0.00,200.00
16:29:42,1779640180,78,20,0,446,3896,0.84,11194,27517,0.00,217.48
16:29:46,1779640185,80,19,0,445,3899,1.09,12921,31333,0.00,102.97
16:29:51,1779640190,79,20,0,451,3902,1.33,12008,29569,0.00,152.00
16:29:57,1779640195,79,19,1,444,3904,1.70,12222,29073,0.00,248.00
16:30:02,1779640200,77,22,0,444,3897,2.05,12853,29570,0.00,184.00
16:30:07,1779640205,80,19,0,443,3900,2.52,13690,31399,0.00,148.00
16:30:12,1779640211,79,20,0,440,3903,3.04,13149,30053,0.00,308.57
16:30:17,1779640216,80,20,0,437,3905,3.76,11980,27625,0.00,278.99
16:30:23,1779640221,78,21,0,444,3897,3.86,13182,31771,0.00,19.42
16:30:27,1779640226,80,19,0,426,3900,4.03,12891,28435,0.00,216.00
16:30:33,1779640231,75,25,0,416,3903,5.39,12603,28237,0.00,64.00
16:30:37,1779640236,82,18,0,416,3906,6.00,12279,27421,75.68,255.86
16:30:43,1779640242,68,17,1,426,3898,7.20,11356,25737,0.00,168.00
16:30:48,1779640246,83,17,0,428,3901,6.94,12043,28674,0.00,228.00
16:30:53,1779640252,82,17,0,429,3904,7.03,12036,29579,0.00,208.00
16:30:58,1779640256,81,19,0,411,3907,7.59,12488,28676,0.00,411.88
16:31:03,1779640262,83,17,0,409,3899,8.10,12207,24792,0.00,312.00
16:31:10,1779640268,77,22,0,418,3902,7.77,12980,28589,0.00,200.00
16:31:15,1779640273,79,21,0,410,3905,9.15,13686,29451,0.00,364.00
16:31:20,1779640279,82,18,0,413,3908,9.38,11719,27009,0.00,280.00
16:31:26,1779640285,80,20,0,426,3901,10.65,13374,30968,0.00,156.00
16:31:31,1779640289,80,20,0,415,3904,11.24,11116,26997,0.00,265.38
16:31:37,1779640295,81,19,0,416,3907,10.66,14206,29452,0.00,9500.00
16:31:43,1779640300,81,19,0,414,3900,10.84,12381,30056,0.00,112.00
16:31:48,1779640306,83,17,0,423,3902,11.66,11621,24949,0.00,46.15
16:31:53,1779640311,81,19,0,414,3905,11.52,12542,30214,0.00,110.48
16:31:58,1779640316,83,18,0,416,3908,10.76,12792,26840,0.00,106.93
16:32:03,1779640321,83,17,0,438,3900,10.86,11717,26192,0.00,88.00
16:32:08,1779640326,85,15,0,425,3903,11.11,11884,29764,0.00,258.27
16:32:13,1779640331,82,18,0,408,3906,11.26,9766,23138,0.00,56.14
16:32:19,1779640336,79,20,0,395,3909,10.52,14404,29146,0.00,125.79
16:32:23,1779640341,82,19,0,425,3901,10.56,11505,29127,0.00,0.00
16:32:28,1779640347,83,17,0,420,3904,11.96,12651,28797,0.00,204.00
16:32:35,1779640352,79,21,0,407,3907,11.96,12919,29010,0.00,160.00
16:32:39,1779640357,80,20,0,404,3910,11.40,11804,29544,0.00,198.20
16:32:44,1779640362,79,21,0,412,3901,11.93,12228,28600,0.00,172.00
16:32:52,1779640368,82,17,0,412,3906,11.21,12794,30039,0.00,345.63
16:32:56,1779640374,82,18,0,422,3908,12.31,12028,27398,0.00,7342.17
16:33:03,1779640379,80,20,0,408,3900,12.85,11531,27475,0.00,99.05
16:33:06,1779640384,81,19,0,403,3902,11.98,11472,25151,0.00,276.00
16:33:11,1779640389,79,21,0,401,3905,12.86,12189,26649,0.00,161.98
16:33:17,1779640395,80,20,0,409,3908,12.47,13550,31565,0.00,11620.00
16:33:22,1779640400,81,19,0,418,3901,12.19,10640,26227,0.00,280.00
16:33:27,1779640405,79,20,0,418,3903,11.62,12178,27450,0.00,133.33
16:33:33,1779640411,79,21,0,411,3906,11.41,10908,26795,0.00,292.06
16:33:38,1779640417,80,21,0,427,3910,11.29,11843,28283,0.00,320.79
16:33:43,1779640422,80,20,0,421,3902,11.11,12695,27494,0.00,448.00
16:33:49,1779640427,80,20,0,414,3905,11.58,11843,25911,0.00,408.00
16:33:54,1779640432,79,21,0,415,3907,11.86,13231,31232,0.00,234.23
16:34:00,1779640438,81,19,0,409,3910,11.55,10751,26461,0.00,359.63
16:34:04,1779640442,81,19,0,422,3902,11.98,11326,26388,0.00,222.22
16:34:09,1779640448,81,19,0,409,3908,12.14,10677,25787,0.00,309.09
16:34:15,1779640453,80,20,0,417,3908,11.73,13449,31342,0.00,440.00
16:34:21,1779640459,80,20,0,397,3911,11.95,12584,28626,0.00,215.38
16:34:25,1779640463,80,20,0,415,3903,11.95,12380,29934,0.00,352.00
16:34:31,1779640468,80,20,0,401,3906,12.34,11292,25888,0.00,260.00
16:34:35,1779640473,80,20,0,402,3909,12.34,13769,32252,0.00,384.00
16:34:41,1779640479,79,21,0,386,3912,11.91,11633,26797,0.00,230.63
16:34:46,1779640484,81,19,0,415,3904,11.52,12441,30646,0.00,282.35
16:34:51,1779640489,80,20,0,398,3907,11.24,11917,27809,0.00,166.67
16:34:56,1779640495,81,19,0,420,3910,10.74,10941,27422,0.00,84.00
16:35:02,1779640500,79,21,0,401,3903,10.60,11571,26029,0.00,99.01
16:35:07,1779640505,82,18,0,406,3905,10.71,10160,25918,0.00,127.43
16:35:13,1779640511,80,20,0,393,3908,10.33,10762,27812,0.00,174.79
16:35:18,1779640516,41,16,1,415,3911,9.99,11366,20588,0.00,18.87
16:35:23,1779640522,77,22,0,410,3903,9.99,12851,31332,0.00,420.00
16:35:29,1779640527,79,21,0,400,3906,9.59,11948,27113,0.00,312.00
16:35:36,1779640533,83,17,0,398,3909,11.14,10630,25380,171.81,268.46
16:35:39,1779640538,81,18,0,405,3912,11.14,12321,27878,0.00,182.86
16:35:46,1779640543,82,17,0,394,3905,11.58,13813,29942,0.00,305.45
16:35:51,1779640548,82,18,0,404,3907,11.58,12441,31660,0.00,182.04
16:35:55,1779640553,79,21,0,401,3911,11.86,13667,28340,0.00,544.00
16:36:00,1779640559,79,21,0,403,3913,12.19,12147,26593,0.00,140.00
16:36:05,1779640564,79,15,1,417,3906,11.93,10360,23983,0.00,340.00
16:36:11,1779640569,81,19,0,400,3908,10.90,12523,28437,0.00,204.00
16:36:17,1779640575,82,18,0,393,3911,11.15,13131,30393,0.00,370.37
16:36:22,1779640580,79,21,0,402,3904,11.46,11089,25060,0.00,283.50
16:36:26,1779640585,80,21,0,406,3906,10.70,12085,31243,0.00,388.00
16:36:32,1779640590,79,21,0,380,3909,10.56,10338,24684,0.00,11288.00
16:36:39,1779640596,82,18,0,378,3913,10.36,11649,27399,0.00,162.38
16:36:44,1779640602,79,20,0,398,3905,11.53,12704,28221,0.00,388.12
16:36:48,1779640607,83,17,0,420,3908,11.41,9878,25909,0.00,110.89
16:36:55,1779640613,79,21,0,391,3912,11.45,12917,28918,0.00,160.00
16:37:02,1779640619,78,22,0,378,3904,11.37,12161,27817,0.00,142.61
16:37:06,1779640624,82,18,0,383,3907,10.62,16502,38421,0.00,148.00
16:37:11,1779640630,77,22,0,396,3910,10.25,12748,26976,0.00,372.00
16:37:16,1779640635,81,20,0,401,3913,10.55,11306,27929,0.00,99.01
16:37:22,1779640640,76,21,0,410,3905,11.30,13274,29802,0.00,184.91
16:37:26,1779640645,78,18,0,392,3909,10.80,12162,27903,0.00,404.00
16:37:32,1779640651,77,19,0,389,3913,10.81,12593,28066,0.00,10560.71
16:37:37,1779640656,77,20,0,394,3916,10.11,13794,32689,0.00,284.00
16:37:42,1779640661,78,19,0,397,3909,10.66,13245,30792,0.00,422.43
16:37:47,1779640666,78,19,0,393,3912,10.53,12099,27472,0.00,152.00
16:37:52,1779640671,78,19,0,387,3915,10.25,11723,29027,0.00,14452.00
16:37:59,1779640676,78,19,0,386,3919,9.74,13585,33768,0.00,356.76
16:38:03,1779640681,77,20,0,369,3909,9.77,12628,30977,0.00,328.00
16:38:08,1779640686,78,19,0,372,3913,9.38,12244,31593,0.00,600.00
16:38:13,1779640692,77,19,0,376,3917,9.67,10804,26315,0.00,108.00
16:38:19,1779640697,77,22,1,391,3920,10.10,13260,30830,0.00,396.04
16:38:25,1779640703,78,21,0,397,3910,10.17,13384,30971,0.00,157.24
16:38:30,1779640707,81,19,0,383,3913,9.92,12031,29428,0.00,246.43
16:38:35,1779640713,81,20,0,379,3916,9.52,12048,25043,0.00,168.00
16:38:42,1779640719,79,21,0,372,3919,10.42,16588,40195,0.00,82.67
16:38:45,1779640723,82,18,0,385,3908,10.42,11874,26123,0.00,150.94
16:38:52,1779640729,80,21,0,389,3912,9.88,12261,27049,13.71,59.43
16:38:55,1779640734,82,18,0,383,3914,9.88,11881,27883,0.00,0.00
16:39:01,1779640740,79,21,0,381,3917,10.11,12312,29479,0.00,302.91
16:39:07,1779640745,81,18,0,381,3909,9.46,12433,27135,0.00,121.95
16:39:12,1779640750,78,22,0,374,3912,10.06,11147,25823,0.00,516.00
16:39:17,1779640755,81,19,0,369,3915,9.82,12343,27733,0.00,104.00
16:39:22,1779640761,81,19,0,396,3907,9.67,12356,27269,0.00,174.60
16:39:27,1779640765,82,18,0,387,3910,9.70,12183,28187,0.00,120.00
16:39:33,1779640771,83,17,0,382,3913,9.88,12613,30524,0.00,215.69
16:39:38,1779640776,81,19,1,388,3916,9.97,12313,32219,0.00,14.55
16:39:43,1779640782,82,18,0,393,3908,9.89,10941,25972,0.00,380.00
16:39:50,1779640787,81,18,0,382,3911,10.54,12088,27591,0.00,308.77
16:39:53,1779640792,6,4,2,393,3911,9.70,6928,14827,0.00,332.00
16:39:58,1779640797,7,4,1,416,3911,8.92,6626,13515,0.00,0.00
16:40:03,1779640802,5,3,2,399,3911,8.21,6184,12447,0.00,376.00
