Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
17:18:23,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1581m,106Mi,BLOCKED
17:18:23,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1581m,106Mi,BLOCKED
17:18:29,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1581m,106Mi,BLOCKED
17:18:29,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1581m,106Mi,BLOCKED
17:18:34,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1581m,106Mi,BLOCKED
17:18:34,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1581m,106Mi,BLOCKED
17:18:40,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1545m,104Mi,BLOCKED
17:18:40,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1545m,104Mi,BLOCKED
17:18:45,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1545m,104Mi,BLOCKED
17:18:45,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1545m,104Mi,BLOCKED
17:18:50,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1545m,104Mi,BLOCKED
17:18:50,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1545m,104Mi,BLOCKED
17:18:56,ghost-deployment-74496d68fd-hvb94,11m,176Mi,1539m,103Mi,BLOCKED
17:18:56,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1539m,103Mi,BLOCKED
17:19:01,ghost-deployment-74496d68fd-hvb94,11m,176Mi,1539m,103Mi,BLOCKED
17:19:01,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1539m,103Mi,BLOCKED
17:19:06,ghost-deployment-74496d68fd-hvb94,11m,176Mi,1539m,103Mi,BLOCKED
17:19:06,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1539m,103Mi,BLOCKED
17:19:11,ghost-deployment-74496d68fd-hvb94,3m,177Mi,1542m,102Mi,BLOCKED
17:19:11,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1542m,102Mi,BLOCKED
17:19:17,ghost-deployment-74496d68fd-hvb94,3m,177Mi,1542m,102Mi,BLOCKED
17:19:17,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1542m,102Mi,BLOCKED
17:19:22,ghost-deployment-74496d68fd-hvb94,4m,175Mi,1538m,101Mi,BLOCKED
17:19:22,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1538m,101Mi,BLOCKED
17:19:27,ghost-deployment-74496d68fd-hvb94,4m,175Mi,1538m,101Mi,BLOCKED
17:19:27,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1538m,101Mi,BLOCKED
17:19:32,ghost-deployment-74496d68fd-hvb94,4m,175Mi,1538m,101Mi,BLOCKED
17:19:32,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1538m,101Mi,BLOCKED
17:19:38,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1532m,104Mi,BLOCKED
17:19:38,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1532m,104Mi,BLOCKED
17:19:43,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1532m,104Mi,BLOCKED
17:19:43,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1532m,104Mi,BLOCKED
17:19:48,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1532m,104Mi,BLOCKED
17:19:48,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1532m,104Mi,BLOCKED
17:19:53,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1569m,101Mi,BLOCKED
17:19:53,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1569m,101Mi,BLOCKED
17:19:59,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1569m,101Mi,BLOCKED
17:19:59,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1569m,101Mi,BLOCKED
17:20:04,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1569m,101Mi,BLOCKED
17:20:04,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1569m,101Mi,BLOCKED
17:20:09,ghost-deployment-74496d68fd-hvb94,3m,176Mi,1553m,101Mi,BLOCKED
17:20:09,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1553m,101Mi,BLOCKED
17:20:14,ghost-deployment-74496d68fd-hvb94,3m,176Mi,1553m,101Mi,BLOCKED
17:20:14,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1553m,101Mi,BLOCKED
17:20:20,ghost-deployment-74496d68fd-hvb94,3m,176Mi,1553m,101Mi,BLOCKED
17:20:20,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1553m,101Mi,BLOCKED
17:20:26,ghost-deployment-74496d68fd-hvb94,6m,176Mi,1544m,100Mi,BLOCKED
17:20:26,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1544m,100Mi,BLOCKED
17:20:32,ghost-deployment-74496d68fd-hvb94,6m,176Mi,1544m,100Mi,BLOCKED
17:20:32,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1544m,100Mi,BLOCKED
17:20:37,ghost-deployment-74496d68fd-hvb94,6m,176Mi,1544m,100Mi,BLOCKED
17:20:37,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1544m,100Mi,BLOCKED
17:20:42,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1537m,100Mi,BLOCKED
17:20:42,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1537m,100Mi,BLOCKED
17:20:48,ghost-deployment-74496d68fd-hvb94,2m,176Mi,1537m,100Mi,BLOCKED
17:20:48,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1537m,100Mi,BLOCKED
17:20:53,ghost-deployment-74496d68fd-hvb94,4m,176Mi,1528m,100Mi,BLOCKED
17:20:53,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1528m,100Mi,BLOCKED
17:20:59,ghost-deployment-74496d68fd-hvb94,4m,176Mi,1528m,100Mi,BLOCKED
17:20:59,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1528m,100Mi,BLOCKED
17:21:06,ghost-deployment-74496d68fd-hvb94,4m,176Mi,1528m,100Mi,BLOCKED
17:21:06,ghost-mysql-c75f59f48-bf92t,4m,380Mi,1528m,100Mi,BLOCKED
