users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),apdex
10,15530.0,100.0,0.0,368.95,554.0,633.0,314.58,1.14,25.89,0.92
20,13064.0,99.98,0.02,875.57,1476.7,1823.55,693.82,10.3,21.77,0.605
30,13622.0,99.96,0.04,1281.87,2184.0,2565.95,1022.99,17.15,22.7,0.522
40,13493.0,99.96,0.04,1693.82,3559.8,4127.0,1585.52,5.35,22.49,0.421
50,13937.0,99.96,0.04,2051.56,4255.0,5020.6,1901.07,9.79,23.23,0.355
60,13633.0,99.97,0.03,2514.37,5682.8,6657.4,2401.69,12.48,22.72,0.353
70,13279.0,99.96,0.04,3013.59,6998.0,8204.1,2864.99,13.36,22.13,0.315
80,12548.0,99.93,0.07,3645.2,7426.0,8594.65,3468.17,14.95,20.91,0.227
90,13320.0,99.91,0.09,3868.07,8573.5,9788.05,3676.38,25.73,22.2,0.275
100,13584.0,99.87,0.13,4211.02,9833.5,11185.0,3998.76,24.52,22.64,0.307
Average,13601.0,99.95,0.05,2352.402,5054.33,5859.93,2192.797,13.477,22.668,0.43
