Timestamp,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Context_Switches,IO_Read_S,IO_Write_S
08:00:26,6,4,2,212,4236,13981,0.00,228.00
08:00:33,6,6,3,211,4236,13092,0.00,208.00
08:00:40,9,5,3,217,4237,14365,128.00,352.00
08:00:47,6,4,2,214,4238,13758,0.00,476.00
08:00:54,6,4,2,214,4238,12409,0.00,376.00
08:01:01,28,9,3,197,4239,21183,0.00,320.00
08:01:08,35,12,2,179,4240,22822,0.00,216.00
08:01:15,53,13,2,182,4240,22328,39.60,396.04
08:01:22,58,15,1,148,4241,22841,0.00,476.00
08:01:29,57,17,2,219,4197,25731,1268.00,1476.00
08:01:36,58,18,1,185,4156,25287,0.00,140.00
08:01:43,57,14,3,193,4161,22568,0.00,388.00
08:01:50,65,24,7,150,4204,41960,11728.00,1120.00
08:01:58,58,17,1,121,4188,25724,0.00,188.00
08:02:05,66,30,1,144,4156,33083,15892.00,1716.00
08:02:12,61,23,1,134,4154,29649,2285.15,265.35
08:02:19,58,17,1,115,4121,22306,1432.00,392.00
08:02:26,72,18,0,130,4095,26457,1460.00,600.00
08:02:33,65,18,6,126,4043,26366,128.00,240.00
08:02:40,40,12,3,116,4017,18909,0.00,352.00
08:02:47,79,19,0,135,3990,30455,0.00,360.00
08:02:54,80,20,0,145,3967,24071,0.00,476.00
08:03:01,59,15,1,118,3968,25191,580.00,432.00
08:03:08,79,20,0,133,3946,26093,0.00,160.00
08:03:15,81,18,0,118,3947,29466,0.00,412.00
08:03:22,73,21,1,140,3912,29754,124.00,356.00
08:03:30,78,19,1,128,3912,29559,644.00,608.00
08:03:37,79,19,1,147,3894,29086,0.00,552.00
08:03:44,67,18,1,125,3887,31903,0.00,288.00
08:03:51,79,19,0,116,3854,30393,0.00,1000.00
08:03:58,79,20,0,155,3841,25654,0.00,304.00
08:04:05,79,19,0,132,3826,27439,0.00,164.00
08:04:12,77,21,0,120,3829,29393,0.00,188.00
08:04:19,75,21,0,156,3813,28132,252.00,376.00
08:04:26,79,18,0,136,3815,25476,0.00,524.00
08:04:33,79,19,1,118,3816,22610,256.00,376.00
08:04:41,79,19,0,144,3798,27990,172.00,272.00
08:04:48,76,18,1,143,3801,29135,4.00,512.00
08:04:55,76,20,0,131,3801,28142,0.00,476.00
08:05:02,73,27,0,184,3780,25858,152.00,248.00
