Timestamp,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Context_Switches,IO_Read_S,IO_Write_S
20:13:17,9,6,2,791,3472,14148,0.00,376.00
20:13:24,9,9,2,779,3472,13598,0.00,360.00
20:13:31,8,5,4,773,3472,14834,0.00,156.00
20:13:38,51,12,1,772,3473,24427,0.00,136.00
20:13:46,61,16,1,718,3485,27012,0.00,532.00
20:13:53,57,15,1,636,3486,23162,0.00,548.00
20:14:00,56,15,1,555,3486,21345,0.00,520.00
20:14:07,60,13,1,474,3486,23771,0.00,276.00
20:14:14,56,19,0,386,3488,21922,0.00,1284.00
20:14:21,18,14,14,320,3498,27308,0.00,332.00
20:14:28,58,15,2,280,3499,21723,0.00,152.00
20:14:35,57,34,1,130,3500,31764,3140.00,2244.00
20:14:42,60,16,1,244,3418,27141,168.00,336.00
20:14:49,80,20,0,125,3347,21771,96.00,720.00
20:14:57,76,24,0,200,3189,25006,256.00,864.00
20:15:04,75,25,0,126,3080,29246,39.60,431.68
20:15:11,77,20,1,126,2788,26523,456.00,356.00
20:15:19,82,18,0,202,2792,24856,0.00,1660.00
20:15:26,78,23,0,255,2819,23184,0.00,208.00
20:15:33,81,19,0,268,2819,22917,0.00,332.00
20:15:40,80,20,0,301,2820,24926,12.00,464.00
20:15:47,81,19,0,253,2828,28737,0.00,436.00
20:15:54,76,23,0,141,2741,31497,212.00,284.00
20:16:01,33,13,3,308,2565,22179,484.00,0.00
20:16:09,73,27,0,279,2631,33702,8292.00,1132.00
20:16:16,80,21,0,279,2651,23632,0.00,444.00
20:16:23,79,21,0,409,2652,22850,0.00,472.00
20:16:30,79,22,0,513,2656,27626,0.00,328.00
20:16:37,78,22,0,423,2677,24962,0.00,300.00
20:16:44,74,25,0,395,2685,21981,52.00,216.00
20:16:52,78,21,0,359,2686,23767,88.00,368.00
20:16:59,79,20,0,447,2687,23328,308.00,312.00
20:17:06,82,19,0,444,2688,24453,16.00,300.00
20:17:13,78,23,0,466,2688,24706,0.00,292.00
20:17:20,79,22,0,483,2689,30690,12.00,0.00
20:17:27,82,19,0,446,2689,23827,64.00,620.00
20:17:35,78,22,0,473,2690,26653,7.92,332.67
20:17:42,80,20,0,496,2691,24851,0.00,304.00
20:17:49,83,17,0,493,2691,22226,0.00,463.37
20:17:57,78,23,0,504,2692,25336,0.00,360.00
20:18:04,78,21,0,518,2692,21489,0.00,504.00
20:18:11,79,21,0,494,2692,26116,0.00,268.00
20:18:18,81,19,0,437,2693,22523,0.00,420.00
20:18:26,78,22,0,431,2694,22774,8.00,172.00
20:18:33,79,20,0,468,2694,26439,0.00,164.71
20:18:40,81,18,0,510,2695,24633,0.00,448.00
20:18:47,81,19,0,477,2695,26276,0.00,332.00
20:18:54,82,18,0,477,2695,22326,76.92,738.46
20:19:02,81,19,0,477,2696,24758,0.00,408.00
20:19:09,78,22,0,504,2696,24483,0.00,432.00
20:19:16,79,21,0,528,2696,22154,24.00,496.00
20:19:23,78,22,0,469,2697,21016,0.00,288.00
20:19:31,78,22,0,441,2698,27679,0.00,520.00
20:19:38,79,22,0,380,2698,24581,0.00,0.00
20:19:45,81,19,0,428,2698,25641,0.00,384.00
20:19:52,81,19,0,441,2699,22594,0.00,148.00
20:20:00,81,20,0,448,2700,22296,0.00,424.00
20:20:07,80,20,0,463,2700,27672,0.00,248.00
20:20:14,78,22,0,446,2701,23344,0.00,376.00
20:20:21,83,17,0,471,2701,25819,0.00,120.00
20:20:29,81,19,0,490,2702,25157,0.00,176.00
20:20:36,76,24,0,494,2702,20200,0.00,428.00
20:20:43,80,21,0,497,2703,25119,0.00,141.18
20:20:50,79,21,0,490,2703,26450,0.00,560.00
20:20:58,81,19,0,480,2704,23800,0.00,648.00
20:21:05,78,22,0,448,2704,25599,0.00,324.75
20:21:12,80,20,0,469,2705,23371,224.00,940.00
20:21:19,83,18,0,473,2712,22206,0.00,260.00
20:21:26,83,18,0,482,2713,20856,0.00,444.00
20:21:34,79,20,0,485,2713,24448,0.00,204.00
20:21:41,77,23,0,710,2716,24284,628.00,1740.00
20:21:48,78,22,0,692,2698,26075,0.00,144.00
20:21:56,83,18,0,643,2698,22650,0.00,64.00
20:22:03,81,18,0,607,2699,26682,0.00,492.00
20:22:10,81,19,0,616,2699,23744,64.00,352.00
20:22:17,80,21,0,604,2700,20444,60.00,552.00
20:22:25,79,21,0,576,2700,21656,0.00,376.00
20:22:32,81,19,0,588,2700,23760,0.00,444.00
20:22:39,80,21,0,565,2701,25746,0.00,132.00
20:22:46,81,19,0,564,2701,24336,0.00,300.99
20:22:53,82,18,0,560,2702,23038,0.00,260.00
20:23:00,81,19,0,559,2702,22806,0.00,724.00
20:23:07,82,19,0,533,2706,25910,24.00,224.00
20:23:14,77,24,0,554,2706,28587,0.00,168.00
20:23:21,81,19,0,528,2707,24504,24.00,376.00
20:23:29,82,18,0,528,2707,25632,0.00,324.00
20:23:36,79,21,0,525,2709,24323,0.00,628.00
20:23:43,6,4,3,645,2709,12714,0.00,156.00
20:23:50,12,6,2,780,2709,17076,0.00,520.00
20:23:57,6,4,2,894,2709,12377,0.00,312.00
20:24:04,5,7,2,995,2710,13796,0.00,104.00
20:24:11,8,7,3,1102,2710,14782,0.00,228.00
20:24:18,7,4,4,1154,2710,14453,0.00,280.00
