Timestamp,Pod_Name,CPU_m,Memory_Mi
08:00:35,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:00:35,wordpress-mysql-8484774888-46s7v,4m,495Mi
08:00:40,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:00:40,wordpress-mysql-8484774888-46s7v,4m,495Mi
08:00:45,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:00:45,wordpress-mysql-8484774888-46s7v,4m,495Mi
08:00:50,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:00:50,wordpress-mysql-8484774888-46s7v,4m,495Mi
08:00:55,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:00:55,wordpress-mysql-8484774888-46s7v,4m,495Mi
08:01:00,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:01:00,wordpress-mysql-8484774888-46s7v,4m,495Mi
08:01:05,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:01:05,wordpress-mysql-8484774888-46s7v,5m,495Mi
08:01:10,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:01:10,wordpress-mysql-8484774888-46s7v,5m,495Mi
08:01:15,wordpress-deployment-7c7bb76d6f-k4446,1m,113Mi
08:01:15,wordpress-mysql-8484774888-46s7v,5m,495Mi
08:01:20,wordpress-deployment-7c7bb76d6f-k4446,297m,131Mi
08:01:20,wordpress-mysql-8484774888-46s7v,76m,498Mi
08:01:25,wordpress-deployment-7c7bb76d6f-k4446,297m,131Mi
08:01:25,wordpress-mysql-8484774888-46s7v,76m,498Mi
08:01:30,wordpress-deployment-7c7bb76d6f-k4446,297m,131Mi
08:01:30,wordpress-mysql-8484774888-46s7v,76m,498Mi
08:01:35,wordpress-deployment-7c7bb76d6f-k4446,825m,153Mi
08:01:35,wordpress-mysql-8484774888-46s7v,129m,499Mi
08:01:40,wordpress-deployment-7c7bb76d6f-k4446,825m,153Mi
08:01:40,wordpress-mysql-8484774888-46s7v,129m,499Mi
08:01:45,wordpress-deployment-7c7bb76d6f-k4446,825m,153Mi
08:01:45,wordpress-mysql-8484774888-46s7v,129m,499Mi
08:01:51,wordpress-deployment-7c7bb76d6f-k4446,906m,177Mi
08:01:51,wordpress-mysql-8484774888-46s7v,126m,499Mi
08:01:56,wordpress-deployment-7c7bb76d6f-k4446,906m,177Mi
08:01:56,wordpress-mysql-8484774888-46s7v,126m,499Mi
08:02:01,wordpress-deployment-7c7bb76d6f-k4446,906m,177Mi
08:02:01,wordpress-mysql-8484774888-46s7v,126m,499Mi
