Timestamp,Pod_Name,CPU_m,Memory_Mi
09:00:26,wordpress-deployment-7c7bb76d6f-sdtc8,1m,158Mi
09:00:26,wordpress-mysql-8484774888-46s7v,5m,543Mi
09:00:31,wordpress-deployment-7c7bb76d6f-sdtc8,1m,158Mi
09:00:31,wordpress-mysql-8484774888-46s7v,5m,543Mi
09:00:36,wordpress-deployment-7c7bb76d6f-sdtc8,1m,158Mi
09:00:36,wordpress-mysql-8484774888-46s7v,5m,543Mi
09:00:41,wordpress-deployment-7c7bb76d6f-sdtc8,1m,158Mi
09:00:41,wordpress-mysql-8484774888-46s7v,5m,543Mi
09:00:46,wordpress-deployment-7c7bb76d6f-sdtc8,1m,158Mi
09:00:46,wordpress-mysql-8484774888-46s7v,5m,543Mi
09:00:51,wordpress-deployment-7c7bb76d6f-sdtc8,137m,159Mi
09:00:51,wordpress-mysql-8484774888-46s7v,8m,543Mi
09:00:56,wordpress-deployment-7c7bb76d6f-sdtc8,137m,159Mi
09:00:56,wordpress-mysql-8484774888-46s7v,8m,543Mi
09:01:01,wordpress-deployment-7c7bb76d6f-sdtc8,137m,159Mi
09:01:01,wordpress-mysql-8484774888-46s7v,8m,543Mi
09:01:06,wordpress-deployment-7c7bb76d6f-sdtc8,810m,168Mi
09:01:06,wordpress-mysql-8484774888-46s7v,107m,543Mi
09:01:11,wordpress-deployment-7c7bb76d6f-sdtc8,810m,168Mi
09:01:11,wordpress-mysql-8484774888-46s7v,107m,543Mi
09:01:16,wordpress-deployment-7c7bb76d6f-sdtc8,810m,168Mi
09:01:16,wordpress-mysql-8484774888-46s7v,107m,543Mi
09:01:21,wordpress-deployment-7c7bb76d6f-q8q95,7m,15Mi
09:01:21,wordpress-deployment-7c7bb76d6f-sdtc8,869m,226Mi
09:01:21,wordpress-mysql-8484774888-46s7v,119m,543Mi
09:01:26,wordpress-deployment-7c7bb76d6f-q8q95,7m,15Mi
09:01:26,wordpress-deployment-7c7bb76d6f-sdtc8,869m,226Mi
09:01:26,wordpress-mysql-8484774888-46s7v,119m,543Mi
09:01:32,wordpress-deployment-7c7bb76d6f-q8q95,7m,15Mi
09:01:32,wordpress-deployment-7c7bb76d6f-sdtc8,869m,226Mi
09:01:32,wordpress-mysql-8484774888-46s7v,119m,543Mi
09:01:37,wordpress-deployment-7c7bb76d6f-n4rz9,11m,22Mi
09:01:37,wordpress-deployment-7c7bb76d6f-q8q95,1m,15Mi
09:01:37,wordpress-deployment-7c7bb76d6f-sdtc8,763m,258Mi
09:01:37,wordpress-mysql-8484774888-46s7v,109m,543Mi
09:01:42,wordpress-deployment-7c7bb76d6f-n4rz9,11m,22Mi
09:01:42,wordpress-deployment-7c7bb76d6f-q8q95,1m,15Mi
09:01:42,wordpress-deployment-7c7bb76d6f-sdtc8,763m,258Mi
09:01:42,wordpress-mysql-8484774888-46s7v,109m,543Mi
09:01:47,wordpress-deployment-7c7bb76d6f-n4rz9,11m,22Mi
09:01:47,wordpress-deployment-7c7bb76d6f-q8q95,1m,15Mi
09:01:47,wordpress-deployment-7c7bb76d6f-sdtc8,763m,258Mi
09:01:47,wordpress-mysql-8484774888-46s7v,109m,543Mi
09:01:52,wordpress-deployment-7c7bb76d6f-n4rz9,1m,22Mi
09:01:52,wordpress-deployment-7c7bb76d6f-q8q95,228m,120Mi
09:01:52,wordpress-deployment-7c7bb76d6f-sdtc8,457m,256Mi
09:01:52,wordpress-mysql-8484774888-46s7v,105m,545Mi
09:01:57,wordpress-deployment-7c7bb76d6f-n4rz9,1m,22Mi
09:01:57,wordpress-deployment-7c7bb76d6f-q8q95,228m,120Mi
09:01:57,wordpress-deployment-7c7bb76d6f-sdtc8,457m,256Mi
09:01:57,wordpress-mysql-8484774888-46s7v,105m,545Mi
09:02:02,wordpress-deployment-7c7bb76d6f-n4rz9,1m,22Mi
09:02:02,wordpress-deployment-7c7bb76d6f-q8q95,228m,120Mi
09:02:02,wordpress-deployment-7c7bb76d6f-sdtc8,457m,256Mi
09:02:02,wordpress-mysql-8484774888-46s7v,105m,545Mi
09:02:07,wordpress-deployment-7c7bb76d6f-n4rz9,369m,212Mi
09:02:07,wordpress-deployment-7c7bb76d6f-q8q95,392m,181Mi
09:02:07,wordpress-deployment-7c7bb76d6f-sdtc8,400m,231Mi
09:02:07,wordpress-mysql-8484774888-46s7v,144m,546Mi
09:02:12,wordpress-deployment-7c7bb76d6f-n4rz9,369m,212Mi
09:02:12,wordpress-deployment-7c7bb76d6f-q8q95,392m,181Mi
09:02:12,wordpress-deployment-7c7bb76d6f-sdtc8,400m,231Mi
09:02:12,wordpress-mysql-8484774888-46s7v,144m,546Mi
09:02:17,wordpress-deployment-7c7bb76d6f-n4rz9,369m,212Mi
09:02:17,wordpress-deployment-7c7bb76d6f-q8q95,392m,181Mi
09:02:17,wordpress-deployment-7c7bb76d6f-sdtc8,400m,231Mi
09:02:17,wordpress-mysql-8484774888-46s7v,144m,546Mi
09:02:22,wordpress-deployment-7c7bb76d6f-n4rz9,341m,194Mi
09:02:22,wordpress-deployment-7c7bb76d6f-q8q95,432m,181Mi
09:02:22,wordpress-deployment-7c7bb76d6f-sdtc8,391m,234Mi
09:02:22,wordpress-mysql-8484774888-46s7v,144m,546Mi
09:02:27,wordpress-deployment-7c7bb76d6f-n4rz9,341m,194Mi
09:02:27,wordpress-deployment-7c7bb76d6f-q8q95,432m,181Mi
09:02:27,wordpress-deployment-7c7bb76d6f-sdtc8,391m,234Mi
09:02:27,wordpress-mysql-8484774888-46s7v,144m,546Mi
09:02:32,wordpress-deployment-7c7bb76d6f-n4rz9,341m,194Mi
09:02:32,wordpress-deployment-7c7bb76d6f-q8q95,432m,181Mi
09:02:32,wordpress-deployment-7c7bb76d6f-sdtc8,391m,234Mi
09:02:32,wordpress-mysql-8484774888-46s7v,144m,546Mi
09:02:38,wordpress-deployment-7c7bb76d6f-n4rz9,367m,204Mi
09:02:38,wordpress-deployment-7c7bb76d6f-q8q95,382m,171Mi
09:02:38,wordpress-deployment-7c7bb76d6f-sdtc8,436m,236Mi
09:02:38,wordpress-mysql-8484774888-46s7v,130m,547Mi
09:02:43,wordpress-deployment-7c7bb76d6f-n4rz9,367m,204Mi
09:02:43,wordpress-deployment-7c7bb76d6f-q8q95,382m,171Mi
09:02:43,wordpress-deployment-7c7bb76d6f-sdtc8,436m,236Mi
09:02:43,wordpress-mysql-8484774888-46s7v,130m,547Mi
09:02:48,wordpress-deployment-7c7bb76d6f-n4rz9,367m,204Mi
09:02:48,wordpress-deployment-7c7bb76d6f-q8q95,382m,171Mi
09:02:48,wordpress-deployment-7c7bb76d6f-sdtc8,436m,236Mi
09:02:48,wordpress-mysql-8484774888-46s7v,130m,547Mi
09:02:53,wordpress-deployment-7c7bb76d6f-n4rz9,385m,191Mi
09:02:53,wordpress-deployment-7c7bb76d6f-q8q95,482m,204Mi
09:02:53,wordpress-deployment-7c7bb76d6f-sdtc8,381m,220Mi
09:02:53,wordpress-mysql-8484774888-46s7v,146m,548Mi
