Users,Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Samples
10,67.35,100.0,4057.73,4454.0,713.44,17608.0,23168.96,113.0
20,76.87,101.0,3919.27,4343.0,511.54,9924.0,23441.37,91.0
30,64.65,101.0,3869.46,4301.0,357.07,1496.0,21238.59,123.0
40,83.54,101.0,3731.29,4300.0,402.15,3416.0,23545.44,98.0
50,80.54,101.0,3665.55,4293.0,932.91,48156.0,23266.68,104.0
60,88.59,101.0,3516.53,4264.0,378.13,1647.52,24182.0,91.0
70,82.53,101.0,3504.07,4236.0,398.31,2600.0,23021.45,100.0
80,87.92,101.0,3320.16,4263.0,580.71,9424.0,23642.81,93.0
90,87.84,101.0,3301.93,4222.0,385.25,1560.0,23600.76,94.0
100,87.16,101.0,3239.32,4139.0,370.15,2164.0,23440.75,96.0
Average,80.699,100.9,3612.531,4281.5,502.966,9799.552,23254.881,100.3
