Timestamp,Pod_Name,CPU_m,Memory_Mi
11:12:46,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:12:46,wordpress-mysql-8484774888-9rgmp,3m,458Mi
11:12:51,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:12:51,wordpress-mysql-8484774888-9rgmp,3m,458Mi
11:12:56,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:12:56,wordpress-mysql-8484774888-9rgmp,3m,458Mi
11:13:01,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:13:01,wordpress-mysql-8484774888-9rgmp,3m,458Mi
11:13:06,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:13:06,wordpress-mysql-8484774888-9rgmp,3m,458Mi
11:13:12,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:13:12,wordpress-mysql-8484774888-9rgmp,3m,458Mi
11:13:17,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:13:17,wordpress-mysql-8484774888-9rgmp,3m,458Mi
11:13:22,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:13:22,wordpress-mysql-8484774888-9rgmp,17m,459Mi
11:13:27,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:13:27,wordpress-mysql-8484774888-9rgmp,17m,459Mi
11:13:32,wordpress-deployment-7c7bb76d6f-hq8cl,1m,139Mi
11:13:32,wordpress-mysql-8484774888-9rgmp,17m,459Mi
11:13:37,wordpress-deployment-7c7bb76d6f-hq8cl,290m,139Mi
11:13:37,wordpress-mysql-8484774888-9rgmp,17m,459Mi
11:13:42,wordpress-deployment-7c7bb76d6f-hq8cl,290m,139Mi
11:13:42,wordpress-mysql-8484774888-9rgmp,17m,459Mi
11:13:47,wordpress-deployment-7c7bb76d6f-hq8cl,569m,139Mi
11:13:47,wordpress-mysql-8484774888-9rgmp,90m,459Mi
11:13:52,wordpress-deployment-7c7bb76d6f-hq8cl,569m,139Mi
11:13:52,wordpress-mysql-8484774888-9rgmp,90m,459Mi
11:13:57,wordpress-deployment-7c7bb76d6f-hq8cl,569m,139Mi
11:13:57,wordpress-mysql-8484774888-9rgmp,90m,459Mi
11:14:02,wordpress-deployment-7c7bb76d6f-hq8cl,159m,139Mi
11:14:02,wordpress-mysql-8484774888-9rgmp,56m,458Mi
11:14:07,wordpress-deployment-7c7bb76d6f-hq8cl,159m,139Mi
11:14:07,wordpress-mysql-8484774888-9rgmp,56m,458Mi
11:14:12,wordpress-deployment-7c7bb76d6f-hq8cl,159m,139Mi
11:14:12,wordpress-mysql-8484774888-9rgmp,56m,458Mi
11:14:17,wordpress-deployment-7c7bb76d6f-hq8cl,603m,139Mi
11:14:17,wordpress-deployment-7c7bb76d6f-tggfq,8m,15Mi
11:14:17,wordpress-mysql-8484774888-9rgmp,64m,459Mi
11:14:22,wordpress-deployment-7c7bb76d6f-hq8cl,603m,139Mi
11:14:22,wordpress-deployment-7c7bb76d6f-tggfq,8m,15Mi
11:14:22,wordpress-mysql-8484774888-9rgmp,64m,459Mi
11:14:27,wordpress-deployment-7c7bb76d6f-hq8cl,603m,139Mi
11:14:27,wordpress-deployment-7c7bb76d6f-tggfq,8m,15Mi
11:14:27,wordpress-mysql-8484774888-9rgmp,64m,459Mi
11:14:33,wordpress-deployment-7c7bb76d6f-hq8cl,787m,140Mi
11:14:33,wordpress-deployment-7c7bb76d6f-tggfq,100m,68Mi
11:14:33,wordpress-mysql-8484774888-9rgmp,110m,459Mi
11:14:38,wordpress-deployment-7c7bb76d6f-hq8cl,787m,140Mi
11:14:38,wordpress-deployment-7c7bb76d6f-tggfq,100m,68Mi
11:14:38,wordpress-mysql-8484774888-9rgmp,110m,459Mi
11:14:43,wordpress-deployment-7c7bb76d6f-hq8cl,787m,140Mi
