Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
17:54:06,1778608445,7,4,3,170,4143,0.32,7435,15060,0.00,4.00
17:54:13,1778608452,7,4,0,160,4143,0.29,6219,12354,0.00,464.00
17:54:20,1778608459,8,4,3,158,4143,0.39,7597,16312,0.00,136.00
17:54:27,1778608466,13,12,2,147,4143,0.44,10281,19662,0.00,416.00
17:54:34,1778608473,9,6,7,163,4143,0.37,9393,18596,0.00,8.00
17:54:41,1778608480,8,7,2,143,4143,0.34,8865,16514,0.00,428.00
17:54:48,1778608487,16,14,2,161,4144,0.32,11704,22380,0.00,280.00
17:54:56,1778608494,6,4,0,138,4144,0.27,8402,15498,0.00,684.00
17:55:03,1778608502,7,3,4,159,4144,0.25,7400,14117,0.00,448.00
17:55:10,1778608509,6,5,1,151,4144,0.21,7701,14482,0.00,316.00
17:55:17,1778608516,7,7,3,158,4144,0.19,9270,18007,0.00,0.00
17:55:24,1778608523,9,7,5,148,4145,0.17,9556,19027,0.00,272.00
17:55:31,1778608530,8,4,3,144,4145,0.47,7571,14507,0.00,176.00
17:55:38,1778608537,8,9,0,143,4145,0.43,8046,14906,0.00,640.00
17:55:45,1778608544,9,6,2,148,4145,0.36,7538,14490,0.00,156.00
17:55:52,1778608551,7,6,0,137,4146,0.42,7811,14257,0.00,228.00
17:55:59,1778608558,8,7,2,141,4146,0.35,8648,15697,0.00,276.00
17:56:06,1778608565,10,8,1,135,4146,0.32,9371,20098,0.00,284.00
17:56:13,1778608572,7,7,2,128,4146,0.30,8793,15890,0.00,392.00
17:56:20,1778608579,7,7,3,134,4147,0.63,10240,19599,0.00,308.00
17:56:27,1778608586,8,12,3,131,4147,0.66,8831,16835,0.00,0.00
17:56:34,1778608593,10,12,3,128,4147,0.56,12791,23535,0.00,424.00
17:56:41,1778608600,11,7,4,132,4147,0.59,9655,18038,0.00,128.00
17:56:48,1778608607,7,6,0,126,4148,0.62,8737,16048,0.00,356.00
17:56:55,1778608614,7,6,4,126,4148,1.12,9769,18431,0.00,0.00
17:57:02,1778608621,8,6,1,132,4148,1.03,8655,15502,0.00,228.00
17:57:09,1778608628,6,9,3,120,4148,1.32,10050,18806,0.00,144.00
17:57:16,1778608635,7,7,2,253,4053,1.45,9154,16802,0.00,232.00
17:57:23,1778608642,5,5,2,238,4057,1.33,8002,14826,0.00,264.00
