Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
16:27:47,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,1m,46Mi
16:27:47,wordpress-mysql-8484774888-6nxvs,3m,462Mi,1m,46Mi
16:27:53,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,1m,46Mi
16:27:53,wordpress-mysql-8484774888-6nxvs,3m,462Mi,1m,46Mi
16:27:58,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,1m,46Mi
16:27:58,wordpress-mysql-8484774888-6nxvs,3m,462Mi,1m,46Mi
16:28:03,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,1m,46Mi
16:28:03,wordpress-mysql-8484774888-6nxvs,3m,462Mi,1m,46Mi
16:28:08,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,11m,46Mi
16:28:08,wordpress-mysql-8484774888-6nxvs,3m,462Mi,11m,46Mi
16:28:13,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,11m,46Mi
16:28:13,wordpress-mysql-8484774888-6nxvs,3m,462Mi,11m,46Mi
16:28:18,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,11m,46Mi
16:28:18,wordpress-mysql-8484774888-6nxvs,3m,462Mi,11m,46Mi
16:28:23,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,40m,46Mi
16:28:23,wordpress-mysql-8484774888-6nxvs,3m,462Mi,40m,46Mi
16:28:28,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,40m,46Mi
16:28:28,wordpress-mysql-8484774888-6nxvs,3m,462Mi,40m,46Mi
16:28:33,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,40m,46Mi
16:28:33,wordpress-mysql-8484774888-6nxvs,3m,462Mi,40m,46Mi
16:28:39,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,43m,48Mi
16:28:39,wordpress-mysql-8484774888-6nxvs,3m,462Mi,43m,48Mi
16:28:44,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,43m,48Mi
16:28:44,wordpress-mysql-8484774888-6nxvs,3m,462Mi,43m,48Mi
16:28:49,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,43m,48Mi
16:28:49,wordpress-mysql-8484774888-6nxvs,3m,462Mi,43m,48Mi
16:28:54,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,45m,49Mi
16:28:54,wordpress-mysql-8484774888-6nxvs,3m,462Mi,45m,49Mi
16:28:59,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,45m,49Mi
16:28:59,wordpress-mysql-8484774888-6nxvs,3m,462Mi,45m,49Mi
16:29:04,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,48m,50Mi
16:29:04,wordpress-mysql-8484774888-6nxvs,3m,462Mi,48m,50Mi
16:29:09,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,48m,50Mi
16:29:09,wordpress-mysql-8484774888-6nxvs,3m,462Mi,48m,50Mi
16:29:14,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,48m,50Mi
16:29:14,wordpress-mysql-8484774888-6nxvs,3m,462Mi,48m,50Mi
16:29:19,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,48m,50Mi
16:29:19,wordpress-mysql-8484774888-6nxvs,3m,462Mi,48m,50Mi
16:29:25,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,48m,50Mi
16:29:25,wordpress-mysql-8484774888-6nxvs,3m,462Mi,48m,50Mi
16:29:30,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,48m,50Mi
16:29:30,wordpress-mysql-8484774888-6nxvs,3m,462Mi,48m,50Mi
16:29:35,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,57m,51Mi
16:29:35,wordpress-mysql-8484774888-6nxvs,3m,462Mi,57m,51Mi
16:29:40,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,57m,51Mi
16:29:40,wordpress-mysql-8484774888-6nxvs,3m,462Mi,57m,51Mi
16:29:45,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,57m,51Mi
16:29:45,wordpress-mysql-8484774888-6nxvs,3m,462Mi,57m,51Mi
16:29:50,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,46m,51Mi
16:29:50,wordpress-mysql-8484774888-6nxvs,3m,462Mi,46m,51Mi
16:29:55,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,46m,51Mi
16:29:55,wordpress-mysql-8484774888-6nxvs,3m,462Mi,46m,51Mi
16:30:00,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,46m,51Mi
16:30:00,wordpress-mysql-8484774888-6nxvs,3m,462Mi,46m,51Mi
16:30:06,wordpress-deployment-7c7bb76d6f-wrkvd,1m,117Mi,44m,52Mi
16:30:06,wordpress-mysql-8484774888-6nxvs,3m,462Mi,44m,52Mi
