Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
01:20:36,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1m,65Mi,BLOCKED
01:20:36,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1m,65Mi,BLOCKED
01:20:41,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1m,65Mi,BLOCKED
01:20:41,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1m,65Mi,BLOCKED
01:20:46,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1m,65Mi,BLOCKED
01:20:46,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1m,65Mi,BLOCKED
01:20:51,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1m,65Mi,BLOCKED
01:20:51,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1m,65Mi,BLOCKED
01:20:56,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1m,65Mi,BLOCKED
01:20:56,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1m,65Mi,BLOCKED
01:21:02,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1m,65Mi,BLOCKED
01:21:02,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1m,65Mi,BLOCKED
01:21:07,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,173m,65Mi,BLOCKED
01:21:07,wordpress-mysql-8484774888-zwtmv,4m,444Mi,173m,65Mi,BLOCKED
01:21:12,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,173m,65Mi,BLOCKED
01:21:12,wordpress-mysql-8484774888-zwtmv,4m,444Mi,173m,65Mi,BLOCKED
01:21:17,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,681m,66Mi,BLOCKED
01:21:17,wordpress-mysql-8484774888-zwtmv,4m,444Mi,681m,66Mi,BLOCKED
01:21:23,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,681m,66Mi,BLOCKED
01:21:23,wordpress-mysql-8484774888-zwtmv,4m,444Mi,681m,66Mi,BLOCKED
01:21:28,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,681m,66Mi,BLOCKED
01:21:28,wordpress-mysql-8484774888-zwtmv,4m,444Mi,681m,66Mi,BLOCKED
01:21:33,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1009m,66Mi,BLOCKED
01:21:33,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1009m,66Mi,BLOCKED
01:21:39,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1009m,66Mi,BLOCKED
01:21:39,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1009m,66Mi,BLOCKED
01:21:44,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1009m,66Mi,BLOCKED
01:21:44,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1009m,66Mi,BLOCKED
01:21:49,wordpress-deployment-7c7bb76d6f-h22rk,1m,46Mi,1236m,67Mi,BLOCKED
01:21:49,wordpress-mysql-8484774888-zwtmv,4m,444Mi,1236m,67Mi,BLOCKED
