Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
23:31:19,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1m,79Mi,BLOCKED
23:31:19,wordpress-mysql-8484774888-hr64z,4m,477Mi,1m,79Mi,BLOCKED
23:31:24,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,271m,80Mi,BLOCKED
23:31:24,wordpress-mysql-8484774888-hr64z,4m,477Mi,271m,80Mi,BLOCKED
23:31:29,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,271m,80Mi,BLOCKED
23:31:29,wordpress-mysql-8484774888-hr64z,4m,477Mi,271m,80Mi,BLOCKED
23:31:34,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,271m,80Mi,BLOCKED
23:31:34,wordpress-mysql-8484774888-hr64z,4m,477Mi,271m,80Mi,BLOCKED
23:31:39,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,271m,80Mi,BLOCKED
23:31:39,wordpress-mysql-8484774888-hr64z,3m,477Mi,271m,80Mi,BLOCKED
23:31:45,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,271m,80Mi,BLOCKED
23:31:45,wordpress-mysql-8484774888-hr64z,3m,477Mi,271m,80Mi,BLOCKED
23:31:50,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,271m,80Mi,BLOCKED
23:31:50,wordpress-mysql-8484774888-hr64z,3m,477Mi,271m,80Mi,BLOCKED
23:31:55,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1229m,82Mi,BLOCKED
23:31:55,wordpress-mysql-8484774888-hr64z,3m,477Mi,1229m,82Mi,BLOCKED
23:32:00,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1229m,82Mi,BLOCKED
23:32:00,wordpress-mysql-8484774888-hr64z,3m,477Mi,1229m,82Mi,BLOCKED
23:32:06,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1229m,82Mi,BLOCKED
23:32:06,wordpress-mysql-8484774888-hr64z,3m,477Mi,1229m,82Mi,BLOCKED
23:32:11,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1331m,83Mi,BLOCKED
23:32:11,wordpress-mysql-8484774888-hr64z,4m,477Mi,1331m,83Mi,BLOCKED
23:32:16,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1331m,83Mi,BLOCKED
23:32:16,wordpress-mysql-8484774888-hr64z,4m,477Mi,1331m,83Mi,BLOCKED
23:32:21,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1331m,83Mi,BLOCKED
23:32:21,wordpress-mysql-8484774888-hr64z,4m,477Mi,1331m,83Mi,BLOCKED
23:32:27,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1331m,83Mi,BLOCKED
23:32:27,wordpress-mysql-8484774888-hr64z,4m,477Mi,1331m,83Mi,BLOCKED
23:32:32,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1331m,83Mi,BLOCKED
23:32:32,wordpress-mysql-8484774888-hr64z,4m,477Mi,1331m,83Mi,BLOCKED
23:32:37,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1526m,84Mi,BLOCKED
23:32:37,wordpress-mysql-8484774888-hr64z,4m,477Mi,1526m,84Mi,BLOCKED
23:32:42,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1526m,84Mi,BLOCKED
23:32:42,wordpress-mysql-8484774888-hr64z,4m,477Mi,1526m,84Mi,BLOCKED
23:32:47,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1526m,84Mi,BLOCKED
23:32:47,wordpress-mysql-8484774888-hr64z,4m,477Mi,1526m,84Mi,BLOCKED
23:32:53,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1536m,85Mi,BLOCKED
23:32:53,wordpress-mysql-8484774888-hr64z,4m,477Mi,1536m,85Mi,BLOCKED
23:32:58,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1536m,85Mi,BLOCKED
23:32:58,wordpress-mysql-8484774888-hr64z,4m,477Mi,1536m,85Mi,BLOCKED
23:33:03,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1536m,85Mi,BLOCKED
23:33:03,wordpress-mysql-8484774888-hr64z,4m,477Mi,1536m,85Mi,BLOCKED
23:33:08,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1536m,85Mi,BLOCKED
23:33:08,wordpress-mysql-8484774888-hr64z,4m,477Mi,1536m,85Mi,BLOCKED
23:33:14,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1536m,85Mi,BLOCKED
23:33:14,wordpress-mysql-8484774888-hr64z,4m,477Mi,1536m,85Mi,BLOCKED
23:33:19,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1536m,85Mi,BLOCKED
23:33:19,wordpress-mysql-8484774888-hr64z,4m,477Mi,1536m,85Mi,BLOCKED
23:33:24,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1535m,85Mi,BLOCKED
23:33:24,wordpress-mysql-8484774888-hr64z,4m,477Mi,1535m,85Mi,BLOCKED
