Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
20:40:47,wordpress-deployment-7c7bb76d6f-ds6hf,1m,117Mi,1m,51Mi
20:40:47,wordpress-mysql-8484774888-bwt4v,3m,517Mi,1m,51Mi
20:40:52,wordpress-deployment-7c7bb76d6f-ds6hf,1m,117Mi,1m,51Mi
20:40:52,wordpress-mysql-8484774888-bwt4v,3m,517Mi,1m,51Mi
20:40:57,wordpress-deployment-7c7bb76d6f-ds6hf,1m,117Mi,1m,51Mi
20:40:57,wordpress-mysql-8484774888-bwt4v,3m,517Mi,1m,51Mi
20:41:02,wordpress-deployment-7c7bb76d6f-ds6hf,1m,117Mi,1m,51Mi
20:41:02,wordpress-mysql-8484774888-bwt4v,3m,517Mi,1m,51Mi
20:41:07,wordpress-deployment-7c7bb76d6f-ds6hf,1m,117Mi,1m,51Mi
20:41:07,wordpress-mysql-8484774888-bwt4v,3m,517Mi,1m,51Mi
20:41:12,wordpress-deployment-7c7bb76d6f-ds6hf,1m,117Mi,1m,51Mi
20:41:12,wordpress-mysql-8484774888-bwt4v,3m,517Mi,1m,51Mi
20:41:17,wordpress-deployment-7c7bb76d6f-ds6hf,1m,117Mi,1m,51Mi
20:41:17,wordpress-mysql-8484774888-bwt4v,3m,517Mi,1m,51Mi
20:41:23,wordpress-deployment-7c7bb76d6f-ds6hf,98m,120Mi,19m,52Mi
20:41:23,wordpress-mysql-8484774888-bwt4v,43m,517Mi,19m,52Mi
20:41:28,wordpress-deployment-7c7bb76d6f-ds6hf,98m,120Mi,19m,52Mi
20:41:28,wordpress-mysql-8484774888-bwt4v,43m,517Mi,19m,52Mi
20:41:33,wordpress-deployment-7c7bb76d6f-ds6hf,98m,120Mi,19m,52Mi
20:41:33,wordpress-mysql-8484774888-bwt4v,43m,517Mi,19m,52Mi
20:41:38,wordpress-deployment-7c7bb76d6f-ds6hf,992m,346Mi,27m,53Mi
20:41:38,wordpress-mysql-8484774888-bwt4v,123m,518Mi,27m,53Mi
20:41:43,wordpress-deployment-7c7bb76d6f-ds6hf,992m,346Mi,27m,53Mi
20:41:43,wordpress-mysql-8484774888-bwt4v,123m,518Mi,27m,53Mi
20:41:48,wordpress-deployment-7c7bb76d6f-ds6hf,992m,346Mi,27m,53Mi
20:41:48,wordpress-mysql-8484774888-bwt4v,123m,518Mi,27m,53Mi
20:41:53,wordpress-deployment-7c7bb76d6f-ds6hf,992m,346Mi,27m,54Mi
20:41:53,wordpress-mysql-8484774888-bwt4v,121m,520Mi,27m,54Mi
20:41:59,wordpress-deployment-7c7bb76d6f-ds6hf,992m,346Mi,27m,54Mi
20:41:59,wordpress-mysql-8484774888-bwt4v,121m,520Mi,27m,54Mi
20:42:04,wordpress-deployment-7c7bb76d6f-ds6hf,992m,346Mi,27m,54Mi
20:42:04,wordpress-mysql-8484774888-bwt4v,121m,520Mi,27m,54Mi
20:42:09,wordpress-deployment-7c7bb76d6f-ds6hf,951m,708Mi,26m,56Mi
20:42:09,wordpress-deployment-7c7bb76d6f-wsmvd,1m,15Mi,26m,56Mi
20:42:09,wordpress-mysql-8484774888-bwt4v,111m,521Mi,26m,56Mi
20:42:14,wordpress-deployment-7c7bb76d6f-ds6hf,951m,708Mi,26m,56Mi
20:42:14,wordpress-deployment-7c7bb76d6f-wsmvd,1m,15Mi,26m,56Mi
20:42:14,wordpress-mysql-8484774888-bwt4v,111m,521Mi,26m,56Mi
20:42:19,wordpress-deployment-7c7bb76d6f-ds6hf,899m,795Mi,27m,57Mi
20:42:19,wordpress-deployment-7c7bb76d6f-mvbl7,7m,15Mi,27m,57Mi
20:42:19,wordpress-deployment-7c7bb76d6f-wsmvd,288m,210Mi,27m,57Mi
20:42:19,wordpress-mysql-8484774888-bwt4v,119m,525Mi,27m,57Mi
20:42:24,wordpress-deployment-7c7bb76d6f-ds6hf,899m,795Mi,27m,57Mi
20:42:24,wordpress-deployment-7c7bb76d6f-mvbl7,7m,15Mi,27m,57Mi
20:42:24,wordpress-deployment-7c7bb76d6f-wsmvd,288m,210Mi,27m,57Mi
20:42:24,wordpress-mysql-8484774888-bwt4v,119m,525Mi,27m,57Mi
20:42:30,wordpress-deployment-7c7bb76d6f-ds6hf,899m,795Mi,27m,57Mi
20:42:30,wordpress-deployment-7c7bb76d6f-mvbl7,7m,15Mi,27m,57Mi
20:42:30,wordpress-deployment-7c7bb76d6f-wsmvd,288m,210Mi,27m,57Mi
20:42:30,wordpress-mysql-8484774888-bwt4v,119m,525Mi,27m,57Mi
20:42:35,wordpress-deployment-7c7bb76d6f-ds6hf,899m,795Mi,31m,58Mi
20:42:35,wordpress-deployment-7c7bb76d6f-mvbl7,286m,289Mi,31m,58Mi
20:42:35,wordpress-deployment-7c7bb76d6f-wsmvd,598m,631Mi,31m,58Mi
20:42:35,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,58Mi
20:42:40,wordpress-deployment-7c7bb76d6f-ds6hf,899m,795Mi,31m,58Mi
20:42:40,wordpress-deployment-7c7bb76d6f-mvbl7,286m,289Mi,31m,58Mi
20:42:40,wordpress-deployment-7c7bb76d6f-wsmvd,598m,631Mi,31m,58Mi
20:42:40,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,58Mi
20:42:45,wordpress-deployment-7c7bb76d6f-ds6hf,899m,795Mi,31m,58Mi
20:42:45,wordpress-deployment-7c7bb76d6f-mvbl7,286m,289Mi,31m,58Mi
20:42:45,wordpress-deployment-7c7bb76d6f-wsmvd,598m,631Mi,31m,58Mi
20:42:45,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,58Mi
20:42:50,wordpress-deployment-7c7bb76d6f-ds6hf,525m,706Mi,31m,60Mi
20:42:50,wordpress-deployment-7c7bb76d6f-mvbl7,505m,354Mi,31m,60Mi
20:42:50,wordpress-deployment-7c7bb76d6f-wsmvd,486m,654Mi,31m,60Mi
20:42:50,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,60Mi
20:42:56,wordpress-deployment-7c7bb76d6f-ds6hf,525m,706Mi,31m,60Mi
20:42:56,wordpress-deployment-7c7bb76d6f-mvbl7,505m,354Mi,31m,60Mi
20:42:56,wordpress-deployment-7c7bb76d6f-wsmvd,486m,654Mi,31m,60Mi
20:42:56,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,60Mi
20:43:01,wordpress-deployment-7c7bb76d6f-ds6hf,525m,706Mi,31m,60Mi
20:43:01,wordpress-deployment-7c7bb76d6f-mvbl7,505m,354Mi,31m,60Mi
20:43:01,wordpress-deployment-7c7bb76d6f-wsmvd,486m,654Mi,31m,60Mi
20:43:01,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,60Mi
20:43:06,wordpress-deployment-7c7bb76d6f-ds6hf,439m,586Mi,32m,61Mi
20:43:06,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:06,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:06,wordpress-deployment-7c7bb76d6f-wsmvd,464m,675Mi,32m,61Mi
20:43:06,wordpress-mysql-8484774888-bwt4v,142m,538Mi,32m,61Mi
20:43:11,wordpress-deployment-7c7bb76d6f-ds6hf,439m,586Mi,32m,61Mi
20:43:11,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:11,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:11,wordpress-deployment-7c7bb76d6f-wsmvd,464m,675Mi,32m,61Mi
20:43:11,wordpress-mysql-8484774888-bwt4v,142m,538Mi,32m,61Mi
20:43:16,wordpress-deployment-7c7bb76d6f-ds6hf,439m,586Mi,32m,61Mi
20:43:16,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:16,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:16,wordpress-deployment-7c7bb76d6f-wsmvd,464m,675Mi,32m,61Mi
20:43:16,wordpress-mysql-8484774888-bwt4v,142m,538Mi,32m,61Mi
20:43:21,wordpress-deployment-7c7bb76d6f-ds6hf,456m,522Mi,32m,61Mi
20:43:21,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:21,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:21,wordpress-deployment-7c7bb76d6f-wsmvd,491m,768Mi,32m,61Mi
20:43:21,wordpress-mysql-8484774888-bwt4v,147m,541Mi,32m,61Mi
20:43:27,wordpress-deployment-7c7bb76d6f-ds6hf,456m,522Mi,32m,61Mi
20:43:27,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:27,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:27,wordpress-deployment-7c7bb76d6f-wsmvd,491m,768Mi,32m,61Mi
20:43:27,wordpress-mysql-8484774888-bwt4v,147m,541Mi,32m,61Mi
20:43:32,wordpress-deployment-7c7bb76d6f-ds6hf,456m,522Mi,32m,61Mi
20:43:32,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:32,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:32,wordpress-deployment-7c7bb76d6f-wsmvd,491m,768Mi,32m,61Mi
20:43:32,wordpress-mysql-8484774888-bwt4v,147m,541Mi,32m,61Mi
20:43:37,wordpress-deployment-7c7bb76d6f-ds6hf,307m,574Mi,29m,61Mi
20:43:37,wordpress-deployment-7c7bb76d6f-mvbl7,451m,463Mi,29m,61Mi
