Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
19:02:42,1779390161,6,6,2,200,4211,0.16,7064,14062,4.00,184.00
19:02:49,1779390168,32,8,2,201,4212,0.15,8775,17903,0.00,92.00
19:02:56,1779390175,74,16,1,209,4199,0.44,11665,27253,0.00,336.00
19:03:03,1779390182,77,21,0,201,4203,0.57,10409,26062,0.00,344.55
19:03:11,1779390190,76,21,0,191,4206,0.87,10251,24777,0.00,300.00
19:03:18,1779390197,54,13,1,191,4209,0.88,9635,22660,0.00,108.00
19:03:25,1779390204,24,7,1,174,4212,0.97,8749,17494,0.00,428.00
19:03:32,1779390211,78,18,0,202,4202,1.93,10795,25592,0.00,240.00
19:03:40,1779390218,80,20,0,192,4206,1.93,10988,26691,0.00,241.58
19:03:47,1779390226,82,18,0,193,4210,3.16,12670,30634,0.00,4.00
19:03:55,1779390233,84,16,0,180,4214,3.39,11777,25666,0.00,384.00
19:04:02,1779390241,78,21,0,167,4205,5.02,11845,26601,0.00,15211.88
19:04:10,1779390249,79,18,0,169,4209,5.34,12734,27530,0.00,232.00
19:04:19,1779390257,80,20,0,156,4214,6.79,16994,42258,0.00,404.00
19:04:26,1779390265,80,19,0,148,4217,7.27,12360,27674,0.00,352.48
19:04:33,1779390272,80,21,0,185,4207,6.85,12556,28415,0.00,148.03
19:04:42,1779390280,79,21,0,178,4212,6.83,13680,30116,0.00,296.00
19:04:51,1779390288,81,19,0,173,4216,7.51,12056,29361,0.00,875.25
19:05:00,1779390297,82,15,0,162,4206,7.79,11886,25496,0.00,816.81
19:05:08,1779390307,83,17,0,158,4211,8.20,12709,31065,0.00,324.00
19:05:17,1779390315,85,15,0,154,4201,7.78,10845,25679,0.00,285.15
19:05:24,1779390323,69,15,0,174,4205,7.40,11089,22377,0.00,1012.00
19:05:31,1779390330,47,15,2,172,4207,6.34,11715,23213,0.00,0.00
19:05:38,1779390337,76,17,0,148,4210,5.99,12814,29661,0.00,168.00
19:05:45,1779390344,64,13,1,148,4213,6.15,11054,24146,0.00,168.00
19:05:54,1779390351,83,17,0,144,4207,6.22,13553,34474,0.00,0.00
19:06:02,1779390360,86,14,0,158,4211,8.13,12941,30940,0.00,164.00
19:06:10,1779390368,85,15,0,148,4216,8.20,11187,26223,0.00,209.90
19:06:18,1779390376,82,18,0,148,4207,7.85,12225,27544,0.00,372.00
19:06:27,1779390384,84,16,0,165,4211,8.93,11953,25606,0.00,60.71
19:06:34,1779390393,80,18,0,151,4216,9.09,12393,27409,0.00,281.19
19:06:42,1779390400,82,17,0,150,4206,9.57,13520,32125,0.00,252.00
19:06:49,1779390408,81,18,0,131,4211,9.28,13846,32832,0.00,11000.00
19:06:57,1779390416,83,16,0,145,4205,9.75,12793,29322,0.00,122.77
19:07:04,1779390423,84,16,0,150,4210,9.13,9934,23512,0.00,207.41
19:07:12,1779390431,84,16,0,144,4214,8.81,12702,27782,0.00,344.55
19:07:20,1779390438,81,16,0,165,4205,8.67,12618,28792,0.00,164.00
19:07:28,1779390446,80,20,0,168,4210,9.11,11516,26519,0.00,74.51
19:07:37,1779390455,86,14,0,164,4203,9.72,10909,24623,0.00,104.20
19:07:46,1779390464,82,18,0,166,4208,9.66,11526,26959,0.00,148.00
19:07:54,1779390472,77,21,0,137,4215,9.92,12705,29486,0.00,136.00
19:08:01,1779390480,84,16,0,144,4219,10.76,12315,28309,0.00,104.00
19:08:09,1779390488,84,16,0,147,4212,10.46,12984,29720,0.00,284.00
19:08:18,1779390495,84,16,0,139,4216,10.31,10472,26209,0.00,84.00
19:08:26,1779390504,83,17,0,127,4220,9.88,10559,26088,0.00,162.38
19:08:34,1779390512,81,20,0,122,4225,10.13,12419,27384,0.00,164.10
19:08:44,1779390521,83,15,0,211,4177,11.12,17392,38577,590.29,73.79
19:08:52,1779390530,78,19,0,207,4182,10.78,11475,26034,0.00,273.87
19:09:00,1779390538,83,17,0,184,4187,10.80,11825,28174,0.00,244.00
19:09:08,1779390546,82,18,0,176,4179,11.46,12122,29265,0.00,146.79
19:09:16,1779390555,86,14,0,180,4183,12.01,12675,30565,0.00,7.84
19:09:24,1779390562,79,21,0,180,4187,11.53,10944,26418,0.00,188.00
19:09:33,1779390570,84,16,0,170,4192,11.35,12373,30076,0.00,230.77
19:09:41,1779390579,83,17,0,180,4182,11.24,13309,30963,0.00,201.77
19:09:49,1779390587,83,17,0,185,4187,10.82,10969,25403,0.00,244.00
19:09:56,1779390595,84,15,0,181,4190,10.00,13068,27053,0.00,296.00
19:10:05,1779390603,83,17,0,182,4195,10.24,13622,30095,0.00,356.00
19:10:14,1779390612,84,16,0,183,4184,9.91,14259,32161,0.00,344.00
19:10:22,1779390620,82,18,0,184,4189,9.78,12264,28414,0.00,216.51
19:10:31,1779390628,84,16,0,194,4193,10.95,12217,26445,0.00,279.14
19:10:38,1779390637,75,18,0,180,4182,10.79,12135,29818,0.00,184.00
19:10:46,1779390644,84,16,0,192,4186,10.54,11415,26468,15.38,519.23
19:10:53,1779390652,85,16,0,193,4190,10.09,11032,27223,0.00,94.12
19:11:02,1779390660,85,15,0,199,4194,10.20,12332,28166,0.00,130.69
19:11:11,1779390669,83,16,0,207,4184,10.60,12212,28406,0.00,171.43
19:11:20,1779390677,85,15,0,192,4188,10.23,14672,34419,0.00,378.76
19:11:27,1779390686,85,15,0,188,4193,10.07,11881,26889,0.00,284.00
19:11:36,1779390694,81,19,0,191,4197,10.77,13935,30227,0.00,126.73
19:11:45,1779390702,86,14,0,210,4186,10.07,11092,26302,0.00,203.92
19:11:52,1779390711,84,16,0,206,4191,10.30,11052,26954,0.00,0.00
19:12:01,1779390718,81,19,0,201,4195,10.34,11567,26046,0.00,153.04
19:12:10,1779390727,82,18,0,204,4184,9.99,11157,25712,0.00,12500.76
19:12:18,1779390737,82,18,0,203,4189,9.56,12967,30128,0.00,368.00
19:12:25,1779390744,84,17,0,205,4192,9.36,12348,28168,0.00,148.00
19:12:33,1779390751,85,16,0,198,4196,9.00,11271,26743,0.00,55.38
19:12:41,1779390759,84,17,0,197,4185,9.19,11284,26390,0.00,205.04
19:12:48,1779390767,10,8,1,203,4187,9.17,8594,14556,0.00,248.00
19:12:55,1779390774,6,5,2,211,4187,8.60,6594,13269,0.00,284.00
19:13:02,1779390781,8,5,2,201,4187,7.50,7343,14683,0.00,144.00
19:13:09,1779390788,11,5,1,203,4188,6.90,7581,14796,0.00,460.00
19:13:16,1779390795,6,3,2,209,4188,5.84,7102,14825,0.00,92.00
19:13:23,1779390802,8,8,1,208,4188,5.37,7302,15283,0.00,240.00
