Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
18:19:38,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1m,79Mi,BLOCKED
18:19:38,wordpress-mysql-8484774888-c4988,4m,496Mi,1m,79Mi,BLOCKED
18:19:43,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1m,79Mi,BLOCKED
18:19:43,wordpress-mysql-8484774888-c4988,4m,496Mi,1m,79Mi,BLOCKED
18:19:48,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1m,79Mi,BLOCKED
18:19:48,wordpress-mysql-8484774888-c4988,4m,496Mi,1m,79Mi,BLOCKED
18:19:53,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1m,79Mi,BLOCKED
18:19:53,wordpress-mysql-8484774888-c4988,4m,496Mi,1m,79Mi,BLOCKED
18:19:58,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1m,79Mi,BLOCKED
18:19:58,wordpress-mysql-8484774888-c4988,4m,496Mi,1m,79Mi,BLOCKED
18:20:04,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1m,79Mi,BLOCKED
18:20:04,wordpress-mysql-8484774888-c4988,4m,496Mi,1m,79Mi,BLOCKED
18:20:09,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,897m,81Mi,BLOCKED
18:20:09,wordpress-mysql-8484774888-c4988,4m,496Mi,897m,81Mi,BLOCKED
18:20:14,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,897m,81Mi,BLOCKED
18:20:14,wordpress-mysql-8484774888-c4988,4m,496Mi,897m,81Mi,BLOCKED
18:20:19,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,897m,81Mi,BLOCKED
18:20:19,wordpress-mysql-8484774888-c4988,4m,496Mi,897m,81Mi,BLOCKED
18:20:25,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1515m,82Mi,BLOCKED
18:20:25,wordpress-mysql-8484774888-c4988,4m,496Mi,1515m,82Mi,BLOCKED
18:20:30,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1515m,82Mi,BLOCKED
18:20:30,wordpress-mysql-8484774888-c4988,4m,496Mi,1515m,82Mi,BLOCKED
18:20:35,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1515m,82Mi,BLOCKED
18:20:35,wordpress-mysql-8484774888-c4988,4m,496Mi,1515m,82Mi,BLOCKED
18:20:40,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1540m,83Mi,BLOCKED
18:20:40,wordpress-mysql-8484774888-c4988,3m,496Mi,1540m,83Mi,BLOCKED
18:20:46,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1540m,83Mi,BLOCKED
18:20:46,wordpress-mysql-8484774888-c4988,3m,496Mi,1540m,83Mi,BLOCKED
18:20:51,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1540m,83Mi,BLOCKED
18:20:51,wordpress-mysql-8484774888-c4988,3m,496Mi,1540m,83Mi,BLOCKED
18:20:56,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1549m,85Mi,BLOCKED
18:20:56,wordpress-mysql-8484774888-c4988,3m,496Mi,1549m,85Mi,BLOCKED
18:21:01,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1549m,85Mi,BLOCKED
18:21:01,wordpress-mysql-8484774888-c4988,3m,496Mi,1549m,85Mi,BLOCKED
18:21:07,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1532m,86Mi,BLOCKED
18:21:07,wordpress-mysql-8484774888-c4988,3m,496Mi,1532m,86Mi,BLOCKED
18:21:12,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1532m,86Mi,BLOCKED
18:21:12,wordpress-mysql-8484774888-c4988,3m,496Mi,1532m,86Mi,BLOCKED
18:21:17,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1532m,86Mi,BLOCKED
18:21:17,wordpress-mysql-8484774888-c4988,3m,496Mi,1532m,86Mi,BLOCKED
18:21:22,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1563m,86Mi,BLOCKED
18:21:22,wordpress-mysql-8484774888-c4988,3m,496Mi,1563m,86Mi,BLOCKED
18:21:27,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1563m,86Mi,BLOCKED
18:21:27,wordpress-mysql-8484774888-c4988,3m,496Mi,1563m,86Mi,BLOCKED
18:21:33,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1563m,86Mi,BLOCKED
18:21:33,wordpress-mysql-8484774888-c4988,3m,496Mi,1563m,86Mi,BLOCKED
18:21:38,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1540m,87Mi,BLOCKED
18:21:38,wordpress-mysql-8484774888-c4988,3m,496Mi,1540m,87Mi,BLOCKED
18:21:43,wordpress-deployment-7c7bb76d6f-d9wdp,1m,130Mi,1540m,87Mi,BLOCKED
18:21:43,wordpress-mysql-8484774888-c4988,3m,496Mi,1540m,87Mi,BLOCKED
