Timestamp,Epoch,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Load_Avg,Interrupts,Context_Switches,IO_Read_S,IO_Write_S
00:50:04,1779670202,78,21,0,160,4158,3.77,11184,25123,0.00,133.33
00:50:08,1779670207,80,20,0,164,4161,5.63,11363,28066,0.00,240.00
00:50:13,1779670212,79,18,0,157,4164,6.30,13804,29654,0.00,472.00
00:50:19,1779670217,82,18,0,158,4166,6.76,11361,26099,0.00,58.82
00:50:24,1779670223,76,24,0,151,4169,8.54,10906,24252,0.00,400.00
00:50:29,1779670228,83,17,0,171,4157,9.06,12190,27504,0.00,212.00
00:50:37,1779670234,81,19,0,180,4160,8.74,11666,27912,0.00,116.50
00:50:42,1779670240,84,14,0,179,4163,8.68,10346,23833,0.00,488.89
00:50:47,1779670245,85,15,0,175,4166,9.19,11173,28362,0.00,160.00
00:50:52,1779670249,86,14,0,166,4169,9.81,12033,27942,0.00,388.46
00:50:57,1779670255,80,20,0,173,4157,9.51,11291,25092,0.00,120.00
00:51:02,1779670260,84,17,0,170,4159,9.79,11354,24737,0.00,564.00
00:51:09,1779670267,81,19,0,138,4163,10.85,11214,27364,0.00,160.00
00:51:14,1779670272,83,17,0,154,4165,10.94,13748,30412,0.00,292.00
00:51:19,1779670277,80,20,0,163,4168,10.54,15360,35678,0.00,460.00
00:51:25,1779670283,82,18,0,151,4171,10.34,16627,36401,0.00,348.51
00:51:29,1779670288,85,16,0,177,4159,11.35,11498,26830,0.00,156.00
00:51:34,1779670293,44,10,2,172,4161,11.33,11209,22197,0.00,236.00
00:51:39,1779670298,42,7,1,170,4162,10.58,9339,19367,0.00,0.00
00:51:44,1779670303,61,15,1,168,4164,10.85,11400,23110,0.00,272.00
00:51:51,1779670308,86,14,0,167,4167,10.78,12997,27306,0.00,62.30
00:51:55,1779670313,82,18,0,158,4169,11.52,12443,27929,0.00,528.16
00:52:00,1779670318,82,18,0,174,4158,11.24,12700,28694,0.00,136.00
00:52:06,1779670324,83,18,0,174,4160,11.14,12318,27630,0.00,368.00
00:52:12,1779670329,86,14,0,153,4163,11.45,12289,27180,128.00,316.00
00:52:17,1779670336,83,17,0,149,4166,11.74,18758,42356,0.00,560.78
00:52:22,1779670340,84,16,0,160,4169,11.44,12695,24809,0.00,250.00
00:52:28,1779670346,83,17,0,180,4159,11.48,13741,32022,0.00,278.26
00:52:32,1779670351,83,17,0,156,4162,12.08,12069,27813,0.00,109.68
00:52:38,1779670357,83,17,0,152,4165,13.84,16585,41157,0.00,312.00
00:52:43,1779670361,87,13,1,153,4167,13.45,11315,26191,0.00,158.42
00:52:49,1779670367,81,19,0,171,4155,13.02,12532,30291,0.00,215.00
00:52:54,1779670372,85,15,0,176,4158,12.69,12930,28839,0.00,47.52
00:52:59,1779670377,84,16,0,169,4160,12.56,11713,26458,0.00,316.00
00:53:06,1779670383,83,17,0,155,4164,13.07,10265,23869,0.00,363.36
00:53:10,1779670388,82,18,0,171,4166,12.91,12377,28875,0.00,356.00
00:53:15,1779670393,82,18,0,150,4168,12.43,11671,26557,0.00,228.57
00:53:20,1779670399,81,18,0,164,4161,12.24,11861,28723,0.00,376.00
00:53:27,1779670405,79,21,0,138,4163,14.09,12314,25714,0.00,379.66
00:53:30,1779670409,82,19,0,157,4166,14.09,11350,28769,0.00,132.00
00:53:37,1779670414,82,18,0,161,4168,14.40,11163,24728,0.00,297.25
00:53:41,1779670420,83,17,0,145,4171,14.40,10377,24913,0.00,60.00
00:53:48,1779670425,80,20,0,163,4160,14.10,11974,25585,0.00,11855.38
00:53:53,1779670431,82,18,0,175,4158,14.49,14491,33912,207.41,285.19
00:53:58,1779670436,80,20,0,151,4160,14.61,11542,26916,0.00,477.06
00:54:04,1779670441,82,18,0,129,4162,14.88,13784,32809,0.00,145.79
00:54:10,1779670446,77,23,0,262,4067,15.21,11568,29708,0.00,256.31
00:54:14,1779670452,81,19,0,207,4070,16.00,11217,25322,0.00,216.00
00:54:19,1779670457,82,18,0,187,4059,16.24,16663,38072,0.00,732.00
00:54:24,1779670463,84,16,0,159,4061,15.98,16610,39245,0.00,0.00
00:54:30,1779670468,82,18,0,139,4064,15.58,11663,27398,508.00,176.00
00:54:35,1779670473,82,18,0,234,4067,15.05,11567,23951,0.00,289.11
00:54:40,1779670478,84,16,0,213,4069,15.05,11291,25184,23.76,360.40
00:54:45,1779670483,82,18,0,220,4072,14.72,10903,24191,0.00,261.54
00:54:51,1779670488,82,18,0,209,4062,14.51,11401,26247,0.00,530.69
00:54:55,1779670493,83,17,0,180,4064,14.95,9965,22984,0.00,57.69
00:55:01,1779670498,83,17,0,141,4066,14.79,12022,24880,0.00,617.24
00:55:05,1779670504,82,18,0,261,3971,14.33,11972,27821,0.00,231.78
00:55:11,1779670509,81,19,0,242,3975,13.82,11189,24425,0.00,621.36
00:55:16,1779670514,81,19,0,219,3978,13.67,12873,31363,0.00,144.76
00:55:23,1779670520,83,17,0,308,3965,14.30,12745,28449,0.00,392.23
00:55:28,1779670526,78,22,0,398,3964,15.24,11784,26885,0.00,166.37
00:55:35,1779670532,80,20,0,390,3970,15.38,14921,34583,0.00,492.00
00:55:38,1779670536,81,19,0,389,3972,15.11,10519,25912,0.00,185.45
00:55:44,1779670541,82,18,0,373,3975,15.02,12228,28777,0.00,368.93
00:55:48,1779670546,81,19,0,399,3963,14.62,12694,27034,0.00,0.00
00:55:53,1779670551,81,20,0,390,3969,14.09,13658,34274,0.00,324.00
00:55:59,1779670557,80,19,0,364,3972,14.72,16788,36940,0.00,241.13
00:56:04,1779670561,83,18,0,373,3974,14.10,10919,25714,0.00,45.53
00:56:09,1779670567,81,19,0,357,3977,13.53,11429,30768,0.00,100.65
00:56:15,1779670572,80,20,0,361,3980,13.01,12929,31570,0.00,176.00
00:56:19,1779670577,82,18,0,379,3968,12.85,11766,29153,0.00,256.00
00:56:26,1779670583,80,19,0,357,3971,12.70,12732,28521,0.00,98.11
00:56:30,1779670589,82,18,0,363,3974,12.64,15094,33871,0.00,180.95
00:56:36,1779670593,82,18,0,362,3976,12.51,12108,27543,0.00,217.82
00:56:41,1779670598,83,17,0,374,3978,13.19,11465,25754,0.00,0.00
00:56:46,1779670604,83,17,0,371,3981,13.34,11499,26713,0.00,139.84
00:56:52,1779670609,82,18,0,381,3970,13.38,11987,25839,0.00,133.33
00:56:58,1779670615,81,19,0,367,3973,13.27,10344,23515,0.00,102.97
00:57:04,1779670621,83,17,0,358,3976,13.09,11603,26566,0.00,372.82
00:57:07,1779670625,81,19,0,360,3977,14.04,10307,24713,0.00,372.55
00:57:13,1779670631,79,21,0,344,3980,13.96,11105,25228,0.00,728.00
00:57:19,1779670637,81,19,0,370,3969,14.60,12163,30396,0.00,106.93
00:57:24,1779670642,79,21,0,372,3971,14.47,11688,29778,0.00,312.30
00:57:30,1779670647,80,20,0,364,3974,14.67,10604,24853,0.00,376.24
00:57:36,1779670653,81,19,0,350,3980,14.22,12010,26521,0.00,535.78
00:57:40,1779670658,82,18,0,354,3979,13.64,11210,25130,0.00,157.33
00:57:45,1779670663,83,17,0,360,3981,12.95,10552,24163,0.00,212.70
00:57:50,1779670668,11,14,1,360,3970,13.35,14239,15348,1652.00,348.00
00:57:57,1779670674,84,16,0,337,3978,12.60,10936,27561,130.00,476.67
00:58:01,1779670679,82,18,0,344,3980,12.40,10387,24898,0.00,552.00
00:58:08,1779670684,84,16,0,340,3984,12.21,13928,32677,0.00,462.75
00:58:11,1779670690,82,18,0,335,3986,12.21,10744,25572,0.00,207.63
00:58:18,1779670696,80,20,0,351,3977,12.24,13015,29513,0.00,454.90
00:58:23,1779670701,82,18,0,342,3979,13.66,12463,25509,0.00,323.08
00:58:28,1779670706,80,20,0,345,3981,14.73,11335,25693,0.00,503.45
00:58:32,1779670711,84,16,0,339,3984,14.43,11522,26083,0.00,64.00
