Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
01:23:05,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1605m,105Mi,BLOCKED
01:23:05,wordpress-mysql-8484774888-hr64z,4m,477Mi,1605m,105Mi,BLOCKED
01:23:11,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1566m,105Mi,BLOCKED
01:23:11,wordpress-mysql-8484774888-hr64z,4m,477Mi,1566m,105Mi,BLOCKED
01:23:16,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1566m,105Mi,BLOCKED
01:23:16,wordpress-mysql-8484774888-hr64z,4m,477Mi,1566m,105Mi,BLOCKED
01:23:21,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1566m,105Mi,BLOCKED
01:23:21,wordpress-mysql-8484774888-hr64z,4m,477Mi,1566m,105Mi,BLOCKED
01:23:26,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1574m,103Mi,BLOCKED
01:23:26,wordpress-mysql-8484774888-hr64z,4m,477Mi,1574m,103Mi,BLOCKED
01:23:31,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1574m,103Mi,BLOCKED
01:23:31,wordpress-mysql-8484774888-hr64z,4m,477Mi,1574m,103Mi,BLOCKED
01:23:37,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1574m,103Mi,BLOCKED
01:23:37,wordpress-mysql-8484774888-hr64z,4m,477Mi,1574m,103Mi,BLOCKED
01:23:42,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1559m,101Mi,BLOCKED
01:23:42,wordpress-mysql-8484774888-hr64z,4m,477Mi,1559m,101Mi,BLOCKED
01:23:47,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1559m,101Mi,BLOCKED
01:23:47,wordpress-mysql-8484774888-hr64z,4m,477Mi,1559m,101Mi,BLOCKED
01:23:52,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1553m,101Mi,BLOCKED
01:23:52,wordpress-mysql-8484774888-hr64z,3m,477Mi,1553m,101Mi,BLOCKED
01:23:58,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1553m,101Mi,BLOCKED
01:23:58,wordpress-mysql-8484774888-hr64z,3m,477Mi,1553m,101Mi,BLOCKED
01:24:03,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1553m,101Mi,BLOCKED
01:24:03,wordpress-mysql-8484774888-hr64z,3m,477Mi,1553m,101Mi,BLOCKED
01:24:08,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1577m,102Mi,BLOCKED
01:24:08,wordpress-mysql-8484774888-hr64z,3m,477Mi,1577m,102Mi,BLOCKED
01:24:14,wordpress-deployment-7c7bb76d6f-8vx9w,1m,58Mi,1577m,102Mi,BLOCKED
01:24:14,wordpress-mysql-8484774888-hr64z,3m,477Mi,1577m,102Mi,BLOCKED
